Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.455,0.569,0.364,0.536,0.425,0.46979999999999994
Drg2,0.577,0.66,0.591,0.582,0.498,0.5816000000000001
Drg3,0.637,0.667,0.517,0.661,0.505,0.5974
Drg50,0.62,0.598,0.677,0.59,0.695,0.6359999999999999
Drg52,0.715,0.86,0.839,0.72,0.733,0.7733999999999999
Drg66,0.49,0.332,0.408,0.717,0.585,0.5064
Drg67,0.662,0.55,0.723,0.657,0.676,0.6536000000000001
Drg68,0.462,0.418,0.468,0.483,0.414,0.449
Drg69,0.591,0.472,0.539,0.496,0.546,0.5288
Drg84,0.597,0.633,0.572,0.636,0.607,0.609
Drg96,0.658,0.813,0.703,0.728,0.68,0.7164
Drg97,0.74,0.756,0.687,0.723,0.669,0.715
Drg178,0.526,0.57,0.621,0.642,0.696,0.611
Drg179,0.725,0.736,0.455,0.721,0.69,0.6654
Drg256,0.861,0.591,0.665,0.818,0.729,0.7328
Drg259,0.531,0.527,0.525,0.498,0.542,0.5246000000000001
Drg261,0.714,0.62,0.71,0.832,0.626,0.7003999999999999
Drg262,0.766,0.552,0.629,0.779,0.657,0.6766
Drg263,0.742,0.69,0.692,0.762,0.677,0.7125999999999999
Drg309,0.663,0.856,0.808,0.699,0.762,0.7575999999999999
