Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.913,0.928,0.942,0.928,0.946,0.942,0.958,0.948,0.943,0.939,0.945,0.944,0.95,0.952,0.955,0.95,0.957,0.957,0.956
Drg2,0.56,0.589,0.587,0.553,0.57,0.591,0.586,0.551,0.579,0.599,0.605,0.589,0.616,0.588,0.606,0.629,0.604,0.608,0.593
Drg3,0.692,0.747,0.757,0.786,0.758,0.78,0.787,0.743,0.761,0.795,0.812,0.8,0.798,0.798,0.788,0.797,0.812,0.785,0.815
Drg50,0.678,0.699,0.694,0.695,0.706,0.722,0.699,0.719,0.727,0.73,0.717,0.739,0.736,0.727,0.736,0.742,0.753,0.723,0.725
Drg52,0.625,0.63,0.623,0.658,0.674,0.611,0.656,0.66,0.624,0.673,0.651,0.656,0.64,0.693,0.675,0.668,0.672,0.659,0.665
Drg66,0.789,0.792,0.828,0.845,0.893,0.873,0.907,0.887,0.89,0.896,0.9,0.856,0.883,0.915,0.834,0.928,0.929,0.928,0.946
Drg67,0.746,0.819,0.779,0.786,0.81,0.847,0.822,0.843,0.865,0.865,0.827,0.844,0.87,0.845,0.849,0.874,0.836,0.871,0.855
Drg68,0.796,0.81,0.832,0.816,0.84,0.841,0.854,0.846,0.872,0.875,0.857,0.844,0.87,0.844,0.85,0.867,0.871,0.847,0.852
Drg69,0.754,0.782,0.8,0.753,0.788,0.784,0.806,0.806,0.823,0.804,0.818,0.824,0.809,0.829,0.838,0.79,0.822,0.841,0.803
Drg84,0.593,0.581,0.582,0.603,0.629,0.624,0.602,0.625,0.605,0.59,0.596,0.584,0.586,0.604,0.599,0.599,0.586,0.618,0.608
Drg96,0.715,0.774,0.69,0.767,0.732,0.684,0.769,0.756,0.729,0.723,0.775,0.774,0.759,0.802,0.766,0.773,0.809,0.775,0.827
Drg97,0.715,0.731,0.722,0.734,0.754,0.759,0.757,0.758,0.752,0.761,0.745,0.769,0.747,0.77,0.765,0.775,0.798,0.784,0.785
Drg178,0.592,0.679,0.594,0.659,0.653,0.733,0.677,0.665,0.699,0.682,0.678,0.646,0.69,0.677,0.718,0.725,0.703,0.705,0.724
Drg179,0.757,0.819,0.797,0.805,0.817,0.777,0.82,0.818,0.831,0.807,0.832,0.819,0.825,0.847,0.832,0.853,0.826,0.843,0.846
Drg256,0.67,0.672,0.657,0.659,0.685,0.662,0.679,0.685,0.688,0.672,0.703,0.69,0.693,0.735,0.68,0.672,0.694,0.681,0.721
Drg259,0.85,0.856,0.885,0.885,0.867,0.895,0.878,0.895,0.876,0.886,0.899,0.885,0.895,0.886,0.886,0.9,0.909,0.892,0.896
Drg261,0.64,0.603,0.61,0.63,0.598,0.667,0.64,0.639,0.638,0.635,0.653,0.632,0.671,0.646,0.644,0.643,0.651,0.673,0.691
Drg262,0.614,0.629,0.629,0.584,0.588,0.593,0.63,0.627,0.619,0.62,0.629,0.569,0.603,0.582,0.619,0.643,0.617,0.631,0.637
Drg263,0.666,0.683,0.677,0.685,0.69,0.691,0.695,0.693,0.7,0.692,0.7,0.703,0.704,0.71,0.706,0.718,0.71,0.713,0.716
Drg309,0.704,0.698,0.718,0.681,0.73,0.746,0.752,0.718,0.739,0.728,0.723,0.722,0.755,0.764,0.739,0.746,0.755,0.753,0.768
