Drg,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
Drg0,0.017,0.02,0.009,0.019,0.011,0.018,0.016,0.013,0.011,-0.001,0.01,0.008,0.012,0.007,0.009,0.012,0.013,0.01,0.005
Drg2,0.009,0.044,0.006,0.019,-0.004,0.006,-0.014,0.014,0,-0.015,-0.006,-0.011,0.001,-0.016,0,-0.001,-0.02,-0.002,-0.012
Drg3,-0.018,-0.041,-0.016,-0.023,-0.024,-0.02,-0.043,-0.058,-0.03,-0.042,-0.042,-0.029,-0.026,-0.031,-0.059,-0.033,-0.034,-0.044,-0.052
Drg50,0.033,0.04,0.036,0.026,0.02,0.013,-0.002,0.006,0.001,0,-0.001,0,-0.014,-0.002,-0.013,-0.003,-0.022,-0.018,-0.022
Drg52,0.111,0.082,0.089,0.078,0.071,0.036,0.045,0.045,0.045,0.049,0.051,0.038,0.029,0.024,0.045,0.025,0.016,0.01,0.027
Drg66,-0.001,-0.032,-0.033,-0.067,-0.033,-0.033,-0.056,-0.041,-0.026,-0.03,-0.039,-0.071,-0.041,-0.049,-0.058,-0.048,-0.054,-0.05,-0.025
Drg67,0.011,0.02,0.001,-0.022,-0.001,0.016,-0.014,0.002,0,-0.012,-0.024,-0.001,-0.009,-0.022,-0.018,-0.012,-0.015,-0.009,-0.01
Drg68,-0.003,-0.026,-0.027,-0.029,-0.02,-0.024,-0.01,-0.036,-0.016,-0.014,-0.032,-0.025,-0.016,-0.02,-0.019,-0.023,-0.033,-0.018,-0.029
Drg69,0.01,-0.016,-0.004,-0.023,-0.036,-0.032,-0.021,-0.034,-0.018,-0.023,-0.027,-0.037,-0.032,-0.03,-0.03,-0.036,-0.032,-0.04,-0.048
Drg84,0.033,0.032,0.027,0.019,0.03,0.025,0.015,0.013,0.02,-0.003,0.014,-0.001,0.002,0.009,0.01,-0.002,0.007,0.007,0.013
Drg96,0.06,0.079,0.036,0.014,0.013,0.022,-0.007,0.013,0.02,-0.008,0.035,0.01,-0.001,0.026,0.007,0,-0.004,0.007,0.008
Drg97,0.006,0.024,-0.008,0.002,0.006,0.009,-0.005,-0.008,0.001,0.012,-0.001,0.004,-0.009,0.005,-0.001,0.005,0.002,0.01,0.002
Drg178,-0.023,-0.014,-0.015,0.002,-0.013,0.033,-0.027,-0.058,-0.018,-0.02,-0.027,-0.019,-0.018,-0.014,-0.024,-0.031,-0.029,-0.002,-0.04
Drg179,-0.023,-0.008,-0.019,-0.02,-0.006,-0.023,-0.009,-0.008,-0.01,-0.014,-0.009,-0.011,-0.01,-0.008,-0.012,-0.01,-0.01,-0.008,-0.009
Drg256,0.129,0.116,0.095,0.092,0.074,0.089,0.063,0.019,0.038,0.049,0.049,0.04,0.01,0.037,0.011,0.017,-0.008,-0.005,0.018
Drg259,0.006,0.015,0.017,0.012,0.002,0.001,-0.003,0.001,0.001,0.005,0.001,-0.003,-0.001,-0.001,0,0,0.009,0.002,-0.001
Drg261,0.08,0.07,0.056,0.05,0.045,0.059,0.043,0.064,0.038,0.035,0.036,0.014,0.041,0.034,0.028,0.017,0.022,0.046,0.022
Drg262,0.115,0.07,0.103,0.066,0.057,0.049,0.061,0.083,0.07,0.091,0.072,0.059,0.069,0.069,0.063,0.07,0.067,0.056,0.049
Drg263,0.057,0.057,0.039,0.041,0.034,0.03,0.019,0.02,0.02,0.015,0.012,0.012,0.009,0.005,0.006,0,0.005,0.001,0.002
Drg309,0.095,0.058,0.036,0.045,0.057,0.065,0.043,0.05,0.041,0.049,0.032,0.05,0.034,0.051,0.054,0.044,0.059,0.076,0.061
