Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.915,0.919,0.935,0.935,0.944,0.954,0.938,0.948,0.942,0.961,0.95,0.952,0.935,0.959,0.949,0.953,0.948,0.955,0.947
Drg2,0.56,0.632,0.613,0.606,0.64,0.605,0.622,0.603,0.653,0.645,0.651,0.651,0.702,0.653,0.623,0.667,0.629,0.693,0.669
Drg3,0.658,0.7,0.749,0.681,0.771,0.725,0.768,0.771,0.779,0.823,0.768,0.772,0.758,0.811,0.783,0.82,0.839,0.82,0.782
Drg50,0.599,0.584,0.637,0.632,0.66,0.629,0.644,0.633,0.67,0.653,0.648,0.655,0.649,0.648,0.66,0.653,0.65,0.66,0.658
Drg52,0.626,0.643,0.678,0.692,0.689,0.712,0.662,0.653,0.722,0.669,0.691,0.696,0.716,0.686,0.702,0.727,0.676,0.714,0.717
Drg66,0.595,0.724,0.752,0.756,0.814,0.811,0.834,0.826,0.856,0.846,0.813,0.842,0.822,0.821,0.846,0.845,0.816,0.824,0.803
Drg67,0.715,0.787,0.79,0.793,0.8,0.841,0.833,0.864,0.814,0.864,0.867,0.876,0.869,0.856,0.898,0.847,0.857,0.86,0.855
Drg68,0.675,0.721,0.741,0.71,0.744,0.763,0.774,0.764,0.749,0.767,0.784,0.761,0.774,0.777,0.761,0.792,0.774,0.749,0.787
Drg69,0.677,0.73,0.731,0.704,0.756,0.702,0.77,0.713,0.73,0.723,0.782,0.771,0.778,0.766,0.753,0.743,0.748,0.77,0.788
Drg84,0.567,0.555,0.588,0.592,0.612,0.576,0.567,0.627,0.603,0.596,0.591,0.594,0.593,0.595,0.563,0.581,0.599,0.577,0.596
Drg96,0.617,0.617,0.626,0.637,0.65,0.674,0.673,0.6,0.67,0.643,0.655,0.659,0.658,0.667,0.707,0.66,0.692,0.673,0.68
Drg97,0.689,0.721,0.708,0.717,0.754,0.737,0.758,0.733,0.753,0.75,0.749,0.751,0.758,0.758,0.747,0.748,0.738,0.746,0.755
Drg178,0.593,0.582,0.567,0.632,0.57,0.569,0.622,0.549,0.536,0.554,0.577,0.563,0.56,0.567,0.597,0.569,0.628,0.591,0.524
Drg179,0.821,0.785,0.785,0.799,0.806,0.809,0.823,0.806,0.824,0.83,0.809,0.828,0.805,0.817,0.807,0.803,0.8,0.802,0.809
Drg256,0.795,0.727,0.73,0.797,0.754,0.745,0.801,0.77,0.836,0.852,0.84,0.827,0.873,0.847,0.845,0.866,0.86,0.861,0.887
Drg259,0.771,0.809,0.79,0.783,0.802,0.801,0.818,0.817,0.793,0.815,0.815,0.835,0.803,0.841,0.826,0.833,0.84,0.836,0.836
Drg261,0.637,0.66,0.682,0.678,0.701,0.709,0.688,0.694,0.732,0.69,0.689,0.694,0.707,0.708,0.688,0.723,0.703,0.683,0.713
Drg262,0.687,0.657,0.661,0.675,0.679,0.669,0.69,0.7,0.684,0.682,0.694,0.68,0.676,0.718,0.702,0.71,0.706,0.674,0.701
Drg263,0.712,0.728,0.716,0.727,0.728,0.734,0.738,0.743,0.747,0.744,0.75,0.747,0.75,0.743,0.746,0.75,0.759,0.754,0.755
Drg309,0.612,0.627,0.624,0.633,0.637,0.66,0.671,0.669,0.697,0.698,0.701,0.687,0.698,0.657,0.699,0.659,0.659,0.683,0.676
