Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.866,0.875,0.884,0.882,0.885,0.887,0.882,0.878,0.887,0.878,0.882,0.873,0.877,0.875,0.881,0.875,0.884,0.877,0.879
Drg2,0.556,0.557,0.601,0.581,0.605,0.605,0.604,0.611,0.597,0.622,0.609,0.629,0.613,0.614,0.627,0.616,0.62,0.613,0.624
Drg3,0.847,0.856,0.853,0.858,0.879,0.881,0.885,0.899,0.879,0.885,0.872,0.884,0.898,0.889,0.892,0.891,0.892,0.892,0.895
Drg50,0.536,0.522,0.551,0.543,0.575,0.584,0.6,0.601,0.617,0.619,0.599,0.627,0.63,0.638,0.63,0.641,0.655,0.658,0.665
Drg52,0.523,0.585,0.635,0.644,0.645,0.626,0.651,0.662,0.67,0.678,0.674,0.685,0.678,0.695,0.671,0.683,0.701,0.703,0.702
Drg66,0.827,0.822,0.863,0.857,0.885,0.878,0.886,0.917,0.918,0.907,0.919,0.917,0.949,0.928,0.946,0.944,0.95,0.962,0.965
Drg67,0.706,0.72,0.724,0.745,0.747,0.744,0.75,0.74,0.774,0.747,0.777,0.765,0.748,0.76,0.76,0.774,0.768,0.774,0.779
Drg68,0.793,0.82,0.84,0.854,0.838,0.837,0.836,0.826,0.851,0.84,0.833,0.857,0.852,0.844,0.857,0.853,0.859,0.859,0.863
Drg69,0.752,0.716,0.769,0.76,0.781,0.784,0.795,0.757,0.796,0.789,0.804,0.793,0.787,0.793,0.784,0.791,0.795,0.794,0.788
Drg84,0.526,0.524,0.517,0.564,0.581,0.549,0.578,0.554,0.563,0.585,0.584,0.595,0.582,0.608,0.607,0.625,0.614,0.618,0.622
Drg96,0.547,0.583,0.682,0.635,0.676,0.633,0.671,0.676,0.665,0.702,0.687,0.69,0.693,0.714,0.695,0.698,0.713,0.719,0.721
Drg97,0.698,0.664,0.716,0.7,0.713,0.712,0.694,0.713,0.7,0.707,0.691,0.707,0.714,0.708,0.701,0.708,0.705,0.71,0.711
Drg178,0.573,0.617,0.605,0.568,0.592,0.574,0.609,0.629,0.64,0.635,0.618,0.632,0.64,0.618,0.623,0.634,0.633,0.633,0.644
Drg179,0.778,0.819,0.848,0.841,0.829,0.846,0.824,0.847,0.829,0.836,0.849,0.847,0.839,0.855,0.846,0.843,0.845,0.848,0.849
Drg256,0.542,0.559,0.588,0.545,0.629,0.582,0.597,0.641,0.606,0.631,0.666,0.664,0.649,0.673,0.683,0.681,0.676,0.68,0.679
Drg259,0.795,0.81,0.816,0.818,0.817,0.82,0.833,0.829,0.838,0.836,0.837,0.831,0.841,0.836,0.84,0.835,0.837,0.839,0.839
Drg261,0.586,0.591,0.648,0.626,0.653,0.653,0.67,0.695,0.692,0.679,0.673,0.701,0.685,0.698,0.712,0.695,0.69,0.702,0.693
Drg262,0.522,0.508,0.547,0.548,0.53,0.518,0.521,0.522,0.537,0.528,0.504,0.504,0.519,0.518,0.52,0.523,0.522,0.53,0.527
Drg263,0.583,0.575,0.598,0.602,0.607,0.621,0.616,0.614,0.621,0.62,0.623,0.628,0.62,0.624,0.616,0.636,0.636,0.638,0.638
Drg309,0.556,0.574,0.588,0.632,0.628,0.651,0.628,0.659,0.668,0.675,0.666,0.702,0.695,0.698,0.698,0.718,0.702,0.707,0.709
