Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.787,0.841,0.844,0.871,0.871,0.875,0.884,0.873,0.887,0.883,0.883,0.89,0.899,0.9,0.895,0.896,0.898,0.9,0.899
Drg2,0.581,0.585,0.585,0.611,0.609,0.618,0.614,0.63,0.616,0.639,0.632,0.625,0.637,0.64,0.629,0.636,0.644,0.639,0.645
Drg3,0.693,0.753,0.772,0.796,0.805,0.794,0.8,0.829,0.817,0.831,0.85,0.829,0.83,0.84,0.859,0.848,0.846,0.854,0.864
Drg50,0.583,0.608,0.645,0.624,0.632,0.654,0.655,0.678,0.649,0.647,0.651,0.641,0.663,0.663,0.672,0.663,0.66,0.664,0.661
Drg52,0.585,0.648,0.619,0.585,0.686,0.687,0.69,0.698,0.684,0.694,0.686,0.715,0.708,0.715,0.721,0.711,0.718,0.719,0.721
Drg66,0.68,0.744,0.766,0.749,0.738,0.726,0.815,0.794,0.845,0.802,0.819,0.821,0.86,0.85,0.887,0.881,0.885,0.887,0.894
Drg67,0.695,0.715,0.766,0.778,0.811,0.81,0.835,0.816,0.849,0.85,0.861,0.865,0.873,0.881,0.887,0.886,0.89,0.896,0.893
Drg68,0.695,0.748,0.762,0.778,0.778,0.769,0.802,0.799,0.798,0.805,0.804,0.804,0.818,0.823,0.826,0.827,0.829,0.825,0.831
Drg69,0.671,0.716,0.74,0.736,0.743,0.753,0.765,0.783,0.793,0.793,0.785,0.799,0.813,0.809,0.819,0.822,0.818,0.82,0.824
Drg84,0.576,0.609,0.604,0.63,0.643,0.627,0.636,0.649,0.653,0.663,0.655,0.661,0.658,0.649,0.65,0.659,0.655,0.662,0.652
Drg96,0.671,0.656,0.694,0.721,0.711,0.751,0.748,0.758,0.787,0.789,0.769,0.786,0.812,0.796,0.794,0.808,0.809,0.816,0.816
Drg97,0.718,0.751,0.773,0.777,0.786,0.783,0.797,0.799,0.802,0.804,0.807,0.803,0.811,0.798,0.807,0.802,0.8,0.801,0.803
Drg178,0.556,0.558,0.561,0.584,0.63,0.599,0.549,0.6,0.602,0.605,0.607,0.592,0.625,0.607,0.613,0.606,0.626,0.631,0.628
Drg179,0.635,0.648,0.705,0.72,0.745,0.737,0.76,0.766,0.788,0.778,0.789,0.787,0.786,0.788,0.793,0.801,0.801,0.804,0.804
Drg256,0.57,0.583,0.574,0.614,0.63,0.614,0.621,0.639,0.653,0.631,0.643,0.636,0.644,0.65,0.652,0.656,0.66,0.653,0.656
Drg259,0.803,0.816,0.843,0.843,0.845,0.858,0.859,0.863,0.873,0.875,0.876,0.876,0.878,0.879,0.879,0.877,0.881,0.88,0.88
Drg261,0.533,0.602,0.593,0.641,0.653,0.665,0.67,0.689,0.655,0.678,0.686,0.679,0.706,0.712,0.687,0.713,0.705,0.705,0.718
Drg262,0.465,0.594,0.606,0.566,0.597,0.63,0.572,0.613,0.61,0.619,0.61,0.632,0.632,0.639,0.635,0.644,0.639,0.626,0.625
Drg263,0.653,0.684,0.685,0.696,0.699,0.711,0.717,0.721,0.736,0.735,0.735,0.744,0.738,0.739,0.742,0.746,0.747,0.747,0.748
Drg309,0.619,0.594,0.648,0.623,0.68,0.698,0.7,0.744,0.725,0.737,0.737,0.745,0.78,0.78,0.794,0.789,0.79,0.799,0.803
