Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.763,0.776,0.776,0.793,0.841,0.805,0.847,0.847,0.834,0.847,0.852,0.851,0.871,0.872,0.86,0.86,0.86,0.869,0.867
Drg2,0.581,0.597,0.603,0.605,0.626,0.617,0.625,0.639,0.636,0.628,0.627,0.63,0.637,0.636,0.646,0.643,0.643,0.645,0.647
Drg3,0.699,0.733,0.743,0.747,0.785,0.794,0.809,0.819,0.835,0.825,0.819,0.831,0.844,0.853,0.836,0.846,0.847,0.848,0.842
Drg50,0.524,0.549,0.568,0.566,0.568,0.575,0.579,0.569,0.575,0.578,0.582,0.589,0.587,0.581,0.581,0.586,0.586,0.587,0.588
Drg52,0.493,0.555,0.569,0.593,0.601,0.644,0.611,0.638,0.662,0.661,0.661,0.688,0.694,0.69,0.7,0.698,0.694,0.714,0.709
Drg66,0.678,0.705,0.782,0.766,0.786,0.792,0.847,0.812,0.811,0.846,0.855,0.868,0.863,0.858,0.861,0.869,0.879,0.867,0.875
Drg67,0.619,0.613,0.656,0.661,0.692,0.696,0.709,0.705,0.719,0.728,0.733,0.755,0.733,0.741,0.748,0.753,0.759,0.76,0.759
Drg68,0.722,0.782,0.783,0.824,0.833,0.829,0.826,0.85,0.846,0.855,0.861,0.866,0.865,0.868,0.87,0.872,0.881,0.883,0.883
Drg69,0.679,0.716,0.741,0.745,0.759,0.782,0.788,0.802,0.811,0.812,0.808,0.821,0.817,0.832,0.838,0.837,0.834,0.836,0.839
Drg84,0.501,0.567,0.548,0.563,0.568,0.569,0.595,0.578,0.597,0.598,0.617,0.601,0.62,0.634,0.63,0.625,0.63,0.634,0.64
Drg96,0.532,0.646,0.678,0.635,0.687,0.724,0.749,0.738,0.755,0.756,0.749,0.777,0.755,0.765,0.784,0.788,0.788,0.792,0.805
Drg97,0.645,0.726,0.738,0.768,0.763,0.748,0.78,0.794,0.79,0.765,0.792,0.796,0.793,0.8,0.805,0.799,0.798,0.802,0.801
Drg178,0.488,0.546,0.538,0.553,0.567,0.542,0.578,0.564,0.547,0.576,0.575,0.587,0.589,0.59,0.601,0.612,0.59,0.594,0.598
Drg179,0.638,0.691,0.752,0.765,0.765,0.776,0.793,0.807,0.789,0.819,0.819,0.809,0.839,0.839,0.835,0.844,0.849,0.846,0.851
Drg256,0.556,0.6,0.638,0.61,0.623,0.61,0.658,0.627,0.653,0.657,0.689,0.656,0.677,0.667,0.694,0.664,0.671,0.662,0.666
Drg259,0.781,0.805,0.806,0.807,0.826,0.824,0.846,0.843,0.847,0.852,0.856,0.849,0.858,0.859,0.858,0.863,0.863,0.866,0.867
Drg261,0.56,0.566,0.606,0.59,0.608,0.602,0.598,0.602,0.606,0.628,0.609,0.61,0.615,0.61,0.615,0.625,0.626,0.626,0.629
Drg262,0.556,0.547,0.61,0.593,0.568,0.601,0.591,0.601,0.613,0.605,0.587,0.598,0.593,0.588,0.605,0.588,0.594,0.587,0.593
Drg263,0.619,0.639,0.647,0.644,0.654,0.661,0.662,0.666,0.67,0.671,0.678,0.674,0.675,0.678,0.677,0.677,0.679,0.679,0.68
Drg309,0.501,0.626,0.625,0.626,0.654,0.719,0.686,0.731,0.683,0.733,0.737,0.746,0.774,0.774,0.789,0.763,0.784,0.786,0.788
