Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.799,0.853,0.865,0.88,0.899,0.892,0.903,0.908,0.904,0.909,0.907,0.912,0.917,0.915,0.914,0.915,0.915,0.918,0.917
Drg2,0.582,0.597,0.636,0.636,0.652,0.639,0.653,0.672,0.665,0.676,0.677,0.684,0.684,0.681,0.685,0.684,0.694,0.694,0.697
Drg3,0.721,0.745,0.778,0.781,0.802,0.812,0.823,0.83,0.837,0.841,0.845,0.845,0.85,0.862,0.855,0.863,0.864,0.866,0.87
Drg50,0.589,0.584,0.599,0.615,0.622,0.62,0.649,0.641,0.648,0.646,0.658,0.66,0.655,0.659,0.661,0.663,0.663,0.665,0.666
Drg52,0.533,0.55,0.603,0.615,0.634,0.643,0.641,0.662,0.67,0.676,0.68,0.675,0.685,0.688,0.693,0.695,0.692,0.7,0.7
Drg66,0.634,0.678,0.708,0.71,0.738,0.755,0.766,0.788,0.799,0.808,0.812,0.819,0.832,0.822,0.831,0.838,0.844,0.845,0.851
Drg67,0.627,0.648,0.698,0.716,0.736,0.748,0.759,0.771,0.774,0.785,0.796,0.799,0.8,0.804,0.806,0.811,0.814,0.816,0.818
Drg68,0.707,0.74,0.754,0.769,0.782,0.788,0.787,0.8,0.802,0.813,0.815,0.824,0.819,0.827,0.825,0.83,0.835,0.839,0.84
Drg69,0.666,0.688,0.713,0.717,0.726,0.747,0.747,0.756,0.766,0.764,0.777,0.775,0.778,0.782,0.787,0.788,0.793,0.793,0.796
Drg84,0.559,0.571,0.578,0.585,0.595,0.597,0.604,0.614,0.606,0.614,0.623,0.617,0.619,0.623,0.626,0.628,0.629,0.628,0.633
Drg96,0.559,0.612,0.65,0.633,0.644,0.669,0.685,0.701,0.7,0.702,0.704,0.713,0.714,0.711,0.724,0.728,0.732,0.733,0.736
Drg97,0.675,0.704,0.73,0.75,0.752,0.745,0.762,0.762,0.766,0.765,0.772,0.775,0.778,0.778,0.777,0.775,0.779,0.779,0.779
Drg178,0.581,0.589,0.588,0.603,0.603,0.602,0.616,0.625,0.626,0.63,0.632,0.642,0.647,0.655,0.654,0.66,0.661,0.666,0.668
Drg179,0.648,0.682,0.709,0.733,0.739,0.74,0.76,0.765,0.764,0.778,0.785,0.776,0.785,0.786,0.792,0.793,0.796,0.795,0.8
Drg256,0.587,0.613,0.63,0.63,0.653,0.652,0.658,0.664,0.679,0.679,0.687,0.694,0.694,0.699,0.702,0.698,0.699,0.698,0.699
Drg259,0.795,0.809,0.815,0.817,0.828,0.833,0.839,0.84,0.842,0.846,0.845,0.846,0.848,0.851,0.849,0.851,0.852,0.852,0.853
Drg261,0.568,0.594,0.635,0.645,0.649,0.656,0.669,0.661,0.663,0.683,0.684,0.678,0.687,0.683,0.684,0.691,0.687,0.693,0.693
Drg262,0.541,0.563,0.574,0.601,0.592,0.625,0.617,0.632,0.624,0.636,0.632,0.636,0.641,0.642,0.651,0.645,0.649,0.649,0.651
Drg263,0.634,0.664,0.676,0.689,0.698,0.702,0.709,0.709,0.712,0.717,0.719,0.722,0.723,0.723,0.725,0.726,0.727,0.727,0.729
Drg309,0.518,0.574,0.592,0.607,0.615,0.649,0.632,0.662,0.654,0.662,0.677,0.687,0.698,0.696,0.703,0.7,0.712,0.718,0.721
