Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.855,0.876,0.88,0.883,0.895,0.897,0.895,0.898,0.898,0.894,0.9,0.899,0.9,0.901,0.897,0.9,0.901,0.9,0.903
Drg2,0.599,0.591,0.597,0.584,0.616,0.615,0.621,0.599,0.616,0.615,0.634,0.617,0.622,0.629,0.613,0.626,0.616,0.624,0.626
Drg3,0.733,0.757,0.762,0.799,0.8,0.819,0.81,0.822,0.827,0.833,0.837,0.828,0.842,0.846,0.84,0.838,0.847,0.852,0.85
Drg50,0.567,0.569,0.575,0.583,0.594,0.6,0.595,0.599,0.61,0.618,0.627,0.621,0.634,0.629,0.636,0.645,0.65,0.647,0.653
Drg52,0.591,0.588,0.604,0.609,0.632,0.653,0.638,0.641,0.656,0.667,0.672,0.661,0.666,0.671,0.683,0.681,0.681,0.683,0.685
Drg66,0.685,0.727,0.764,0.795,0.803,0.815,0.835,0.836,0.834,0.854,0.853,0.865,0.865,0.868,0.869,0.878,0.879,0.881,0.881
Drg67,0.682,0.701,0.714,0.727,0.732,0.741,0.734,0.753,0.732,0.737,0.731,0.745,0.741,0.731,0.728,0.738,0.733,0.74,0.74
Drg68,0.725,0.761,0.762,0.787,0.786,0.797,0.803,0.8,0.81,0.81,0.802,0.811,0.809,0.817,0.815,0.82,0.813,0.815,0.814
Drg69,0.701,0.731,0.73,0.735,0.748,0.749,0.751,0.769,0.755,0.758,0.76,0.775,0.775,0.775,0.774,0.776,0.782,0.785,0.784
Drg84,0.554,0.557,0.575,0.573,0.572,0.57,0.58,0.585,0.583,0.594,0.583,0.574,0.575,0.582,0.581,0.58,0.582,0.581,0.583
Drg96,0.588,0.587,0.614,0.607,0.651,0.652,0.647,0.657,0.638,0.642,0.647,0.65,0.647,0.644,0.654,0.648,0.656,0.652,0.656
Drg97,0.686,0.701,0.684,0.684,0.688,0.689,0.688,0.687,0.678,0.675,0.669,0.679,0.673,0.675,0.679,0.673,0.669,0.669,0.669
Drg178,0.537,0.565,0.595,0.594,0.6,0.592,0.6,0.589,0.596,0.592,0.608,0.602,0.597,0.599,0.609,0.604,0.599,0.593,0.589
Drg179,0.678,0.713,0.756,0.759,0.77,0.786,0.777,0.779,0.781,0.771,0.787,0.782,0.789,0.785,0.78,0.785,0.786,0.778,0.777
Drg256,0.569,0.591,0.629,0.62,0.615,0.618,0.613,0.622,0.624,0.634,0.642,0.641,0.644,0.643,0.637,0.631,0.632,0.636,0.634
Drg259,0.79,0.788,0.798,0.799,0.8,0.797,0.799,0.805,0.802,0.801,0.807,0.803,0.806,0.805,0.811,0.809,0.808,0.811,0.81
Drg261,0.583,0.623,0.63,0.624,0.618,0.63,0.621,0.616,0.631,0.622,0.634,0.628,0.635,0.626,0.625,0.621,0.615,0.621,0.62
Drg262,0.587,0.566,0.581,0.585,0.594,0.588,0.577,0.594,0.6,0.601,0.59,0.599,0.594,0.606,0.603,0.599,0.594,0.605,0.61
Drg263,0.623,0.619,0.621,0.623,0.625,0.623,0.627,0.632,0.628,0.63,0.626,0.631,0.63,0.637,0.629,0.635,0.635,0.638,0.641
Drg309,0.544,0.589,0.623,0.628,0.636,0.649,0.656,0.668,0.659,0.66,0.673,0.661,0.67,0.668,0.674,0.676,0.667,0.669,0.673
