Drg,0.1-0.1,0.2-0.1,0.3-0.1,0.4-0.1,0.5-0.1
Drg0,0.678,0.673,0.668,0.692,0.557
Drg2,0.57,0.552,0.545,0.538,0.587
Drg3,0.484,0.459,0.452,0.441,0.475
Drg50,0.561,0.554,0.523,0.555,0.547
Drg52,0.64,0.654,0.647,0.673,0.685
Drg66,0.536,0.537,0.541,0.497,0.493
Drg67,0.653,0.629,0.626,0.634,0.651
Drg68,0.47,0.467,0.446,0.477,0.496
Drg69,0.566,0.566,0.533,0.661,0.574
Drg84,0.571,0.626,0.576,0.546,0.604
Drg96,0.518,0.582,0.604,0.625,0.61
Drg97,0.527,0.598,0.581,0.613,0.583
Drg178,0.614,0.548,0.662,0.68,0.616
Drg179,0.726,0.748,0.775,0.717,0.75
Drg256,0.521,0.631,0.643,0.638,0.577
Drg259,0.758,0.762,0.793,0.793,0.763
Drg261,0.578,0.613,0.636,0.664,0.637
Drg262,0.569,0.614,0.595,0.618,0.621
Drg263,0.645,0.624,0.658,0.654,0.665
Drg309,0.595,0.635,0.628,0.639,0.659
