Drg,0.1-0.1,0.2-0.1,0.3-0.1,0.4-0.1,0.5-0.1
Drg0,0.748,0.695,0.68,0.683,0.573
Drg2,0.579,0.547,0.553,0.555,0.575
Drg3,0.492,0.45,0.457,0.443,0.494
Drg50,0.553,0.545,0.542,0.545,0.574
Drg52,0.658,0.655,0.659,0.663,0.681
Drg66,0.436,0.447,0.459,0.41,0.399
Drg67,0.581,0.597,0.593,0.607,0.592
Drg68,0.449,0.422,0.411,0.426,0.493
Drg69,0.507,0.499,0.451,0.577,0.495
Drg84,0.563,0.614,0.547,0.541,0.566
Drg96,0.524,0.593,0.594,0.621,0.634
Drg97,0.531,0.633,0.578,0.605,0.576
Drg178,0.606,0.529,0.624,0.645,0.597
Drg179,0.643,0.641,0.719,0.598,0.643
Drg256,0.531,0.632,0.649,0.652,0.582
Drg259,0.757,0.753,0.778,0.786,0.747
Drg261,0.567,0.573,0.625,0.637,0.628
Drg262,0.575,0.583,0.594,0.611,0.614
Drg263,0.587,0.551,0.625,0.599,0.617
Drg309,0.58,0.637,0.628,0.633,0.673
