Drg,0.1-0.1,0.2-0.1,0.3-0.1,0.4-0.1,0.5-0.1
Drg0,0.883,0.89,0.902,0.9,0.878
Drg2,0.606,0.545,0.622,0.596,0.6
Drg3,0.75,0.789,0.737,0.799,0.731
Drg50,0.562,0.557,0.603,0.53,0.571
Drg52,0.645,0.588,0.605,0.606,0.668
Drg66,0.692,0.631,0.607,0.625,0.686
Drg67,0.746,0.69,0.744,0.699,0.711
Drg68,0.795,0.77,0.776,0.802,0.784
Drg69,0.705,0.681,0.724,0.765,0.683
Drg84,0.559,0.607,0.515,0.568,0.5
Drg96,0.624,0.616,0.65,0.633,0.647
Drg97,0.612,0.682,0.668,0.712,0.678
Drg178,0.601,0.534,0.647,0.732,0.611
Drg179,0.74,0.763,0.792,0.737,0.769
Drg256,0.551,0.602,0.658,0.64,0.596
Drg259,0.783,0.79,0.809,0.827,0.806
Drg261,0.574,0.613,0.606,0.682,0.609
Drg262,0.576,0.568,0.532,0.587,0.633
Drg263,0.651,0.623,0.657,0.656,0.664
Drg309,0.578,0.63,0.637,0.643,0.649
