Drg,10,20,30,40,50,60,70,80,90
Drg0,0.534,0.586,0.7,0.774,0.65,0.764,0.748,0.718,0.755
Drg2,0.623,0.615,0.656,0.672,0.666,0.652,0.654,0.676,0.68
Drg3,0.553,0.599,0.61,0.585,0.702,0.653,0.636,0.662,0.728
Drg50,0.624,0.612,0.633,0.64,0.642,0.651,0.63,0.643,0.639
Drg52,0.717,0.703,0.736,0.747,0.737,0.746,0.749,0.76,0.751
Drg66,0.397,0.375,0.472,0.37,0.41,0.382,0.511,0.417,0.427
Drg67,0.558,0.499,0.572,0.621,0.592,0.585,0.59,0.603,0.592
Drg68,0.407,0.467,0.44,0.438,0.555,0.509,0.455,0.511,0.504
Drg69,0.442,0.492,0.54,0.481,0.516,0.544,0.55,0.561,0.57
Drg84,0.602,0.581,0.579,0.59,0.621,0.626,0.602,0.621,0.611
Drg96,0.695,0.698,0.704,0.697,0.726,0.726,0.736,0.73,0.713
Drg97,0.621,0.677,0.7,0.695,0.72,0.707,0.725,0.711,0.736
Drg178,0.394,0.505,0.491,0.496,0.545,0.549,0.528,0.523,0.557
Drg179,0.559,0.592,0.564,0.595,0.62,0.66,0.653,0.665,0.666
Drg256,0.686,0.622,0.686,0.698,0.703,0.692,0.722,0.705,0.683
Drg259,0.625,0.741,0.78,0.804,0.797,0.801,0.805,0.804,0.809
Drg261,0.637,0.629,0.688,0.676,0.665,0.682,0.675,0.679,0.689
Drg262,0.645,0.658,0.637,0.649,0.654,0.647,0.653,0.664,0.662
Drg263,0.65,0.681,0.681,0.694,0.692,0.7,0.706,0.717,0.716
Drg309,0.646,0.647,0.707,0.692,0.702,0.718,0.747,0.739,0.729
