Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.543,0.573,0.566,0.593,0.601,0.595,0.604,0.592,0.585,0.619,0.607,0.601,0.614,0.613,0.624,0.643,0.64,0.629,0.637
Drg2,0.509,0.534,0.523,0.541,0.526,0.529,0.537,0.523,0.532,0.542,0.523,0.533,0.527,0.529,0.543,0.534,0.536,0.545,0.545
Drg3,0.471,0.457,0.436,0.433,0.443,0.431,0.451,0.433,0.444,0.428,0.452,0.439,0.456,0.444,0.439,0.441,0.438,0.451,0.442
Drg50,0.589,0.62,0.624,0.625,0.64,0.649,0.659,0.657,0.666,0.661,0.662,0.671,0.667,0.677,0.669,0.665,0.676,0.673,0.679
Drg52,0.646,0.656,0.664,0.671,0.699,0.688,0.693,0.708,0.71,0.708,0.72,0.712,0.708,0.712,0.722,0.708,0.71,0.719,0.716
Drg66,0.616,0.623,0.646,0.684,0.717,0.721,0.75,0.73,0.755,0.776,0.765,0.74,0.771,0.807,0.808,0.801,0.804,0.824,0.784
Drg67,0.692,0.726,0.739,0.721,0.745,0.758,0.779,0.786,0.772,0.79,0.781,0.785,0.773,0.794,0.794,0.791,0.793,0.804,0.822
Drg68,0.607,0.633,0.663,0.668,0.677,0.735,0.711,0.71,0.741,0.765,0.748,0.751,0.74,0.732,0.725,0.757,0.747,0.768,0.773
Drg69,0.636,0.659,0.67,0.678,0.736,0.747,0.762,0.745,0.764,0.776,0.789,0.767,0.764,0.776,0.789,0.769,0.79,0.799,0.78
Drg84,0.565,0.579,0.578,0.602,0.602,0.612,0.607,0.602,0.612,0.615,0.62,0.621,0.628,0.633,0.639,0.63,0.64,0.637,0.625
Drg96,0.621,0.652,0.635,0.655,0.665,0.645,0.668,0.662,0.676,0.675,0.673,0.67,0.673,0.683,0.689,0.681,0.693,0.698,0.672
Drg97,0.621,0.623,0.654,0.651,0.661,0.673,0.678,0.684,0.683,0.695,0.697,0.702,0.709,0.702,0.708,0.72,0.722,0.705,0.716
Drg178,0.634,0.625,0.66,0.66,0.681,0.673,0.662,0.685,0.695,0.681,0.706,0.698,0.697,0.695,0.701,0.707,0.712,0.71,0.718
Drg179,0.747,0.786,0.788,0.806,0.811,0.818,0.832,0.833,0.833,0.821,0.829,0.836,0.841,0.841,0.839,0.846,0.845,0.845,0.855
Drg256,0.584,0.631,0.625,0.636,0.649,0.672,0.651,0.666,0.676,0.686,0.704,0.694,0.717,0.707,0.725,0.692,0.715,0.707,0.704
Drg259,0.794,0.819,0.822,0.824,0.835,0.833,0.844,0.847,0.84,0.842,0.844,0.848,0.848,0.851,0.853,0.85,0.848,0.854,0.848
Drg261,0.605,0.627,0.65,0.665,0.669,0.669,0.681,0.681,0.686,0.692,0.687,0.692,0.698,0.693,0.689,0.7,0.704,0.699,0.698
Drg262,0.588,0.597,0.601,0.627,0.618,0.63,0.637,0.634,0.625,0.659,0.648,0.656,0.643,0.659,0.657,0.659,0.668,0.661,0.646
Drg263,0.64,0.647,0.663,0.679,0.685,0.695,0.697,0.696,0.707,0.715,0.714,0.718,0.72,0.721,0.726,0.726,0.726,0.726,0.73
Drg309,0.649,0.649,0.649,0.663,0.659,0.675,0.698,0.667,0.692,0.678,0.698,0.697,0.691,0.699,0.702,0.705,0.703,0.718,0.714
