Drg,10,20,30,40,50,60,70,80,90
Drg0,0.564,0.492,0.516,0.567,0.546,0.651,0.648,0.58,0.681
Drg2,0.562,0.519,0.513,0.526,0.575,0.613,0.54,0.594,0.635
Drg3,0.427,0.472,0.448,0.533,0.495,0.514,0.663,0.609,0.634
Drg50,0.598,0.608,0.643,0.582,0.627,0.606,0.64,0.615,0.646
Drg52,0.679,0.666,0.679,0.677,0.7,0.678,0.687,0.698,0.739
Drg66,0.582,0.499,0.572,0.445,0.478,0.486,0.491,0.552,0.41
Drg67,0.689,0.648,0.637,0.65,0.633,0.566,0.639,0.616,0.635
Drg68,0.488,0.501,0.522,0.519,0.475,0.49,0.446,0.448,0.41
Drg69,0.621,0.548,0.593,0.589,0.5,0.547,0.547,0.516,0.545
Drg84,0.557,0.573,0.58,0.606,0.608,0.582,0.544,0.582,0.593
Drg96,0.6,0.657,0.676,0.682,0.619,0.656,0.644,0.674,0.667
Drg97,0.593,0.624,0.647,0.612,0.643,0.629,0.654,0.646,0.689
Drg178,0.675,0.579,0.54,0.667,0.531,0.62,0.611,0.569,0.606
Drg179,0.778,0.757,0.743,0.731,0.783,0.766,0.779,0.676,0.738
Drg256,0.585,0.624,0.604,0.721,0.614,0.665,0.653,0.637,0.7
Drg259,0.787,0.808,0.806,0.804,0.786,0.799,0.788,0.792,0.77
Drg261,0.641,0.617,0.641,0.676,0.642,0.62,0.633,0.662,0.689
Drg262,0.512,0.618,0.582,0.621,0.608,0.573,0.642,0.626,0.648
Drg263,0.618,0.658,0.65,0.656,0.658,0.666,0.684,0.687,0.661
Drg309,0.631,0.674,0.652,0.668,0.683,0.624,0.687,0.703,0.683
