Drg,10,20,30,40,50,60,70,80,90
Drg0,0.605,0.622,0.589,0.596,0.611,0.636,0.646,0.648,0.626
Drg2,0.534,0.552,0.558,0.559,0.563,0.569,0.57,0.568,0.571
Drg3,0.409,0.393,0.381,0.387,0.402,0.401,0.424,0.432,0.446
Drg50,0.591,0.604,0.587,0.608,0.611,0.627,0.619,0.631,0.625
Drg52,0.664,0.668,0.677,0.68,0.666,0.672,0.687,0.709,0.705
Drg66,0.442,0.592,0.563,0.534,0.681,0.557,0.692,0.629,0.622
Drg67,0.637,0.639,0.661,0.703,0.727,0.736,0.742,0.741,0.76
Drg68,0.454,0.471,0.509,0.614,0.582,0.578,0.64,0.659,0.704
Drg69,0.507,0.56,0.611,0.632,0.695,0.626,0.692,0.692,0.721
Drg84,0.555,0.588,0.576,0.617,0.601,0.594,0.61,0.612,0.637
Drg96,0.637,0.656,0.66,0.64,0.649,0.698,0.69,0.672,0.712
Drg97,0.622,0.587,0.639,0.62,0.662,0.662,0.675,0.671,0.639
Drg178,0.574,0.578,0.636,0.59,0.682,0.663,0.682,0.726,0.703
Drg179,0.746,0.75,0.763,0.76,0.771,0.82,0.804,0.811,0.807
Drg256,0.585,0.646,0.639,0.616,0.673,0.639,0.682,0.657,0.631
Drg259,0.743,0.804,0.789,0.807,0.816,0.811,0.824,0.82,0.829
Drg261,0.608,0.626,0.659,0.675,0.67,0.699,0.698,0.686,0.705
Drg262,0.617,0.642,0.63,0.652,0.643,0.641,0.641,0.645,0.662
Drg263,0.62,0.642,0.675,0.685,0.679,0.685,0.697,0.689,0.684
Drg309,0.633,0.657,0.679,0.655,0.708,0.669,0.721,0.707,0.681
