Drg,10,20,30,40,50,60,70,80,90
Drg0,0.934,0.934,0.93,0.926,0.934,0.93,0.929,0.927,0.907
Drg2,0.693,0.684,0.71,0.695,0.683,0.698,0.687,0.666,0.641
Drg3,0.884,0.867,0.861,0.846,0.874,0.829,0.799,0.781,0.691
Drg50,0.688,0.685,0.678,0.681,0.669,0.675,0.674,0.681,0.684
Drg52,0.696,0.704,0.682,0.686,0.692,0.68,0.715,0.703,0.696
Drg66,0.921,0.927,0.935,0.926,0.941,0.938,0.905,0.89,0.911
Drg67,0.857,0.84,0.838,0.857,0.863,0.866,0.856,0.852,0.852
Drg68,0.845,0.851,0.851,0.842,0.837,0.844,0.849,0.818,0.838
Drg69,0.824,0.842,0.829,0.843,0.836,0.843,0.823,0.815,0.818
Drg84,0.598,0.616,0.625,0.6,0.611,0.641,0.624,0.618,0.634
Drg96,0.729,0.707,0.728,0.71,0.664,0.704,0.716,0.711,0.705
Drg97,0.75,0.755,0.75,0.781,0.77,0.773,0.769,0.763,0.759
Drg178,0.656,0.663,0.687,0.676,0.686,0.682,0.699,0.701,0.683
Drg179,0.831,0.838,0.852,0.836,0.836,0.851,0.844,0.852,0.844
Drg256,0.71,0.708,0.705,0.72,0.69,0.708,0.725,0.718,0.732
Drg259,0.857,0.853,0.857,0.857,0.852,0.852,0.847,0.854,0.851
Drg261,0.687,0.681,0.693,0.709,0.707,0.719,0.733,0.722,0.731
Drg262,0.616,0.593,0.615,0.582,0.581,0.591,0.622,0.611,0.606
Drg263,0.72,0.726,0.731,0.725,0.728,0.734,0.731,0.733,0.735
Drg309,0.696,0.689,0.663,0.69,0.683,0.707,0.695,0.685,0.711
