Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.911,0.911,0.942,0.941,0.934,0.944,0.947,0.938,0.941,0.946,0.946,0.951,0.946,0.95,0.945,0.95,0.949,0.962,0.967
Drg2,0.644,0.666,0.635,0.636,0.678,0.676,0.682,0.668,0.705,0.671,0.701,0.712,0.719,0.675,0.682,0.706,0.701,0.713,0.761
Drg3,0.643,0.69,0.697,0.711,0.715,0.73,0.758,0.734,0.73,0.777,0.785,0.707,0.715,0.773,0.72,0.731,0.765,0.768,0.719
Drg50,0.63,0.665,0.633,0.65,0.656,0.644,0.654,0.651,0.658,0.657,0.64,0.672,0.67,0.658,0.668,0.657,0.683,0.68,0.648
Drg52,0.623,0.623,0.655,0.637,0.65,0.645,0.644,0.634,0.657,0.637,0.65,0.646,0.667,0.645,0.642,0.653,0.657,0.696,0.686
Drg66,0.624,0.685,0.731,0.765,0.822,0.8,0.822,0.805,0.85,0.832,0.848,0.82,0.835,0.826,0.811,0.814,0.845,0.813,0.875
Drg67,0.805,0.851,0.831,0.881,0.861,0.872,0.863,0.888,0.871,0.885,0.916,0.895,0.905,0.874,0.913,0.884,0.869,0.89,0.905
Drg68,0.786,0.78,0.794,0.798,0.799,0.795,0.812,0.79,0.8,0.828,0.824,0.832,0.816,0.811,0.82,0.838,0.817,0.817,0.858
Drg69,0.701,0.719,0.726,0.744,0.761,0.737,0.749,0.736,0.723,0.727,0.754,0.766,0.759,0.755,0.751,0.761,0.731,0.776,0.792
Drg84,0.577,0.601,0.609,0.611,0.604,0.611,0.596,0.644,0.645,0.635,0.61,0.613,0.597,0.631,0.606,0.62,0.628,0.629,0.616
Drg96,0.584,0.597,0.61,0.649,0.616,0.635,0.64,0.586,0.646,0.593,0.598,0.607,0.641,0.607,0.646,0.617,0.665,0.635,0.694
Drg97,0.688,0.705,0.693,0.711,0.721,0.683,0.717,0.722,0.723,0.732,0.723,0.719,0.739,0.736,0.712,0.727,0.721,0.739,0.741
Drg178,0.571,0.586,0.58,0.554,0.535,0.558,0.584,0.57,0.529,0.559,0.573,0.549,0.571,0.552,0.573,0.544,0.577,0.566,0.506
Drg179,0.806,0.793,0.8,0.803,0.785,0.792,0.806,0.811,0.819,0.806,0.799,0.814,0.792,0.817,0.815,0.811,0.795,0.805,0.77
Drg256,0.736,0.701,0.731,0.749,0.726,0.742,0.752,0.796,0.811,0.786,0.806,0.771,0.848,0.811,0.802,0.839,0.811,0.843,0.837
Drg259,0.833,0.854,0.84,0.84,0.839,0.843,0.848,0.852,0.845,0.851,0.845,0.852,0.845,0.85,0.853,0.847,0.848,0.859,0.853
Drg261,0.702,0.674,0.677,0.681,0.695,0.682,0.686,0.695,0.687,0.69,0.678,0.693,0.7,0.699,0.694,0.706,0.687,0.696,0.694
Drg262,0.63,0.617,0.615,0.631,0.635,0.617,0.647,0.639,0.68,0.638,0.651,0.673,0.63,0.667,0.631,0.668,0.631,0.643,0.665
Drg263,0.72,0.747,0.741,0.744,0.754,0.757,0.76,0.763,0.762,0.765,0.758,0.768,0.772,0.769,0.762,0.765,0.776,0.774,0.771
Drg309,0.625,0.606,0.618,0.637,0.621,0.664,0.665,0.663,0.662,0.644,0.655,0.689,0.647,0.644,0.646,0.613,0.621,0.667,0.636
