Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.919,0.921,0.929,0.932,0.931,0.929,0.933,0.931,0.939,0.929,0.934,0.937,0.939,0.937,0.934,0.94,0.938,0.943,0.942
Drg2,0.647,0.66,0.65,0.653,0.675,0.669,0.672,0.675,0.681,0.666,0.679,0.683,0.686,0.678,0.677,0.694,0.686,0.686,0.71
Drg3,0.671,0.723,0.746,0.747,0.742,0.764,0.771,0.774,0.771,0.778,0.788,0.77,0.775,0.782,0.78,0.789,0.795,0.796,0.804
Drg50,0.619,0.627,0.636,0.649,0.651,0.649,0.653,0.651,0.652,0.651,0.659,0.658,0.657,0.662,0.663,0.662,0.674,0.661,0.67
Drg52,0.681,0.66,0.677,0.68,0.692,0.691,0.686,0.686,0.699,0.688,0.697,0.697,0.694,0.702,0.703,0.699,0.699,0.708,0.719
Drg66,0.686,0.76,0.798,0.779,0.821,0.807,0.858,0.831,0.867,0.848,0.869,0.844,0.88,0.857,0.846,0.869,0.872,0.882,0.876
Drg67,0.734,0.785,0.785,0.788,0.799,0.822,0.806,0.834,0.826,0.814,0.835,0.832,0.828,0.832,0.84,0.838,0.829,0.827,0.83
Drg68,0.742,0.779,0.788,0.788,0.788,0.801,0.803,0.805,0.811,0.822,0.818,0.822,0.811,0.812,0.816,0.814,0.814,0.828,0.836
Drg69,0.686,0.728,0.738,0.746,0.769,0.761,0.771,0.772,0.772,0.778,0.786,0.783,0.778,0.787,0.791,0.79,0.782,0.791,0.808
Drg84,0.563,0.58,0.592,0.581,0.594,0.584,0.585,0.602,0.603,0.608,0.598,0.598,0.596,0.604,0.604,0.601,0.602,0.608,0.594
Drg96,0.636,0.657,0.648,0.666,0.639,0.652,0.673,0.655,0.665,0.656,0.671,0.679,0.673,0.676,0.676,0.677,0.692,0.68,0.675
Drg97,0.683,0.715,0.708,0.722,0.729,0.714,0.718,0.727,0.729,0.738,0.74,0.745,0.74,0.741,0.734,0.752,0.747,0.752,0.746
Drg178,0.614,0.637,0.622,0.627,0.607,0.643,0.64,0.622,0.642,0.649,0.655,0.641,0.654,0.646,0.665,0.667,0.661,0.658,0.623
Drg179,0.806,0.809,0.818,0.818,0.816,0.816,0.828,0.818,0.833,0.82,0.83,0.829,0.824,0.838,0.825,0.833,0.823,0.835,0.829
Drg256,0.649,0.622,0.649,0.667,0.661,0.666,0.678,0.677,0.686,0.673,0.69,0.67,0.7,0.694,0.701,0.705,0.691,0.694,0.69
Drg259,0.835,0.839,0.839,0.844,0.842,0.843,0.844,0.845,0.843,0.846,0.85,0.847,0.846,0.848,0.849,0.847,0.852,0.851,0.85
Drg261,0.661,0.656,0.676,0.666,0.681,0.676,0.679,0.683,0.677,0.688,0.699,0.692,0.69,0.684,0.678,0.693,0.696,0.699,0.715
Drg262,0.62,0.623,0.623,0.617,0.628,0.623,0.634,0.631,0.641,0.627,0.625,0.626,0.634,0.635,0.627,0.637,0.619,0.627,0.64
Drg263,0.682,0.696,0.698,0.698,0.703,0.707,0.702,0.709,0.707,0.71,0.71,0.714,0.715,0.715,0.715,0.715,0.718,0.717,0.712
Drg309,0.68,0.688,0.689,0.687,0.693,0.708,0.702,0.7,0.7,0.691,0.708,0.711,0.697,0.703,0.692,0.696,0.703,0.707,0.718
