Drg,10,20,30,40,50,60,70,80,90
Drg0,0.932,0.947,0.95,0.95,0.947,0.941,0.943,0.947,0.95
Drg2,0.716,0.752,0.767,0.768,0.762,0.765,0.759,0.766,0.763
Drg3,0.748,0.771,0.79,0.8,0.829,0.845,0.848,0.838,0.845
Drg50,0.75,0.766,0.762,0.779,0.771,0.747,0.74,0.74,0.737
Drg52,0.739,0.768,0.79,0.79,0.783,0.788,0.785,0.81,0.815
Drg66,0.878,0.901,0.895,0.941,0.949,0.957,0.916,0.916,0.916
Drg67,0.861,0.857,0.858,0.851,0.862,0.867,0.868,0.863,0.848
Drg68,0.733,0.729,0.752,0.755,0.756,0.768,0.778,0.78,0.777
Drg69,0.896,0.883,0.912,0.908,0.907,0.902,0.903,0.894,0.898
Drg84,0.579,0.583,0.595,0.598,0.604,0.607,0.619,0.623,0.637
Drg96,0.611,0.621,0.586,0.597,0.613,0.618,0.602,0.593,0.602
Drg97,0.727,0.734,0.744,0.756,0.769,0.771,0.768,0.769,0.765
Drg178,0.722,0.738,0.756,0.752,0.748,0.756,0.759,0.758,0.758
Drg179,0.88,0.885,0.886,0.877,0.876,0.87,0.867,0.867,0.862
Drg256,0.625,0.626,0.603,0.622,0.627,0.642,0.667,0.655,0.65
Drg259,0.805,0.793,0.798,0.806,0.807,0.813,0.818,0.819,0.827
Drg261,0.722,0.711,0.73,0.731,0.726,0.721,0.714,0.714,0.703
Drg262,0.641,0.637,0.66,0.654,0.658,0.649,0.649,0.64,0.624
Drg263,0.673,0.683,0.685,0.689,0.69,0.687,0.691,0.69,0.69
Drg309,0.706,0.668,0.662,0.628,0.62,0.618,0.622,0.614,0.624
