Drg,10,20,30,40,50,60,70,80,90
Drg0,0.93,0.938,0.942,0.94,0.94,0.941,0.943,0.943,0.944
Drg2,0.671,0.7,0.716,0.718,0.716,0.713,0.706,0.706,0.706
Drg3,0.769,0.798,0.809,0.833,0.841,0.852,0.852,0.847,0.846
Drg50,0.66,0.668,0.674,0.681,0.679,0.672,0.671,0.673,0.674
Drg52,0.714,0.718,0.722,0.727,0.722,0.718,0.724,0.726,0.722
Drg66,0.884,0.913,0.916,0.927,0.932,0.933,0.929,0.925,0.927
Drg67,0.856,0.859,0.849,0.854,0.86,0.859,0.861,0.858,0.852
Drg68,0.842,0.848,0.857,0.86,0.858,0.86,0.861,0.859,0.859
Drg69,0.816,0.818,0.822,0.82,0.818,0.82,0.821,0.82,0.822
Drg84,0.63,0.616,0.624,0.628,0.626,0.631,0.635,0.634,0.64
Drg96,0.659,0.675,0.676,0.681,0.694,0.698,0.701,0.695,0.7
Drg97,0.741,0.746,0.742,0.742,0.749,0.75,0.749,0.749,0.748
Drg178,0.711,0.699,0.702,0.711,0.706,0.695,0.699,0.693,0.693
Drg179,0.853,0.855,0.853,0.851,0.851,0.85,0.847,0.851,0.847
Drg256,0.718,0.716,0.709,0.71,0.716,0.724,0.723,0.726,0.724
Drg259,0.848,0.849,0.851,0.854,0.854,0.856,0.853,0.854,0.856
Drg261,0.714,0.713,0.721,0.726,0.729,0.722,0.722,0.721,0.72
Drg262,0.636,0.632,0.652,0.645,0.659,0.662,0.666,0.658,0.663
Drg263,0.723,0.729,0.73,0.729,0.73,0.729,0.729,0.727,0.726
Drg309,0.719,0.724,0.725,0.715,0.714,0.71,0.712,0.711,0.707
