Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.923,0.914,0.948,0.935,0.941,0.941,0.934,0.94,0.92,0.943,0.938,0.938,0.949,0.947,0.95,0.942,0.947,0.947,0.955
Drg2,0.566,0.543,0.574,0.535,0.598,0.607,0.588,0.596,0.623,0.625,0.62,0.622,0.647,0.625,0.617,0.62,0.628,0.617,0.632
Drg3,0.704,0.766,0.807,0.776,0.794,0.814,0.797,0.799,0.808,0.814,0.833,0.825,0.82,0.801,0.817,0.807,0.802,0.821,0.83
Drg50,0.658,0.682,0.679,0.687,0.683,0.721,0.704,0.696,0.697,0.709,0.711,0.714,0.716,0.734,0.749,0.735,0.753,0.728,0.728
Drg52,0.656,0.671,0.63,0.626,0.675,0.63,0.68,0.643,0.658,0.647,0.645,0.668,0.669,0.677,0.677,0.646,0.659,0.67,0.65
Drg66,0.891,0.896,0.927,0.888,0.962,0.926,0.919,0.934,0.919,0.957,0.953,0.947,0.953,0.987,0.948,0.926,0.971,0.984,0.957
Drg67,0.791,0.805,0.803,0.792,0.825,0.821,0.824,0.834,0.849,0.84,0.833,0.853,0.855,0.865,0.861,0.858,0.851,0.846,0.853
Drg68,0.789,0.808,0.835,0.813,0.836,0.839,0.83,0.838,0.828,0.852,0.863,0.827,0.85,0.823,0.831,0.824,0.848,0.831,0.841
Drg69,0.764,0.763,0.779,0.776,0.797,0.813,0.804,0.818,0.812,0.835,0.824,0.82,0.826,0.824,0.834,0.821,0.827,0.833,0.817
Drg84,0.601,0.62,0.591,0.605,0.617,0.629,0.609,0.637,0.586,0.618,0.626,0.62,0.635,0.646,0.628,0.614,0.627,0.63,0.615
Drg96,0.691,0.705,0.722,0.727,0.694,0.65,0.715,0.757,0.685,0.709,0.762,0.733,0.72,0.754,0.686,0.772,0.774,0.769,0.765
Drg97,0.716,0.724,0.712,0.747,0.743,0.743,0.734,0.746,0.736,0.748,0.738,0.753,0.745,0.766,0.768,0.767,0.783,0.77,0.763
Drg178,0.808,0.769,0.794,0.804,0.779,0.782,0.807,0.768,0.83,0.82,0.763,0.788,0.832,0.823,0.807,0.817,0.809,0.818,0.809
Drg179,0.833,0.863,0.848,0.853,0.855,0.835,0.857,0.841,0.861,0.847,0.854,0.865,0.851,0.86,0.854,0.866,0.852,0.846,0.851
Drg256,0.703,0.691,0.706,0.685,0.693,0.699,0.682,0.704,0.682,0.685,0.702,0.698,0.698,0.739,0.705,0.697,0.704,0.692,0.718
Drg259,0.882,0.885,0.89,0.888,0.894,0.894,0.9,0.903,0.888,0.899,0.899,0.895,0.9,0.895,0.898,0.899,0.897,0.897,0.895
Drg261,0.658,0.658,0.666,0.677,0.687,0.698,0.699,0.686,0.673,0.707,0.683,0.72,0.687,0.706,0.683,0.709,0.704,0.709,0.719
Drg262,0.619,0.618,0.66,0.656,0.642,0.612,0.628,0.576,0.645,0.61,0.643,0.603,0.645,0.615,0.626,0.633,0.635,0.594,0.671
Drg263,0.735,0.741,0.741,0.742,0.737,0.742,0.738,0.741,0.74,0.741,0.739,0.739,0.746,0.744,0.744,0.744,0.746,0.744,0.742
Drg309,0.703,0.696,0.702,0.696,0.707,0.717,0.737,0.705,0.724,0.71,0.721,0.703,0.712,0.726,0.733,0.73,0.744,0.721,0.737
