Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.917,0.922,0.927,0.924,0.931,0.927,0.928,0.925,0.931,0.933,0.934,0.938,0.938,0.936,0.93,0.938,0.94,0.943,0.943
Drg2,0.61,0.624,0.63,0.613,0.666,0.653,0.66,0.66,0.666,0.681,0.664,0.671,0.681,0.686,0.672,0.684,0.684,0.687,0.684
Drg3,0.747,0.788,0.814,0.819,0.825,0.839,0.837,0.842,0.841,0.862,0.86,0.855,0.863,0.855,0.862,0.865,0.86,0.872,0.872
Drg50,0.621,0.631,0.629,0.638,0.647,0.651,0.656,0.654,0.665,0.665,0.661,0.672,0.669,0.673,0.671,0.678,0.687,0.68,0.68
Drg52,0.665,0.662,0.659,0.674,0.683,0.687,0.68,0.686,0.695,0.684,0.69,0.686,0.696,0.704,0.688,0.698,0.694,0.686,0.697
Drg66,0.784,0.844,0.873,0.861,0.891,0.884,0.892,0.881,0.888,0.893,0.908,0.904,0.904,0.902,0.901,0.906,0.922,0.913,0.921
Drg67,0.764,0.787,0.788,0.798,0.818,0.836,0.829,0.827,0.835,0.842,0.84,0.84,0.837,0.861,0.86,0.843,0.848,0.846,0.858
Drg68,0.795,0.804,0.814,0.814,0.823,0.828,0.828,0.832,0.83,0.841,0.85,0.843,0.844,0.844,0.845,0.84,0.85,0.847,0.847
Drg69,0.76,0.776,0.79,0.79,0.798,0.803,0.812,0.812,0.817,0.814,0.817,0.826,0.82,0.819,0.823,0.821,0.822,0.823,0.82
Drg84,0.593,0.584,0.588,0.606,0.596,0.613,0.613,0.614,0.614,0.615,0.621,0.628,0.623,0.626,0.619,0.623,0.62,0.631,0.625
Drg96,0.638,0.642,0.661,0.657,0.638,0.648,0.659,0.671,0.669,0.671,0.683,0.681,0.663,0.689,0.671,0.694,0.7,0.694,0.694
Drg97,0.7,0.704,0.697,0.722,0.73,0.729,0.739,0.744,0.732,0.741,0.742,0.743,0.748,0.751,0.754,0.753,0.759,0.753,0.753
Drg178,0.705,0.688,0.693,0.697,0.696,0.708,0.703,0.701,0.706,0.716,0.704,0.724,0.712,0.713,0.714,0.715,0.703,0.717,0.699
Drg179,0.841,0.848,0.851,0.85,0.847,0.841,0.85,0.849,0.852,0.849,0.849,0.851,0.849,0.851,0.848,0.854,0.841,0.849,0.845
Drg256,0.703,0.674,0.701,0.698,0.685,0.699,0.709,0.709,0.695,0.699,0.716,0.717,0.713,0.717,0.705,0.714,0.71,0.704,0.723
Drg259,0.83,0.84,0.843,0.841,0.842,0.843,0.848,0.852,0.849,0.849,0.85,0.852,0.848,0.854,0.848,0.851,0.852,0.851,0.852
Drg261,0.667,0.667,0.681,0.68,0.702,0.702,0.691,0.692,0.689,0.701,0.698,0.694,0.703,0.697,0.7,0.705,0.704,0.704,0.721
Drg262,0.61,0.6,0.625,0.617,0.62,0.621,0.632,0.625,0.638,0.612,0.641,0.623,0.632,0.633,0.624,0.65,0.633,0.63,0.641
Drg263,0.716,0.721,0.721,0.722,0.723,0.726,0.722,0.727,0.724,0.726,0.727,0.726,0.731,0.728,0.728,0.728,0.728,0.729,0.73
Drg309,0.696,0.693,0.703,0.704,0.7,0.709,0.708,0.708,0.705,0.695,0.715,0.711,0.696,0.702,0.713,0.704,0.706,0.712,0.714
