Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.916,0.905,0.934,0.933,0.935,0.9,0.918,0.931,0.921,0.931,0.929,0.94,0.941,0.938,0.921,0.926,0.93,0.939,0.933
Drg2,0.661,0.678,0.662,0.697,0.704,0.718,0.713,0.738,0.735,0.722,0.703,0.72,0.716,0.72,0.739,0.73,0.751,0.739,0.744
Drg3,0.829,0.855,0.861,0.869,0.875,0.862,0.861,0.844,0.871,0.882,0.858,0.887,0.883,0.891,0.899,0.888,0.896,0.881,0.884
Drg50,0.643,0.696,0.662,0.695,0.72,0.728,0.738,0.722,0.724,0.728,0.738,0.738,0.729,0.742,0.748,0.732,0.743,0.738,0.74
Drg52,0.704,0.67,0.703,0.701,0.745,0.723,0.727,0.732,0.745,0.726,0.74,0.73,0.732,0.755,0.714,0.735,0.745,0.729,0.765
Drg66,0.818,0.859,0.871,0.872,0.89,0.853,0.906,0.902,0.927,0.85,0.928,0.902,0.928,0.893,0.934,0.925,0.905,0.929,0.948
Drg67,0.776,0.784,0.783,0.798,0.794,0.809,0.816,0.821,0.834,0.825,0.829,0.818,0.816,0.855,0.847,0.829,0.85,0.858,0.834
Drg68,0.726,0.756,0.748,0.737,0.766,0.77,0.767,0.755,0.764,0.78,0.781,0.774,0.762,0.776,0.764,0.786,0.78,0.797,0.787
Drg69,0.828,0.839,0.881,0.883,0.874,0.867,0.883,0.895,0.89,0.889,0.907,0.902,0.883,0.892,0.911,0.898,0.909,0.905,0.905
Drg84,0.598,0.567,0.575,0.574,0.591,0.566,0.598,0.576,0.606,0.59,0.594,0.594,0.584,0.595,0.576,0.606,0.581,0.582,0.597
Drg96,0.596,0.594,0.601,0.568,0.607,0.617,0.643,0.612,0.598,0.611,0.621,0.613,0.619,0.595,0.638,0.626,0.608,0.627,0.631
Drg97,0.658,0.725,0.736,0.703,0.745,0.704,0.737,0.733,0.728,0.751,0.74,0.76,0.744,0.736,0.741,0.738,0.757,0.757,0.748
Drg178,0.668,0.682,0.682,0.697,0.675,0.727,0.731,0.71,0.707,0.712,0.711,0.733,0.743,0.731,0.73,0.745,0.718,0.744,0.711
Drg179,0.87,0.863,0.865,0.859,0.844,0.864,0.851,0.864,0.858,0.873,0.878,0.85,0.86,0.862,0.864,0.859,0.862,0.885,0.88
Drg256,0.608,0.639,0.618,0.613,0.625,0.628,0.647,0.642,0.629,0.652,0.641,0.629,0.649,0.638,0.661,0.625,0.657,0.661,0.648
Drg259,0.811,0.813,0.807,0.809,0.82,0.821,0.815,0.828,0.83,0.819,0.829,0.827,0.815,0.825,0.813,0.817,0.822,0.817,0.815
Drg261,0.678,0.687,0.68,0.667,0.68,0.702,0.697,0.693,0.695,0.711,0.717,0.696,0.691,0.688,0.693,0.703,0.697,0.683,0.714
Drg262,0.655,0.642,0.664,0.651,0.653,0.656,0.649,0.662,0.642,0.64,0.655,0.668,0.668,0.649,0.631,0.659,0.634,0.675,0.663
Drg263,0.676,0.677,0.673,0.683,0.682,0.687,0.676,0.684,0.679,0.686,0.682,0.683,0.691,0.681,0.681,0.683,0.678,0.687,0.686
Drg309,0.679,0.68,0.683,0.666,0.697,0.682,0.69,0.703,0.678,0.704,0.708,0.709,0.673,0.708,0.684,0.667,0.704,0.692,0.695
