Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.918,0.922,0.928,0.927,0.927,0.928,0.923,0.928,0.933,0.937,0.934,0.935,0.935,0.935,0.933,0.936,0.937,0.944,0.939
Drg2,0.618,0.621,0.634,0.647,0.663,0.652,0.657,0.67,0.664,0.673,0.653,0.679,0.672,0.673,0.675,0.681,0.688,0.689,0.678
Drg3,0.75,0.819,0.808,0.822,0.823,0.834,0.845,0.831,0.846,0.847,0.854,0.853,0.856,0.854,0.86,0.868,0.87,0.877,0.873
Drg50,0.608,0.626,0.634,0.645,0.653,0.657,0.668,0.653,0.667,0.666,0.665,0.676,0.671,0.671,0.676,0.674,0.679,0.679,0.681
Drg52,0.668,0.648,0.665,0.668,0.682,0.676,0.683,0.686,0.691,0.685,0.696,0.696,0.681,0.696,0.687,0.696,0.698,0.692,0.706
Drg66,0.799,0.849,0.869,0.85,0.869,0.867,0.89,0.891,0.899,0.889,0.91,0.901,0.908,0.91,0.896,0.907,0.921,0.914,0.921
Drg67,0.762,0.785,0.808,0.799,0.819,0.827,0.832,0.833,0.837,0.833,0.849,0.832,0.836,0.851,0.855,0.843,0.846,0.848,0.856
Drg68,0.791,0.817,0.822,0.812,0.828,0.831,0.838,0.827,0.831,0.84,0.847,0.843,0.838,0.842,0.847,0.839,0.85,0.843,0.856
Drg69,0.752,0.76,0.798,0.799,0.797,0.791,0.818,0.808,0.816,0.811,0.817,0.823,0.816,0.818,0.825,0.824,0.817,0.825,0.821
Drg84,0.6,0.592,0.601,0.607,0.616,0.603,0.615,0.62,0.628,0.631,0.624,0.629,0.627,0.633,0.626,0.626,0.631,0.62,0.629
Drg96,0.637,0.643,0.653,0.641,0.648,0.67,0.663,0.658,0.675,0.681,0.7,0.682,0.675,0.681,0.681,0.694,0.702,0.694,0.692
Drg97,0.691,0.711,0.716,0.71,0.74,0.726,0.737,0.731,0.736,0.75,0.74,0.751,0.752,0.748,0.756,0.75,0.759,0.757,0.757
Drg178,0.686,0.686,0.694,0.709,0.692,0.703,0.712,0.697,0.712,0.698,0.703,0.716,0.715,0.714,0.712,0.723,0.708,0.715,0.702
Drg179,0.848,0.843,0.851,0.847,0.849,0.851,0.847,0.85,0.853,0.849,0.854,0.851,0.851,0.856,0.852,0.852,0.843,0.852,0.85
Drg256,0.699,0.68,0.684,0.678,0.69,0.696,0.695,0.689,0.704,0.707,0.71,0.715,0.708,0.718,0.707,0.713,0.711,0.717,0.722
Drg259,0.834,0.838,0.84,0.843,0.842,0.846,0.848,0.851,0.851,0.848,0.849,0.851,0.851,0.853,0.848,0.851,0.853,0.852,0.852
Drg261,0.675,0.68,0.68,0.683,0.687,0.687,0.687,0.688,0.686,0.705,0.707,0.701,0.701,0.698,0.692,0.697,0.707,0.703,0.715
Drg262,0.62,0.624,0.626,0.624,0.632,0.636,0.636,0.641,0.641,0.634,0.636,0.646,0.628,0.644,0.633,0.647,0.636,0.631,0.639
Drg263,0.716,0.717,0.72,0.724,0.721,0.725,0.723,0.727,0.724,0.728,0.724,0.727,0.729,0.728,0.726,0.727,0.726,0.728,0.73
Drg309,0.699,0.703,0.7,0.709,0.704,0.7,0.71,0.717,0.705,0.703,0.718,0.719,0.7,0.704,0.706,0.709,0.706,0.713,0.708
