Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.914,0.92,0.927,0.916,0.913,0.921,0.916,0.938,0.918,0.922,0.921,0.934,0.926,0.928,0.918,0.92,0.932,0.936,0.939
Drg2,0.687,0.701,0.707,0.673,0.71,0.704,0.707,0.736,0.738,0.711,0.731,0.718,0.728,0.731,0.746,0.74,0.754,0.75,0.745
Drg3,0.817,0.836,0.825,0.846,0.861,0.85,0.847,0.87,0.871,0.873,0.874,0.881,0.896,0.92,0.894,0.895,0.884,0.885,0.884
Drg50,0.693,0.691,0.708,0.69,0.724,0.707,0.702,0.748,0.739,0.715,0.736,0.722,0.724,0.712,0.739,0.736,0.747,0.742,0.738
Drg52,0.705,0.693,0.721,0.69,0.708,0.72,0.743,0.742,0.737,0.733,0.747,0.714,0.743,0.77,0.738,0.762,0.759,0.761,0.763
Drg66,0.758,0.88,0.891,0.902,0.896,0.882,0.916,0.898,0.915,0.875,0.938,0.912,0.889,0.9,0.91,0.94,0.917,0.925,0.949
Drg67,0.782,0.798,0.796,0.797,0.8,0.825,0.812,0.814,0.812,0.841,0.842,0.83,0.835,0.826,0.839,0.826,0.829,0.84,0.839
Drg68,0.722,0.723,0.745,0.763,0.756,0.771,0.766,0.774,0.772,0.772,0.776,0.783,0.775,0.775,0.759,0.784,0.767,0.788,0.781
Drg69,0.825,0.873,0.878,0.873,0.879,0.86,0.885,0.897,0.872,0.902,0.909,0.905,0.886,0.891,0.911,0.898,0.907,0.911,0.899
Drg84,0.553,0.568,0.555,0.543,0.561,0.591,0.581,0.578,0.581,0.591,0.594,0.58,0.582,0.607,0.582,0.599,0.584,0.567,0.603
Drg96,0.603,0.593,0.619,0.605,0.578,0.609,0.632,0.644,0.612,0.637,0.605,0.58,0.638,0.627,0.665,0.633,0.61,0.62,0.641
Drg97,0.692,0.712,0.716,0.713,0.724,0.725,0.736,0.723,0.738,0.726,0.744,0.751,0.738,0.743,0.743,0.747,0.75,0.741,0.742
Drg178,0.669,0.703,0.701,0.671,0.702,0.749,0.729,0.728,0.705,0.697,0.74,0.719,0.717,0.715,0.73,0.75,0.75,0.757,0.725
Drg179,0.863,0.881,0.875,0.867,0.867,0.867,0.853,0.858,0.86,0.869,0.865,0.867,0.866,0.868,0.861,0.859,0.866,0.887,0.879
Drg256,0.582,0.577,0.601,0.609,0.57,0.586,0.607,0.593,0.598,0.585,0.601,0.637,0.594,0.64,0.624,0.633,0.639,0.661,0.636
Drg259,0.797,0.806,0.814,0.815,0.808,0.82,0.814,0.829,0.817,0.812,0.826,0.818,0.826,0.824,0.814,0.823,0.826,0.814,0.815
Drg261,0.639,0.655,0.662,0.647,0.683,0.681,0.697,0.675,0.69,0.679,0.712,0.699,0.692,0.671,0.71,0.688,0.7,0.682,0.713
Drg262,0.641,0.63,0.62,0.661,0.635,0.605,0.644,0.67,0.61,0.646,0.643,0.647,0.674,0.638,0.679,0.68,0.667,0.644,0.659
Drg263,0.657,0.663,0.667,0.678,0.678,0.68,0.678,0.687,0.68,0.681,0.684,0.684,0.696,0.697,0.693,0.697,0.691,0.691,0.698
Drg309,0.664,0.687,0.64,0.65,0.652,0.65,0.64,0.652,0.636,0.652,0.634,0.645,0.662,0.655,0.663,0.66,0.653,0.652,0.662
