Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.919,0.924,0.921,0.924,0.928,0.928,0.93,0.928,0.93,0.934,0.932,0.932,0.934,0.937,0.928,0.931,0.933,0.941,0.941
Drg2,0.622,0.636,0.644,0.643,0.665,0.646,0.661,0.669,0.668,0.668,0.655,0.667,0.678,0.687,0.677,0.687,0.682,0.681,0.684
Drg3,0.76,0.811,0.804,0.804,0.821,0.835,0.827,0.832,0.842,0.847,0.856,0.838,0.856,0.856,0.858,0.86,0.863,0.867,0.879
Drg50,0.616,0.63,0.645,0.637,0.659,0.654,0.645,0.66,0.664,0.668,0.663,0.678,0.667,0.672,0.674,0.669,0.678,0.679,0.685
Drg52,0.663,0.643,0.669,0.661,0.68,0.679,0.679,0.681,0.686,0.691,0.695,0.676,0.695,0.705,0.702,0.697,0.706,0.696,0.699
Drg66,0.765,0.854,0.859,0.869,0.864,0.882,0.891,0.895,0.9,0.895,0.913,0.901,0.891,0.917,0.901,0.909,0.92,0.911,0.926
Drg67,0.778,0.772,0.799,0.79,0.81,0.823,0.823,0.831,0.833,0.833,0.843,0.837,0.846,0.854,0.859,0.846,0.841,0.852,0.852
Drg68,0.784,0.797,0.812,0.819,0.829,0.827,0.834,0.838,0.84,0.848,0.847,0.843,0.843,0.84,0.836,0.833,0.847,0.846,0.852
Drg69,0.752,0.776,0.802,0.791,0.804,0.793,0.813,0.806,0.811,0.812,0.817,0.821,0.812,0.815,0.824,0.812,0.818,0.83,0.818
Drg84,0.576,0.561,0.574,0.576,0.605,0.598,0.597,0.608,0.62,0.622,0.615,0.618,0.607,0.629,0.618,0.621,0.622,0.625,0.627
Drg96,0.631,0.626,0.654,0.649,0.641,0.651,0.677,0.666,0.674,0.671,0.673,0.68,0.68,0.692,0.693,0.696,0.691,0.677,0.705
Drg97,0.704,0.711,0.715,0.724,0.732,0.729,0.732,0.748,0.734,0.742,0.739,0.748,0.746,0.744,0.752,0.754,0.759,0.749,0.756
Drg178,0.669,0.691,0.672,0.703,0.693,0.706,0.697,0.687,0.706,0.684,0.713,0.698,0.693,0.704,0.7,0.714,0.706,0.709,0.7
Drg179,0.847,0.849,0.851,0.851,0.85,0.848,0.848,0.846,0.855,0.847,0.851,0.853,0.851,0.85,0.845,0.853,0.844,0.855,0.847
Drg256,0.652,0.661,0.643,0.675,0.651,0.665,0.674,0.676,0.68,0.674,0.686,0.715,0.694,0.7,0.703,0.721,0.717,0.723,0.718
Drg259,0.836,0.838,0.842,0.842,0.841,0.85,0.848,0.853,0.849,0.846,0.852,0.852,0.853,0.853,0.851,0.854,0.854,0.852,0.85
Drg261,0.661,0.668,0.674,0.682,0.669,0.685,0.685,0.694,0.697,0.699,0.704,0.701,0.701,0.696,0.704,0.705,0.711,0.707,0.71
Drg262,0.589,0.598,0.597,0.6,0.612,0.599,0.606,0.597,0.632,0.618,0.616,0.611,0.628,0.626,0.633,0.632,0.63,0.61,0.623
Drg263,0.692,0.702,0.699,0.71,0.712,0.712,0.713,0.719,0.717,0.718,0.722,0.723,0.727,0.727,0.725,0.73,0.727,0.727,0.733
Drg309,0.681,0.688,0.684,0.692,0.671,0.693,0.706,0.691,0.698,0.697,0.691,0.707,0.711,0.701,0.698,0.694,0.698,0.701,0.708
