Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.905,0.904,0.908,0.928,0.914,0.916,0.919,0.927,0.914,0.936,0.926,0.929,0.924,0.93,0.927,0.926,0.933,0.931,0.946
Drg2,0.668,0.705,0.681,0.667,0.723,0.728,0.726,0.719,0.715,0.723,0.707,0.749,0.74,0.714,0.728,0.742,0.753,0.774,0.748
Drg3,0.55,0.672,0.667,0.676,0.71,0.7,0.713,0.775,0.738,0.679,0.768,0.697,0.769,0.743,0.73,0.787,0.777,0.81,0.809
Drg50,0.559,0.571,0.564,0.569,0.569,0.565,0.574,0.561,0.562,0.565,0.569,0.571,0.561,0.568,0.577,0.569,0.572,0.55,0.573
Drg52,0.625,0.659,0.616,0.602,0.653,0.659,0.635,0.625,0.629,0.635,0.642,0.632,0.631,0.65,0.652,0.657,0.642,0.654,0.632
Drg66,0.799,0.847,0.881,0.861,0.864,0.893,0.87,0.878,0.906,0.895,0.901,0.874,0.914,0.88,0.883,0.885,0.891,0.896,0.912
Drg67,0.734,0.778,0.791,0.775,0.804,0.827,0.815,0.839,0.809,0.804,0.814,0.823,0.83,0.844,0.841,0.821,0.799,0.818,0.857
Drg68,0.802,0.812,0.83,0.85,0.846,0.864,0.842,0.856,0.876,0.868,0.882,0.872,0.875,0.865,0.874,0.883,0.872,0.884,0.87
Drg69,0.734,0.748,0.774,0.772,0.782,0.779,0.785,0.793,0.78,0.789,0.787,0.792,0.79,0.797,0.796,0.792,0.802,0.784,0.794
Drg84,0.562,0.561,0.556,0.573,0.558,0.6,0.581,0.589,0.598,0.599,0.585,0.586,0.591,0.591,0.621,0.594,0.586,0.597,0.598
Drg96,0.572,0.603,0.598,0.577,0.633,0.603,0.618,0.635,0.623,0.655,0.66,0.635,0.643,0.608,0.649,0.628,0.659,0.653,0.639
Drg97,0.693,0.67,0.68,0.703,0.708,0.688,0.709,0.719,0.722,0.718,0.736,0.723,0.718,0.719,0.753,0.74,0.728,0.717,0.733
Drg178,0.654,0.672,0.657,0.691,0.667,0.697,0.692,0.67,0.717,0.708,0.691,0.743,0.702,0.684,0.722,0.721,0.707,0.73,0.695
Drg179,0.827,0.834,0.838,0.827,0.846,0.84,0.839,0.833,0.85,0.841,0.842,0.84,0.844,0.829,0.838,0.853,0.825,0.825,0.83
Drg256,0.774,0.684,0.683,0.692,0.727,0.722,0.728,0.752,0.75,0.766,0.753,0.74,0.733,0.749,0.765,0.737,0.764,0.758,0.745
Drg259,0.815,0.815,0.821,0.816,0.825,0.816,0.817,0.821,0.822,0.824,0.824,0.823,0.821,0.818,0.824,0.816,0.824,0.821,0.821
Drg261,0.729,0.757,0.76,0.772,0.772,0.777,0.759,0.772,0.777,0.783,0.799,0.796,0.787,0.774,0.789,0.783,0.815,0.811,0.798
Drg262,0.755,0.697,0.697,0.693,0.701,0.724,0.7,0.717,0.734,0.718,0.696,0.759,0.723,0.743,0.722,0.763,0.72,0.716,0.742
Drg263,0.729,0.736,0.742,0.742,0.749,0.748,0.745,0.75,0.746,0.749,0.749,0.743,0.743,0.744,0.752,0.753,0.752,0.751,0.752
Drg309,0.658,0.678,0.7,0.662,0.694,0.696,0.687,0.685,0.692,0.654,0.706,0.69,0.673,0.675,0.663,0.703,0.662,0.693,0.675
