Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.91,0.913,0.909,0.932,0.926,0.924,0.932,0.93,0.931,0.93,0.934,0.933,0.933,0.936,0.931,0.934,0.94,0.941,0.944
Drg2,0.619,0.642,0.637,0.637,0.663,0.655,0.648,0.668,0.667,0.661,0.659,0.666,0.677,0.663,0.661,0.678,0.665,0.677,0.672
Drg3,0.659,0.73,0.754,0.758,0.763,0.769,0.774,0.781,0.787,0.779,0.805,0.787,0.81,0.805,0.802,0.817,0.797,0.821,0.813
Drg50,0.64,0.653,0.656,0.654,0.664,0.659,0.664,0.662,0.667,0.664,0.672,0.666,0.669,0.662,0.672,0.679,0.676,0.67,0.672
Drg52,0.674,0.691,0.676,0.685,0.702,0.704,0.699,0.702,0.7,0.692,0.708,0.704,0.702,0.708,0.713,0.702,0.706,0.71,0.702
Drg66,0.808,0.852,0.862,0.854,0.871,0.875,0.882,0.884,0.909,0.893,0.903,0.892,0.894,0.894,0.891,0.901,0.899,0.899,0.915
Drg67,0.777,0.809,0.813,0.821,0.831,0.84,0.839,0.843,0.849,0.839,0.851,0.848,0.858,0.851,0.862,0.853,0.855,0.852,0.86
Drg68,0.777,0.8,0.811,0.82,0.82,0.825,0.832,0.834,0.844,0.842,0.848,0.84,0.842,0.838,0.84,0.836,0.836,0.844,0.839
Drg69,0.75,0.77,0.792,0.786,0.803,0.795,0.812,0.808,0.804,0.811,0.814,0.813,0.81,0.812,0.822,0.814,0.809,0.821,0.811
Drg84,0.605,0.6,0.609,0.616,0.601,0.619,0.619,0.618,0.628,0.633,0.623,0.627,0.631,0.63,0.638,0.633,0.624,0.63,0.627
Drg96,0.618,0.65,0.631,0.611,0.652,0.638,0.655,0.655,0.674,0.664,0.669,0.679,0.674,0.665,0.682,0.673,0.678,0.678,0.695
Drg97,0.696,0.694,0.703,0.724,0.724,0.721,0.734,0.735,0.737,0.731,0.743,0.739,0.743,0.739,0.75,0.749,0.751,0.747,0.747
Drg178,0.686,0.695,0.682,0.714,0.686,0.701,0.704,0.689,0.706,0.704,0.699,0.72,0.714,0.717,0.718,0.719,0.706,0.711,0.697
Drg179,0.84,0.848,0.845,0.845,0.855,0.853,0.843,0.847,0.849,0.845,0.851,0.847,0.848,0.851,0.851,0.854,0.844,0.851,0.849
Drg256,0.687,0.659,0.681,0.669,0.689,0.688,0.693,0.696,0.704,0.685,0.717,0.698,0.704,0.718,0.718,0.706,0.705,0.712,0.726
Drg259,0.839,0.84,0.844,0.845,0.845,0.844,0.845,0.848,0.847,0.847,0.851,0.848,0.845,0.848,0.848,0.847,0.849,0.85,0.847
Drg261,0.669,0.678,0.68,0.684,0.687,0.694,0.693,0.688,0.698,0.698,0.704,0.699,0.695,0.695,0.699,0.698,0.708,0.707,0.715
Drg262,0.631,0.629,0.615,0.622,0.624,0.629,0.634,0.628,0.65,0.638,0.639,0.646,0.625,0.646,0.635,0.648,0.641,0.625,0.647
Drg263,0.707,0.712,0.718,0.714,0.718,0.724,0.719,0.727,0.724,0.725,0.725,0.727,0.727,0.727,0.73,0.729,0.728,0.728,0.733
Drg309,0.675,0.699,0.7,0.7,0.692,0.708,0.712,0.703,0.708,0.702,0.716,0.71,0.707,0.704,0.699,0.705,0.708,0.719,0.717
