Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.915,0.932,0.941,0.933,0.925,0.92,0.923,0.927,0.941,0.927,0.936,0.925,0.939,0.943,0.922,0.939,0.936,0.932,0.936
Drg2,0.692,0.682,0.705,0.694,0.693,0.716,0.713,0.729,0.754,0.723,0.72,0.699,0.728,0.73,0.758,0.745,0.734,0.729,0.722
Drg3,0.723,0.735,0.803,0.778,0.803,0.822,0.791,0.821,0.821,0.796,0.792,0.856,0.84,0.825,0.81,0.826,0.8,0.816,0.807
Drg50,0.707,0.717,0.724,0.718,0.733,0.722,0.736,0.74,0.723,0.727,0.746,0.729,0.731,0.741,0.73,0.746,0.746,0.734,0.732
Drg52,0.712,0.693,0.709,0.698,0.732,0.723,0.719,0.723,0.75,0.732,0.748,0.725,0.725,0.76,0.731,0.714,0.727,0.733,0.742
Drg66,0.81,0.853,0.851,0.86,0.876,0.884,0.914,0.885,0.936,0.902,0.912,0.882,0.934,0.917,0.895,0.922,0.902,0.886,0.936
Drg67,0.806,0.806,0.807,0.817,0.825,0.871,0.817,0.828,0.838,0.848,0.847,0.858,0.856,0.856,0.868,0.852,0.848,0.848,0.867
Drg68,0.691,0.732,0.729,0.755,0.747,0.757,0.748,0.764,0.761,0.769,0.743,0.755,0.728,0.771,0.746,0.762,0.744,0.787,0.747
Drg69,0.821,0.853,0.888,0.879,0.879,0.874,0.895,0.904,0.893,0.899,0.899,0.9,0.899,0.894,0.928,0.892,0.9,0.896,0.898
Drg84,0.576,0.591,0.591,0.581,0.586,0.568,0.573,0.584,0.594,0.571,0.586,0.57,0.576,0.607,0.583,0.605,0.575,0.571,0.599
Drg96,0.585,0.612,0.605,0.603,0.582,0.589,0.604,0.606,0.609,0.632,0.632,0.625,0.622,0.619,0.641,0.643,0.626,0.618,0.632
Drg97,0.692,0.705,0.709,0.739,0.721,0.718,0.72,0.714,0.728,0.711,0.727,0.739,0.726,0.72,0.727,0.725,0.75,0.729,0.748
Drg178,0.706,0.691,0.709,0.67,0.687,0.73,0.691,0.693,0.719,0.72,0.718,0.72,0.73,0.735,0.734,0.756,0.73,0.73,0.716
Drg179,0.859,0.86,0.866,0.86,0.859,0.849,0.86,0.874,0.856,0.864,0.876,0.853,0.868,0.873,0.859,0.845,0.879,0.876,0.878
Drg256,0.607,0.609,0.626,0.585,0.609,0.622,0.637,0.593,0.621,0.625,0.627,0.652,0.63,0.643,0.642,0.64,0.651,0.676,0.649
Drg259,0.802,0.806,0.795,0.806,0.797,0.796,0.801,0.8,0.81,0.806,0.806,0.807,0.799,0.81,0.798,0.802,0.804,0.803,0.804
Drg261,0.685,0.697,0.667,0.682,0.704,0.688,0.715,0.685,0.688,0.695,0.715,0.694,0.692,0.682,0.707,0.702,0.694,0.698,0.715
Drg262,0.657,0.622,0.634,0.668,0.66,0.641,0.645,0.672,0.667,0.641,0.651,0.669,0.665,0.657,0.673,0.674,0.666,0.671,0.661
Drg263,0.663,0.661,0.678,0.679,0.682,0.674,0.676,0.684,0.683,0.681,0.683,0.689,0.692,0.686,0.685,0.682,0.693,0.69,0.69
Drg309,0.658,0.676,0.639,0.672,0.676,0.648,0.682,0.686,0.641,0.654,0.694,0.683,0.667,0.685,0.685,0.66,0.692,0.678,0.681
