Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.91,0.918,0.926,0.927,0.927,0.924,0.929,0.925,0.934,0.927,0.932,0.927,0.935,0.938,0.935,0.937,0.942,0.941,0.941
Drg2,0.62,0.64,0.64,0.647,0.652,0.652,0.653,0.667,0.677,0.657,0.645,0.668,0.668,0.661,0.671,0.687,0.662,0.671,0.672
Drg3,0.677,0.737,0.763,0.738,0.76,0.773,0.769,0.779,0.782,0.78,0.8,0.802,0.808,0.795,0.797,0.807,0.821,0.817,0.825
Drg50,0.644,0.649,0.649,0.652,0.66,0.651,0.665,0.664,0.665,0.666,0.667,0.671,0.671,0.674,0.672,0.67,0.68,0.67,0.67
Drg52,0.658,0.656,0.671,0.677,0.689,0.672,0.685,0.685,0.7,0.698,0.704,0.687,0.694,0.7,0.693,0.687,0.7,0.691,0.697
Drg66,0.796,0.828,0.86,0.849,0.874,0.882,0.89,0.871,0.907,0.893,0.89,0.885,0.899,0.897,0.895,0.903,0.907,0.903,0.912
Drg67,0.775,0.813,0.812,0.82,0.832,0.852,0.835,0.841,0.846,0.843,0.848,0.842,0.854,0.859,0.862,0.855,0.847,0.852,0.863
Drg68,0.781,0.799,0.815,0.824,0.825,0.825,0.833,0.836,0.842,0.848,0.841,0.837,0.832,0.844,0.837,0.844,0.833,0.851,0.838
Drg69,0.752,0.767,0.796,0.788,0.808,0.803,0.814,0.808,0.81,0.806,0.817,0.818,0.812,0.815,0.82,0.809,0.807,0.82,0.815
Drg84,0.599,0.606,0.614,0.607,0.61,0.618,0.61,0.623,0.627,0.621,0.627,0.624,0.626,0.63,0.633,0.625,0.621,0.618,0.635
Drg96,0.621,0.66,0.632,0.659,0.646,0.652,0.667,0.669,0.673,0.658,0.682,0.674,0.676,0.679,0.681,0.681,0.707,0.678,0.696
Drg97,0.684,0.71,0.712,0.712,0.728,0.721,0.729,0.735,0.73,0.741,0.739,0.74,0.741,0.743,0.744,0.747,0.756,0.747,0.752
Drg178,0.698,0.691,0.69,0.689,0.696,0.714,0.704,0.687,0.722,0.696,0.709,0.726,0.702,0.71,0.716,0.726,0.715,0.716,0.704
Drg179,0.847,0.841,0.847,0.845,0.849,0.845,0.846,0.851,0.854,0.848,0.852,0.848,0.849,0.856,0.849,0.851,0.845,0.85,0.85
Drg256,0.68,0.664,0.677,0.686,0.69,0.687,0.708,0.683,0.705,0.682,0.712,0.703,0.703,0.719,0.704,0.722,0.703,0.724,0.728
Drg259,0.843,0.844,0.841,0.846,0.845,0.844,0.843,0.848,0.848,0.848,0.847,0.85,0.845,0.847,0.847,0.845,0.849,0.85,0.847
Drg261,0.689,0.675,0.676,0.685,0.69,0.694,0.69,0.685,0.696,0.697,0.697,0.698,0.704,0.694,0.698,0.693,0.699,0.706,0.71
Drg262,0.633,0.622,0.62,0.622,0.645,0.615,0.636,0.632,0.645,0.633,0.615,0.633,0.644,0.641,0.646,0.647,0.628,0.632,0.654
Drg263,0.705,0.708,0.715,0.716,0.718,0.72,0.723,0.724,0.723,0.725,0.723,0.728,0.727,0.725,0.727,0.728,0.731,0.727,0.731
Drg309,0.689,0.687,0.694,0.702,0.701,0.697,0.708,0.702,0.699,0.692,0.715,0.706,0.707,0.708,0.704,0.701,0.708,0.707,0.704
