Drg,1.0,1.2,1.5,2.0,5.0,10.0,15.0,20.0
Drg0,0.919,0.919,0.918,0.918,0.916,0.917,0.916,0.915
Drg2,0.661,0.663,0.664,0.664,0.665,0.668,0.668,0.668
Drg3,0.792,0.799,0.81,0.822,0.839,0.848,0.851,0.852
Drg50,0.668,0.67,0.67,0.67,0.67,0.67,0.67,0.668
Drg52,0.714,0.715,0.716,0.718,0.719,0.715,0.709,0.708
Drg66,0.891,0.897,0.899,0.902,0.914,0.917,0.923,0.924
Drg67,0.823,0.824,0.825,0.827,0.834,0.832,0.833,0.831
Drg68,0.871,0.871,0.873,0.873,0.875,0.876,0.876,0.873
Drg69,0.835,0.836,0.837,0.837,0.836,0.836,0.835,0.833
Drg84,0.634,0.635,0.636,0.637,0.635,0.632,0.631,0.63
Drg96,0.739,0.737,0.734,0.732,0.718,0.709,0.701,0.696
Drg97,0.783,0.782,0.78,0.78,0.776,0.771,0.767,0.764
Drg178,0.7,0.7,0.698,0.697,0.693,0.688,0.685,0.683
Drg179,0.833,0.834,0.834,0.833,0.829,0.824,0.82,0.819
Drg256,0.711,0.709,0.709,0.706,0.699,0.699,0.696,0.698
Drg259,0.862,0.862,0.862,0.861,0.858,0.855,0.853,0.851
Drg261,0.696,0.697,0.697,0.695,0.692,0.685,0.68,0.676
Drg262,0.646,0.645,0.643,0.639,0.627,0.618,0.613,0.609
Drg263,0.735,0.735,0.735,0.733,0.726,0.72,0.716,0.713
Drg309,0.716,0.718,0.718,0.723,0.724,0.725,0.727,0.726
