Drg,0.01,0.1,0.2,0.5,1.0,1.2,1.5,2.0
Drg0,0.909,0.916,0.918,0.918,0.919,0.919,0.918,0.918
Drg2,0.613,0.645,0.653,0.659,0.661,0.663,0.664,0.664
Drg3,0.731,0.738,0.751,0.775,0.792,0.799,0.81,0.822
Drg50,0.553,0.641,0.653,0.662,0.668,0.67,0.67,0.67
Drg52,0.423,0.64,0.674,0.704,0.714,0.715,0.716,0.718
Drg66,0.736,0.846,0.868,0.881,0.891,0.897,0.899,0.902
Drg67,0.726,0.809,0.814,0.819,0.823,0.824,0.825,0.827
Drg68,0.79,0.857,0.862,0.867,0.871,0.871,0.873,0.873
Drg69,0.757,0.82,0.826,0.831,0.835,0.836,0.837,0.837
Drg84,0.575,0.618,0.626,0.632,0.634,0.635,0.636,0.637
Drg96,0.544,0.718,0.732,0.742,0.739,0.737,0.734,0.732
Drg97,0.64,0.761,0.774,0.782,0.783,0.782,0.78,0.78
Drg178,0.682,0.693,0.704,0.703,0.7,0.7,0.698,0.697
Drg179,0.786,0.818,0.822,0.828,0.833,0.834,0.834,0.833
Drg256,0.578,0.701,0.713,0.714,0.711,0.709,0.709,0.706
Drg259,0.732,0.846,0.856,0.861,0.862,0.862,0.862,0.861
Drg261,0.574,0.671,0.685,0.694,0.696,0.697,0.697,0.695
Drg262,0.385,0.627,0.648,0.649,0.646,0.645,0.643,0.639
Drg263,0.563,0.72,0.729,0.734,0.735,0.735,0.735,0.733
Drg309,0.424,0.617,0.659,0.696,0.716,0.718,0.718,0.723
