Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.908,0.916,0.918,0.924,0.922,0.918,0.928,0.925,0.925,0.928,0.929,0.926,0.931,0.929,0.929,0.929,0.929,0.931,0.93
Drg2,0.612,0.606,0.63,0.616,0.623,0.627,0.642,0.657,0.657,0.655,0.663,0.652,0.666,0.664,0.672,0.672,0.678,0.676,0.679
Drg3,0.722,0.764,0.753,0.783,0.785,0.801,0.809,0.811,0.822,0.82,0.835,0.842,0.834,0.842,0.845,0.847,0.849,0.853,0.854
Drg50,0.571,0.593,0.608,0.606,0.632,0.628,0.631,0.642,0.651,0.641,0.646,0.658,0.664,0.662,0.67,0.67,0.671,0.675,0.676
Drg52,0.568,0.587,0.612,0.631,0.634,0.637,0.652,0.668,0.66,0.667,0.679,0.676,0.684,0.685,0.688,0.692,0.696,0.696,0.704
Drg66,0.869,0.883,0.898,0.906,0.911,0.92,0.916,0.934,0.924,0.926,0.936,0.939,0.938,0.942,0.939,0.94,0.939,0.939,0.938
Drg67,0.783,0.789,0.798,0.806,0.825,0.822,0.825,0.828,0.829,0.832,0.835,0.84,0.84,0.841,0.843,0.844,0.847,0.847,0.848
Drg68,0.824,0.836,0.836,0.835,0.844,0.853,0.849,0.848,0.851,0.856,0.86,0.856,0.863,0.862,0.864,0.865,0.866,0.867,0.867
Drg69,0.794,0.792,0.804,0.817,0.824,0.824,0.824,0.826,0.831,0.835,0.837,0.839,0.84,0.84,0.839,0.841,0.845,0.845,0.847
Drg84,0.563,0.552,0.572,0.565,0.582,0.593,0.582,0.603,0.607,0.607,0.603,0.622,0.616,0.607,0.614,0.619,0.619,0.622,0.624
Drg96,0.633,0.649,0.659,0.656,0.677,0.671,0.684,0.685,0.682,0.679,0.686,0.693,0.7,0.685,0.702,0.701,0.701,0.7,0.708
Drg97,0.695,0.726,0.729,0.733,0.726,0.737,0.74,0.743,0.75,0.749,0.753,0.753,0.752,0.753,0.757,0.754,0.757,0.756,0.757
Drg178,0.617,0.636,0.658,0.677,0.668,0.681,0.667,0.689,0.684,0.687,0.686,0.696,0.691,0.7,0.702,0.702,0.699,0.7,0.703
Drg179,0.809,0.816,0.815,0.822,0.819,0.819,0.815,0.823,0.826,0.822,0.825,0.82,0.823,0.822,0.824,0.827,0.825,0.825,0.828
Drg256,0.563,0.604,0.603,0.611,0.642,0.646,0.638,0.642,0.654,0.659,0.648,0.666,0.666,0.674,0.677,0.677,0.678,0.684,0.684
Drg259,0.8,0.806,0.824,0.825,0.829,0.835,0.839,0.835,0.843,0.846,0.847,0.849,0.848,0.851,0.852,0.851,0.85,0.851,0.852
Drg261,0.607,0.626,0.648,0.651,0.659,0.663,0.663,0.672,0.674,0.675,0.681,0.683,0.685,0.679,0.686,0.686,0.687,0.689,0.689
Drg262,0.511,0.539,0.542,0.548,0.536,0.57,0.567,0.576,0.583,0.588,0.592,0.6,0.601,0.6,0.591,0.603,0.605,0.6,0.606
Drg263,0.641,0.658,0.668,0.676,0.678,0.686,0.689,0.692,0.694,0.697,0.696,0.702,0.702,0.701,0.702,0.702,0.704,0.704,0.705
Drg309,0.588,0.631,0.63,0.643,0.666,0.687,0.68,0.686,0.685,0.688,0.68,0.7,0.699,0.697,0.692,0.7,0.7,0.703,0.703
