Drg,1,5,10,20,100
Drg0,0.881,0.881,0.881,0.881,0.881
Drg2,0.572,0.572,0.572,0.572,0.572
Drg3,0.813,0.813,0.813,0.813,0.813
Drg50,0.611,0.611,0.611,0.611,0.611
Drg52,0.723,0.723,0.723,0.723,0.723
Drg66,0.908,0.908,0.908,0.908,0.908
Drg67,0.788,0.788,0.788,0.788,0.788
Drg68,0.892,0.892,0.892,0.892,0.892
Drg69,0.856,0.856,0.856,0.856,0.856
Drg84,0.643,0.643,0.643,0.643,0.643
Drg96,0.786,0.786,0.786,0.786,0.786
Drg97,0.812,0.812,0.812,0.812,0.812
Drg178,0.628,0.628,0.628,0.628,0.628
Drg179,0.868,0.868,0.868,0.868,0.868
Drg256,0.66,0.66,0.66,0.66,0.66
Drg259,0.889,0.889,0.889,0.889,0.889
Drg261,0.625,0.625,0.625,0.625,0.625
Drg262,0.59,0.59,0.59,0.59,0.59
Drg263,0.678,0.678,0.678,0.678,0.678
Drg309,0.8,0.8,0.8,0.8,0.8
