Drg,1,5,10,20,100
Drg0,0.919,0.916,0.914,0.909,0.898
Drg2,0.661,0.669,0.656,0.64,0.621
Drg3,0.792,0.854,0.851,0.852,0.847
Drg50,0.668,0.669,0.677,0.688,0.68
Drg52,0.714,0.706,0.693,0.684,0.671
Drg66,0.891,0.923,0.932,0.922,0.91
Drg67,0.823,0.829,0.819,0.799,0.741
Drg68,0.871,0.871,0.857,0.827,0.786
Drg69,0.835,0.832,0.824,0.811,0.778
Drg84,0.634,0.629,0.627,0.614,0.578
Drg96,0.739,0.688,0.651,0.628,0.599
Drg97,0.783,0.762,0.741,0.711,0.67
Drg178,0.7,0.678,0.665,0.635,0.593
Drg179,0.833,0.817,0.809,0.802,0.76
Drg256,0.711,0.698,0.677,0.657,0.639
Drg259,0.862,0.849,0.838,0.825,0.798
Drg261,0.696,0.673,0.652,0.634,0.612
Drg262,0.646,0.604,0.593,0.591,0.579
Drg263,0.735,0.711,0.698,0.684,0.641
Drg309,0.716,0.725,0.711,0.692,0.656
