Drg,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
Drg0,-0.013,-0.002,-0.007,-0.001,-0.008,-0.003,-0.005,-0.007,-0.01,-0.015,-0.015,-0.006,-0.007,-0.014,-0.007,-0.007,-0.009,-0.008,-0.01
Drg2,-0.005,0.013,-0.006,0.027,-0.003,-0.005,-0.017,0.007,-0.011,-0.03,-0.026,-0.027,-0.019,-0.024,-0.021,-0.014,-0.038,-0.021,-0.02
Drg3,-0.164,-0.16,-0.109,-0.107,-0.132,-0.114,-0.128,-0.129,-0.089,-0.14,-0.111,-0.102,-0.116,-0.108,-0.124,-0.109,-0.113,-0.112,-0.112
Drg50,0.07,0.06,0.062,0.059,0.051,0.045,0.037,0.04,0.039,0.028,0.029,0.026,0.021,0.027,0.015,0.016,0.008,0.006,0.004
Drg52,0.113,0.085,0.095,0.084,0.068,0.058,0.041,0.047,0.052,0.047,0.046,0.031,0.038,0.027,0.046,0.024,0.019,0.018,0.02
Drg66,0.086,0.076,0.038,0.017,0.025,0.011,0.006,0.002,0.026,0.016,0.005,-0.015,0.014,-0.01,-0.007,-0.002,-0.012,-0.018,0.011
Drg67,0.062,0.061,0.047,0.028,0.038,0.032,0.024,0.017,0.021,0.015,0.016,0.019,0.012,0.002,0.017,0.005,0.012,0.009,0.004
Drg68,0.038,0.001,0.011,0.013,0.007,-0.005,0.015,-0.003,0.01,0.001,-0.002,-0.004,-0.007,-0.001,-0.001,0.001,-0.017,0.001,-0.01
Drg69,0.06,0.03,0.048,0.04,0.021,0.025,0.021,0.004,0.012,0.019,0.003,0.007,-0.004,0.009,-0.009,-0.011,-0.011,-0.009,-0.022
Drg84,0.035,0.056,0.058,0.045,0.037,0.057,0.032,0.025,0.046,0.012,0.032,0.031,0.031,0.032,0.034,0.025,0.032,0.033,0.034
Drg96,0.055,0.068,0.022,0.011,0.007,0.03,-0.012,0.002,0.009,-0.006,0.023,-0.013,-0.021,0.003,-0.014,-0.015,-0.027,-0.023,-0.007
Drg97,0.025,0.021,0.007,0.017,0.015,0.014,0.007,-0.002,0.02,0.011,0.002,0.007,0,0.007,0.003,0.01,0.003,0.01,0.01
Drg178,0.09,0.091,0.088,0.083,0.066,0.08,0.049,0.045,0.061,0.058,0.036,0.052,0.057,0.052,0.049,0.042,0.04,0.059,0.041
Drg179,0.047,0.047,0.028,0.023,0.034,0.023,0.022,0.033,0.021,0.025,0.024,0.017,0.009,0.021,0.022,0.017,0.019,0.013,0.013
Drg256,0.166,0.155,0.123,0.116,0.115,0.11,0.089,0.072,0.066,0.07,0.067,0.073,0.05,0.04,0.039,0.025,0.015,0.008,0.025
Drg259,0.033,0.03,0.032,0.027,0.017,0.016,0.012,0.013,0.009,0.012,0.009,0.007,0.005,0.007,0.004,0.002,0.009,0.006,0.004
Drg261,0.101,0.087,0.073,0.071,0.064,0.068,0.055,0.067,0.054,0.059,0.049,0.026,0.051,0.045,0.042,0.027,0.035,0.048,0.029
Drg262,0.093,0.044,0.105,0.077,0.048,0.07,0.038,0.057,0.061,0.07,0.035,0.039,0.054,0.04,0.038,0.04,0.039,0.026,0.012
Drg263,0.09,0.084,0.066,0.066,0.055,0.051,0.041,0.042,0.037,0.034,0.033,0.03,0.025,0.02,0.02,0.015,0.02,0.012,0.012
Drg309,0.102,0.068,0.052,0.057,0.07,0.075,0.041,0.048,0.031,0.057,0.031,0.035,0.039,0.052,0.041,0.046,0.045,0.05,0.056
