Drg,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1
Drg0,-0.009,0.002,-0.007,-0.001,-0.001,-0.001,0.003,0.004,0.001,-0.004,0.001,0.006,0.008,0.006,0.006,0.005,0.009,0.01,0.011
Drg2,0.007,0.008,0.014,0.007,0.002,0.02,0.008,0.019,0.017,0.024,0.024,0.015,0.032,0.024,0.025,0.027,0.028,0.036,0.037
Drg3,-0.093,-0.086,-0.072,-0.075,-0.077,-0.052,-0.056,-0.044,-0.059,-0.055,-0.045,-0.044,-0.046,-0.04,-0.038,-0.035,-0.035,-0.031,-0.034
Drg50,0.014,0.03,0.04,0.043,0.021,0.02,0.018,0.051,0.025,0.042,0.039,0.018,0.024,0.016,0.023,0.025,0.013,0.008,0.006
Drg52,0.017,0.062,0.029,0.031,0.031,0.037,0.037,0.043,0.042,0.021,0.032,0.042,0.052,0.033,0.034,0.032,0.032,0.026,0.033
Drg66,0.051,0.054,0.058,0.052,0.045,0.057,0.042,0.05,0.036,0.031,0.04,0.031,0.021,0.025,0.026,0.022,0.021,0.019,0.016
Drg67,0.053,0.055,0.058,0.058,0.051,0.05,0.054,0.053,0.042,0.058,0.041,0.048,0.053,0.042,0.044,0.041,0.041,0.04,0.039
Drg68,0.037,0.049,0.035,0.037,0.054,0.042,0.048,0.048,0.04,0.054,0.043,0.049,0.051,0.053,0.05,0.048,0.049,0.051,0.047
Drg69,0.061,0.047,0.047,0.053,0.05,0.04,0.041,0.047,0.037,0.046,0.036,0.034,0.036,0.04,0.04,0.036,0.033,0.036,0.037
Drg84,0.026,0.038,0.04,0.046,0.032,0.043,0.028,0.036,0.06,0.025,0.035,0.056,0.053,0.047,0.054,0.05,0.038,0.043,0.038
Drg96,0.063,0.043,0.045,0.056,0.062,0.039,0.031,0.047,0.022,0.023,0.027,0.047,0.049,0.027,0.04,0.026,0.033,0.021,0.02
Drg97,-0.002,0.037,0.027,0.04,0.046,0.031,0.039,0.043,0.063,0.052,0.055,0.053,0.062,0.064,0.058,0.064,0.066,0.068,0.068
Drg178,0.077,0.015,0.059,0.057,0.076,0.073,0.072,0.066,0.067,0.063,0.057,0.036,0.036,0.042,0.047,0.043,0.04,0.037,0.032
Drg179,0.045,0.027,0.01,0.019,0.02,0.017,0.012,0.016,0.015,0.018,0.014,0.011,0.02,0.013,0.012,0.016,0.011,0.014,0.015
Drg256,0.084,0.094,0.103,0.084,0.125,0.112,0.115,0.078,0.111,0.099,0.087,0.1,0.106,0.1,0.099,0.078,0.079,0.087,0.084
Drg259,0.02,0.021,0.022,0.022,0.025,0.025,0.022,0.026,0.024,0.027,0.022,0.027,0.026,0.029,0.026,0.027,0.027,0.027,0.024
Drg261,0.034,0.022,-0.003,0.021,0.025,0.017,0.019,0.025,0.025,0.007,0.012,0.015,0.019,0.019,0.011,0.028,0.026,0.02,0.026
Drg262,0.023,0.033,0.025,0.04,0.044,0.041,0.03,0.044,0.039,0.029,0.023,0.033,0.031,0.028,0.005,0.001,0.009,-0.001,-0.006
Drg263,0.031,0.045,0.055,0.048,0.046,0.035,0.045,0.042,0.045,0.048,0.04,0.043,0.036,0.037,0.038,0.032,0.031,0.028,0.025
Drg309,0.016,0.058,0.074,0.02,0.013,0.05,0.038,0.037,0.047,0.039,0.034,0.028,0.039,0.023,0.036,0.022,0.025,0.025,0.025
