Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.909,0.895,0.933,0.948,0.956,0.963,0.964,0.967,0.965,0.965,0.969,0.967,0.968,0.969,0.971,0.971,0.972,0.972,0.972
Drg2,0.627,0.655,0.618,0.625,0.64,0.675,0.656,0.635,0.652,0.635,0.642,0.655,0.644,0.637,0.634,0.651,0.646,0.651,0.647
Drg3,0.629,0.76,0.758,0.77,0.775,0.815,0.831,0.822,0.84,0.846,0.846,0.867,0.868,0.847,0.861,0.882,0.88,0.894,0.895
Drg50,0.587,0.633,0.644,0.67,0.644,0.667,0.663,0.694,0.687,0.692,0.687,0.683,0.702,0.697,0.693,0.688,0.696,0.691,0.695
Drg52,0.541,0.562,0.596,0.582,0.644,0.616,0.645,0.625,0.647,0.638,0.623,0.66,0.678,0.685,0.678,0.688,0.685,0.683,0.686
Drg66,0.654,0.718,0.727,0.721,0.744,0.76,0.757,0.797,0.792,0.806,0.793,0.805,0.819,0.827,0.811,0.833,0.834,0.841,0.852
Drg67,0.669,0.735,0.782,0.782,0.804,0.793,0.825,0.831,0.831,0.84,0.842,0.852,0.849,0.853,0.853,0.854,0.855,0.856,0.858
Drg68,0.69,0.692,0.738,0.741,0.745,0.76,0.748,0.78,0.769,0.771,0.775,0.784,0.787,0.802,0.801,0.796,0.799,0.808,0.809
Drg69,0.626,0.628,0.669,0.685,0.701,0.701,0.704,0.714,0.72,0.726,0.731,0.742,0.735,0.746,0.756,0.744,0.755,0.757,0.758
Drg84,0.562,0.58,0.613,0.628,0.615,0.607,0.638,0.625,0.632,0.623,0.632,0.631,0.645,0.639,0.645,0.637,0.651,0.647,0.652
Drg96,0.543,0.594,0.621,0.612,0.635,0.633,0.634,0.653,0.628,0.626,0.631,0.63,0.644,0.644,0.636,0.651,0.639,0.656,0.649
Drg97,0.665,0.681,0.743,0.73,0.759,0.769,0.763,0.761,0.762,0.754,0.755,0.752,0.756,0.758,0.762,0.754,0.757,0.759,0.758
Drg178,0.578,0.61,0.566,0.57,0.537,0.616,0.59,0.62,0.597,0.591,0.606,0.648,0.628,0.61,0.623,0.622,0.63,0.637,0.629
Drg179,0.67,0.707,0.743,0.74,0.76,0.739,0.752,0.762,0.776,0.762,0.774,0.767,0.774,0.774,0.774,0.777,0.776,0.782,0.782
Drg256,0.685,0.678,0.669,0.721,0.726,0.769,0.827,0.822,0.778,0.8,0.805,0.813,0.824,0.825,0.853,0.838,0.846,0.845,0.861
Drg259,0.781,0.806,0.807,0.815,0.822,0.829,0.831,0.829,0.832,0.835,0.834,0.836,0.837,0.839,0.839,0.838,0.838,0.838,0.84
Drg261,0.587,0.644,0.632,0.663,0.661,0.684,0.674,0.703,0.692,0.718,0.699,0.697,0.716,0.711,0.723,0.71,0.711,0.713,0.713
Drg262,0.601,0.617,0.677,0.691,0.702,0.708,0.741,0.758,0.771,0.759,0.761,0.792,0.775,0.778,0.781,0.799,0.798,0.802,0.802
Drg263,0.672,0.705,0.716,0.738,0.745,0.752,0.746,0.759,0.76,0.762,0.759,0.759,0.763,0.767,0.765,0.768,0.767,0.77,0.769
Drg309,0.541,0.551,0.585,0.617,0.517,0.642,0.561,0.647,0.636,0.623,0.664,0.643,0.665,0.683,0.672,0.695,0.687,0.696,0.706
