Drg,data_1,data_2,data_3,data_4,data_5,mean_result
Drg0,0.724,0.924,0.965,0.916,0.907,0.8872
Drg2,0.616,0.547,0.75,0.705,0.527,0.629
Drg3,0.658,0.778,0.698,0.655,0.497,0.6571999999999999
Drg50,0.602,0.59,0.711,0.582,0.737,0.6444
Drg52,0.705,0.788,0.811,0.707,0.677,0.7375999999999999
Drg66,0.581,0.322,0.872,0.761,0.628,0.6328
Drg67,0.743,0.77,0.73,0.731,0.742,0.7432
Drg68,0.808,0.639,0.462,0.682,0.731,0.6644
Drg69,0.754,0.499,0.633,0.662,0.677,0.645
Drg84,0.568,0.622,0.555,0.648,0.623,0.6032
Drg96,0.66,0.833,0.654,0.739,0.739,0.7249999999999999
Drg97,0.746,0.746,0.72,0.745,0.721,0.7356
Drg178,0.434,0.644,0.637,0.519,0.674,0.5816
Drg179,0.735,0.718,0.706,0.772,0.796,0.7454000000000001
Drg256,0.807,0.502,0.688,0.812,0.741,0.7100000000000001
Drg259,0.843,0.856,0.78,0.8,0.895,0.8347999999999999
Drg261,0.723,0.616,0.728,0.822,0.637,0.7052
Drg262,0.765,0.553,0.689,0.799,0.69,0.6992
Drg263,0.742,0.68,0.69,0.767,0.68,0.7118
Drg309,0.644,0.851,0.8,0.699,0.751,0.7489999999999999
