Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.948,0.951,0.958,0.949,0.95,0.962,0.966,0.956,0.965,0.965,0.965,0.968,0.963,0.963,0.959,0.973,0.962,0.962,0.96
Drg2,0.581,0.63,0.638,0.586,0.671,0.627,0.638,0.64,0.681,0.68,0.672,0.677,0.651,0.691,0.666,0.695,0.678,0.693,0.69
Drg3,0.703,0.727,0.783,0.771,0.787,0.781,0.842,0.808,0.784,0.855,0.814,0.8,0.837,0.845,0.845,0.828,0.872,0.883,0.861
Drg50,0.571,0.562,0.592,0.583,0.586,0.592,0.63,0.623,0.631,0.645,0.646,0.637,0.647,0.647,0.652,0.642,0.681,0.671,0.662
Drg52,0.551,0.53,0.589,0.589,0.589,0.649,0.676,0.629,0.656,0.634,0.672,0.664,0.673,0.682,0.674,0.685,0.665,0.726,0.678
Drg66,0.652,0.778,0.787,0.84,0.856,0.835,0.847,0.834,0.861,0.835,0.861,0.852,0.855,0.88,0.855,0.864,0.902,0.863,0.865
Drg67,0.822,0.81,0.816,0.878,0.856,0.889,0.875,0.891,0.906,0.893,0.9,0.897,0.91,0.917,0.928,0.91,0.909,0.918,0.924
Drg68,0.76,0.787,0.782,0.786,0.806,0.802,0.813,0.825,0.81,0.817,0.848,0.849,0.837,0.839,0.828,0.834,0.846,0.819,0.844
Drg69,0.693,0.708,0.762,0.725,0.764,0.768,0.778,0.793,0.768,0.73,0.784,0.797,0.802,0.785,0.807,0.807,0.783,0.817,0.827
Drg84,0.567,0.552,0.592,0.573,0.577,0.562,0.592,0.619,0.598,0.627,0.601,0.6,0.59,0.615,0.624,0.613,0.595,0.598,0.605
Drg96,0.597,0.645,0.636,0.634,0.631,0.657,0.65,0.665,0.678,0.685,0.682,0.683,0.678,0.661,0.698,0.678,0.721,0.672,0.697
Drg97,0.681,0.7,0.711,0.72,0.742,0.717,0.741,0.734,0.726,0.735,0.739,0.743,0.747,0.739,0.727,0.735,0.733,0.729,0.752
Drg178,0.53,0.553,0.562,0.524,0.562,0.539,0.584,0.573,0.56,0.567,0.598,0.565,0.545,0.553,0.533,0.539,0.549,0.525,0.513
Drg179,0.785,0.774,0.779,0.784,0.781,0.804,0.791,0.781,0.795,0.797,0.799,0.82,0.811,0.786,0.803,0.818,0.793,0.819,0.803
Drg256,0.593,0.611,0.645,0.624,0.659,0.613,0.64,0.68,0.77,0.758,0.773,0.765,0.827,0.827,0.838,0.86,0.844,0.903,0.876
Drg259,0.809,0.808,0.822,0.809,0.828,0.826,0.84,0.825,0.842,0.841,0.836,0.84,0.84,0.843,0.844,0.84,0.841,0.843,0.844
Drg261,0.612,0.596,0.635,0.627,0.626,0.621,0.66,0.646,0.65,0.67,0.657,0.694,0.679,0.657,0.657,0.686,0.697,0.65,0.684
Drg262,0.505,0.579,0.538,0.546,0.587,0.57,0.567,0.538,0.574,0.536,0.598,0.593,0.588,0.633,0.654,0.606,0.624,0.614,0.603
Drg263,0.622,0.632,0.66,0.661,0.696,0.694,0.703,0.714,0.708,0.717,0.728,0.73,0.742,0.744,0.752,0.75,0.748,0.757,0.767
Drg309,0.57,0.647,0.66,0.683,0.632,0.614,0.669,0.714,0.708,0.662,0.715,0.706,0.683,0.665,0.664,0.682,0.655,0.695,0.707
