Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.931,0.91,0.912,0.928,0.918,0.926,0.928,0.923,0.926,0.925,0.931,0.936,0.936,0.937,0.927,0.932,0.953,0.939,0.938
Drg2,0.649,0.678,0.688,0.682,0.669,0.705,0.684,0.724,0.711,0.709,0.688,0.731,0.736,0.716,0.723,0.715,0.715,0.77,0.734
Drg3,0.703,0.771,0.792,0.752,0.822,0.789,0.792,0.789,0.812,0.804,0.838,0.807,0.843,0.817,0.8,0.86,0.864,0.87,0.849
Drg50,0.545,0.561,0.571,0.583,0.578,0.584,0.569,0.567,0.577,0.566,0.593,0.571,0.573,0.582,0.579,0.582,0.592,0.586,0.576
Drg52,0.633,0.61,0.607,0.637,0.628,0.602,0.659,0.631,0.659,0.634,0.634,0.631,0.621,0.616,0.643,0.627,0.634,0.622,0.633
Drg66,0.707,0.783,0.797,0.754,0.775,0.813,0.773,0.831,0.838,0.835,0.867,0.802,0.817,0.838,0.851,0.819,0.839,0.829,0.856
Drg67,0.707,0.727,0.755,0.76,0.763,0.811,0.8,0.816,0.816,0.789,0.784,0.801,0.797,0.836,0.814,0.799,0.776,0.794,0.858
Drg68,0.761,0.797,0.811,0.805,0.829,0.823,0.841,0.842,0.832,0.856,0.848,0.855,0.852,0.856,0.85,0.861,0.861,0.86,0.85
Drg69,0.699,0.73,0.745,0.72,0.724,0.754,0.746,0.759,0.758,0.747,0.757,0.757,0.76,0.747,0.75,0.778,0.757,0.745,0.747
Drg84,0.585,0.599,0.584,0.582,0.607,0.592,0.603,0.614,0.623,0.63,0.598,0.594,0.629,0.64,0.642,0.634,0.632,0.601,0.616
Drg96,0.653,0.667,0.668,0.679,0.672,0.658,0.631,0.705,0.668,0.666,0.741,0.717,0.726,0.71,0.715,0.702,0.743,0.722,0.716
Drg97,0.712,0.734,0.727,0.744,0.747,0.748,0.743,0.764,0.746,0.771,0.772,0.762,0.745,0.761,0.77,0.748,0.759,0.751,0.755
Drg178,0.502,0.512,0.537,0.56,0.622,0.584,0.563,0.541,0.622,0.604,0.579,0.625,0.605,0.606,0.599,0.633,0.576,0.593,0.586
Drg179,0.764,0.791,0.759,0.79,0.802,0.802,0.806,0.789,0.806,0.776,0.796,0.819,0.839,0.785,0.798,0.829,0.794,0.817,0.809
Drg256,0.694,0.672,0.708,0.691,0.723,0.733,0.771,0.676,0.718,0.717,0.755,0.73,0.707,0.759,0.769,0.753,0.738,0.759,0.741
Drg259,0.807,0.809,0.816,0.811,0.811,0.807,0.804,0.818,0.822,0.825,0.821,0.815,0.828,0.812,0.837,0.824,0.826,0.822,0.821
Drg261,0.724,0.729,0.757,0.764,0.757,0.767,0.76,0.769,0.752,0.756,0.781,0.781,0.767,0.753,0.771,0.768,0.797,0.81,0.801
Drg262,0.641,0.707,0.656,0.595,0.657,0.65,0.681,0.708,0.682,0.696,0.661,0.731,0.74,0.733,0.696,0.722,0.711,0.694,0.704
Drg263,0.692,0.721,0.721,0.73,0.747,0.743,0.742,0.744,0.741,0.749,0.751,0.753,0.747,0.748,0.757,0.748,0.751,0.753,0.761
Drg309,0.678,0.673,0.647,0.644,0.689,0.637,0.653,0.684,0.699,0.663,0.655,0.692,0.658,0.674,0.647,0.715,0.677,0.713,0.651
