Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.919,0.931,0.926,0.932,0.933,0.936,0.937,0.934,0.939,0.929,0.938,0.938,0.937,0.938,0.934,0.943,0.947,0.946,0.942
Drg2,0.615,0.652,0.642,0.633,0.647,0.652,0.642,0.662,0.666,0.661,0.662,0.669,0.679,0.663,0.671,0.688,0.668,0.683,0.676
Drg3,0.734,0.782,0.807,0.807,0.817,0.822,0.819,0.803,0.823,0.834,0.831,0.833,0.855,0.851,0.826,0.851,0.855,0.852,0.845
Drg50,0.614,0.631,0.635,0.635,0.644,0.646,0.641,0.642,0.645,0.656,0.655,0.658,0.653,0.656,0.657,0.667,0.665,0.661,0.654
Drg52,0.675,0.67,0.679,0.686,0.688,0.669,0.696,0.695,0.704,0.701,0.702,0.702,0.694,0.702,0.707,0.699,0.7,0.698,0.712
Drg66,0.704,0.748,0.792,0.775,0.823,0.821,0.829,0.842,0.86,0.857,0.854,0.834,0.852,0.863,0.847,0.861,0.875,0.869,0.886
Drg67,0.732,0.768,0.774,0.779,0.794,0.823,0.804,0.828,0.829,0.821,0.819,0.829,0.837,0.83,0.837,0.836,0.828,0.841,0.843
Drg68,0.75,0.777,0.786,0.784,0.799,0.808,0.819,0.807,0.814,0.827,0.817,0.822,0.829,0.828,0.826,0.82,0.821,0.831,0.82
Drg69,0.729,0.743,0.761,0.752,0.755,0.757,0.781,0.782,0.789,0.778,0.792,0.786,0.79,0.79,0.8,0.793,0.799,0.795,0.791
Drg84,0.575,0.569,0.583,0.577,0.596,0.587,0.591,0.602,0.602,0.598,0.601,0.592,0.597,0.606,0.602,0.604,0.6,0.596,0.609
Drg96,0.659,0.682,0.671,0.677,0.679,0.675,0.677,0.704,0.693,0.685,0.724,0.714,0.709,0.717,0.716,0.706,0.725,0.719,0.73
Drg97,0.711,0.736,0.723,0.733,0.748,0.745,0.747,0.754,0.746,0.758,0.753,0.763,0.753,0.759,0.759,0.761,0.768,0.766,0.766
Drg178,0.568,0.581,0.589,0.603,0.606,0.642,0.616,0.585,0.615,0.609,0.628,0.629,0.621,0.636,0.625,0.637,0.629,0.642,0.611
Drg179,0.766,0.788,0.792,0.794,0.802,0.797,0.809,0.804,0.812,0.806,0.816,0.818,0.823,0.82,0.813,0.822,0.809,0.826,0.826
Drg256,0.652,0.643,0.664,0.657,0.657,0.67,0.681,0.655,0.686,0.68,0.704,0.683,0.684,0.717,0.699,0.708,0.686,0.71,0.72
Drg259,0.82,0.83,0.837,0.836,0.834,0.834,0.833,0.84,0.842,0.844,0.846,0.842,0.843,0.845,0.847,0.848,0.854,0.848,0.848
Drg261,0.663,0.66,0.673,0.671,0.675,0.69,0.691,0.695,0.686,0.694,0.698,0.693,0.707,0.691,0.692,0.697,0.708,0.719,0.72
Drg262,0.608,0.625,0.622,0.601,0.617,0.605,0.628,0.638,0.633,0.639,0.63,0.627,0.635,0.643,0.639,0.658,0.641,0.633,0.643
Drg263,0.674,0.685,0.69,0.692,0.703,0.704,0.702,0.704,0.708,0.705,0.707,0.713,0.712,0.713,0.716,0.716,0.716,0.719,0.725
Drg309,0.69,0.688,0.69,0.686,0.69,0.702,0.706,0.706,0.709,0.698,0.71,0.717,0.7,0.704,0.717,0.707,0.712,0.734,0.713
