Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.909,0.915,0.915,0.927,0.93,0.919,0.915,0.923,0.923,0.927,0.926,0.929,0.926,0.92,0.917,0.923,0.922,0.914,0.911
Drg2,0.644,0.633,0.671,0.668,0.665,0.689,0.718,0.694,0.703,0.686,0.696,0.707,0.715,0.705,0.716,0.712,0.712,0.72,0.726
Drg3,0.762,0.795,0.771,0.844,0.828,0.854,0.84,0.854,0.889,0.896,0.91,0.898,0.901,0.909,0.901,0.909,0.892,0.908,0.911
Drg50,0.552,0.575,0.56,0.59,0.593,0.581,0.603,0.612,0.593,0.591,0.603,0.624,0.631,0.62,0.63,0.628,0.635,0.641,0.648
Drg52,0.579,0.605,0.641,0.64,0.61,0.654,0.646,0.65,0.637,0.683,0.649,0.682,0.642,0.658,0.675,0.668,0.671,0.669,0.663
Drg66,0.737,0.767,0.781,0.796,0.802,0.814,0.82,0.815,0.851,0.85,0.842,0.864,0.856,0.866,0.865,0.881,0.868,0.886,0.882
Drg67,0.72,0.759,0.728,0.769,0.797,0.79,0.793,0.781,0.796,0.804,0.81,0.811,0.816,0.814,0.836,0.836,0.838,0.843,0.845
Drg68,0.803,0.827,0.818,0.855,0.839,0.83,0.845,0.842,0.836,0.83,0.848,0.84,0.838,0.836,0.839,0.836,0.835,0.833,0.834
Drg69,0.73,0.735,0.739,0.774,0.768,0.768,0.774,0.774,0.787,0.773,0.787,0.786,0.802,0.801,0.802,0.797,0.809,0.802,0.806
Drg84,0.531,0.556,0.502,0.563,0.568,0.56,0.583,0.565,0.594,0.6,0.611,0.582,0.6,0.579,0.616,0.594,0.618,0.614,0.62
Drg96,0.554,0.564,0.6,0.608,0.616,0.628,0.673,0.624,0.643,0.657,0.617,0.619,0.637,0.689,0.658,0.649,0.651,0.671,0.675
Drg97,0.655,0.692,0.687,0.671,0.69,0.701,0.694,0.69,0.668,0.68,0.672,0.657,0.669,0.661,0.657,0.65,0.654,0.644,0.645
Drg178,0.598,0.648,0.59,0.617,0.627,0.619,0.619,0.625,0.604,0.626,0.652,0.668,0.649,0.669,0.662,0.683,0.694,0.688,0.697
Drg179,0.791,0.782,0.815,0.792,0.792,0.765,0.789,0.784,0.786,0.791,0.784,0.787,0.771,0.768,0.777,0.767,0.769,0.766,0.758
Drg256,0.566,0.564,0.456,0.572,0.529,0.529,0.568,0.646,0.59,0.643,0.571,0.643,0.57,0.571,0.563,0.646,0.633,0.602,0.592
Drg259,0.806,0.811,0.815,0.816,0.81,0.814,0.819,0.822,0.829,0.822,0.831,0.821,0.829,0.821,0.83,0.829,0.828,0.828,0.832
Drg261,0.579,0.605,0.653,0.678,0.647,0.674,0.675,0.656,0.66,0.706,0.698,0.698,0.681,0.694,0.709,0.684,0.691,0.702,0.695
Drg262,0.468,0.473,0.491,0.435,0.451,0.511,0.504,0.49,0.53,0.472,0.504,0.481,0.527,0.504,0.521,0.534,0.519,0.525,0.536
Drg263,0.605,0.628,0.619,0.634,0.651,0.651,0.664,0.672,0.675,0.664,0.661,0.666,0.675,0.673,0.68,0.685,0.685,0.687,0.689
Drg309,0.575,0.574,0.585,0.566,0.649,0.616,0.64,0.615,0.675,0.646,0.648,0.644,0.66,0.683,0.646,0.669,0.678,0.67,0.677
