Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.899,0.927,0.948,0.951,0.945,0.954,0.961,0.964,0.964,0.97,0.968,0.972,0.971,0.969,0.971,0.971,0.973,0.972,0.972
Drg2,0.572,0.614,0.605,0.63,0.646,0.632,0.629,0.632,0.665,0.641,0.635,0.646,0.643,0.664,0.653,0.65,0.645,0.648,0.647
Drg3,0.71,0.763,0.761,0.794,0.799,0.787,0.831,0.83,0.843,0.821,0.861,0.853,0.856,0.863,0.866,0.877,0.884,0.889,0.895
Drg50,0.612,0.632,0.627,0.647,0.642,0.681,0.696,0.674,0.676,0.691,0.679,0.683,0.689,0.691,0.688,0.695,0.697,0.688,0.695
Drg52,0.576,0.544,0.582,0.546,0.636,0.636,0.614,0.627,0.64,0.669,0.661,0.661,0.667,0.672,0.682,0.669,0.686,0.682,0.686
Drg66,0.617,0.688,0.694,0.703,0.742,0.728,0.777,0.781,0.774,0.793,0.824,0.805,0.809,0.825,0.82,0.838,0.843,0.837,0.852
Drg67,0.703,0.77,0.769,0.784,0.795,0.807,0.818,0.818,0.837,0.838,0.841,0.848,0.849,0.844,0.856,0.856,0.855,0.856,0.858
Drg68,0.692,0.696,0.719,0.722,0.722,0.731,0.735,0.768,0.762,0.786,0.772,0.785,0.801,0.798,0.802,0.801,0.801,0.81,0.809
Drg69,0.61,0.64,0.654,0.664,0.674,0.694,0.709,0.717,0.723,0.721,0.718,0.743,0.739,0.741,0.743,0.755,0.755,0.756,0.758
Drg84,0.571,0.588,0.602,0.607,0.629,0.625,0.613,0.633,0.653,0.623,0.646,0.631,0.635,0.645,0.644,0.656,0.65,0.65,0.652
Drg96,0.563,0.582,0.614,0.608,0.631,0.638,0.627,0.629,0.639,0.622,0.649,0.653,0.661,0.65,0.651,0.647,0.644,0.649,0.649
Drg97,0.732,0.718,0.746,0.745,0.758,0.74,0.745,0.758,0.765,0.753,0.756,0.764,0.762,0.762,0.761,0.762,0.758,0.759,0.758
Drg178,0.588,0.591,0.555,0.566,0.626,0.624,0.624,0.577,0.602,0.601,0.603,0.608,0.611,0.63,0.63,0.627,0.619,0.636,0.629
Drg179,0.67,0.692,0.692,0.748,0.744,0.753,0.742,0.753,0.771,0.78,0.767,0.766,0.776,0.769,0.784,0.778,0.778,0.782,0.782
Drg256,0.639,0.722,0.734,0.68,0.765,0.746,0.734,0.792,0.796,0.822,0.817,0.821,0.828,0.839,0.84,0.829,0.838,0.844,0.861
Drg259,0.802,0.802,0.819,0.826,0.822,0.825,0.835,0.834,0.833,0.832,0.838,0.84,0.835,0.84,0.84,0.838,0.838,0.838,0.84
Drg261,0.599,0.645,0.652,0.635,0.69,0.668,0.671,0.689,0.704,0.701,0.707,0.706,0.716,0.706,0.712,0.715,0.715,0.714,0.713
Drg262,0.608,0.667,0.644,0.675,0.655,0.699,0.74,0.733,0.757,0.771,0.781,0.767,0.779,0.791,0.781,0.789,0.797,0.801,0.802
Drg263,0.677,0.696,0.727,0.721,0.74,0.744,0.751,0.761,0.763,0.764,0.763,0.765,0.767,0.767,0.764,0.768,0.764,0.768,0.769
Drg309,0.545,0.502,0.538,0.604,0.601,0.647,0.656,0.597,0.662,0.648,0.669,0.668,0.664,0.687,0.704,0.696,0.697,0.69,0.706
