Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.818,0.842,0.858,0.882,0.881,0.888,0.897,0.891,0.898,0.896,0.898,0.9,0.903,0.906,0.904,0.906,0.906,0.907,0.908
Drg2,0.592,0.614,0.616,0.626,0.632,0.637,0.65,0.656,0.658,0.662,0.664,0.669,0.669,0.674,0.672,0.675,0.682,0.682,0.685
Drg3,0.688,0.739,0.776,0.782,0.805,0.82,0.821,0.827,0.834,0.84,0.847,0.851,0.849,0.85,0.856,0.862,0.862,0.87,0.872
Drg50,0.579,0.592,0.615,0.625,0.622,0.637,0.645,0.654,0.65,0.65,0.649,0.652,0.662,0.663,0.664,0.662,0.666,0.668,0.669
Drg52,0.549,0.585,0.599,0.58,0.64,0.631,0.66,0.658,0.668,0.674,0.662,0.679,0.68,0.687,0.682,0.698,0.693,0.695,0.701
Drg66,0.674,0.695,0.729,0.736,0.749,0.761,0.781,0.795,0.814,0.81,0.819,0.821,0.842,0.841,0.848,0.852,0.859,0.86,0.866
Drg67,0.666,0.694,0.718,0.734,0.754,0.753,0.775,0.777,0.79,0.8,0.8,0.804,0.808,0.814,0.817,0.818,0.821,0.823,0.824
Drg68,0.725,0.745,0.77,0.781,0.785,0.793,0.801,0.81,0.807,0.813,0.815,0.82,0.826,0.83,0.833,0.833,0.836,0.837,0.841
Drg69,0.672,0.705,0.735,0.739,0.747,0.759,0.763,0.776,0.783,0.785,0.788,0.793,0.793,0.797,0.803,0.803,0.807,0.807,0.811
Drg84,0.548,0.569,0.584,0.593,0.593,0.604,0.614,0.608,0.612,0.612,0.62,0.617,0.623,0.62,0.624,0.624,0.63,0.628,0.63
Drg96,0.574,0.606,0.647,0.648,0.669,0.675,0.679,0.688,0.698,0.693,0.702,0.717,0.723,0.719,0.723,0.73,0.728,0.733,0.737
Drg97,0.685,0.705,0.738,0.75,0.755,0.764,0.763,0.766,0.771,0.771,0.775,0.774,0.776,0.773,0.778,0.777,0.776,0.778,0.778
Drg178,0.533,0.568,0.576,0.588,0.596,0.615,0.605,0.623,0.63,0.622,0.624,0.651,0.651,0.642,0.648,0.654,0.66,0.665,0.667
Drg179,0.672,0.704,0.74,0.751,0.768,0.769,0.781,0.786,0.795,0.788,0.795,0.797,0.799,0.803,0.808,0.808,0.811,0.814,0.814
Drg256,0.586,0.623,0.627,0.627,0.647,0.666,0.697,0.691,0.677,0.691,0.692,0.701,0.705,0.694,0.704,0.707,0.711,0.705,0.711
Drg259,0.793,0.81,0.828,0.831,0.836,0.841,0.845,0.846,0.851,0.854,0.853,0.856,0.857,0.857,0.858,0.858,0.859,0.859,0.86
Drg261,0.568,0.604,0.605,0.639,0.649,0.665,0.655,0.666,0.673,0.677,0.681,0.675,0.688,0.69,0.688,0.693,0.688,0.692,0.696
Drg262,0.523,0.58,0.601,0.602,0.616,0.612,0.621,0.627,0.634,0.636,0.633,0.651,0.634,0.641,0.643,0.652,0.65,0.651,0.651
Drg263,0.655,0.674,0.684,0.693,0.701,0.708,0.709,0.71,0.718,0.72,0.721,0.724,0.723,0.726,0.726,0.727,0.728,0.73,0.73
Drg309,0.554,0.556,0.583,0.604,0.607,0.632,0.628,0.672,0.668,0.662,0.683,0.687,0.693,0.709,0.702,0.715,0.721,0.722,0.726
