Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.839,0.863,0.872,0.872,0.885,0.887,0.89,0.885,0.892,0.885,0.885,0.886,0.887,0.887,0.89,0.889,0.89,0.891,0.896
Drg2,0.576,0.596,0.591,0.588,0.587,0.613,0.598,0.604,0.622,0.617,0.61,0.606,0.609,0.613,0.626,0.616,0.617,0.616,0.618
Drg3,0.735,0.749,0.782,0.8,0.794,0.805,0.807,0.815,0.818,0.819,0.824,0.822,0.826,0.827,0.832,0.84,0.843,0.842,0.849
Drg50,0.563,0.57,0.566,0.573,0.579,0.6,0.586,0.593,0.61,0.609,0.616,0.61,0.617,0.621,0.633,0.647,0.648,0.653,0.657
Drg52,0.595,0.599,0.616,0.604,0.627,0.642,0.651,0.633,0.647,0.651,0.66,0.665,0.676,0.668,0.677,0.687,0.675,0.683,0.683
Drg66,0.684,0.731,0.774,0.819,0.815,0.836,0.834,0.843,0.851,0.862,0.869,0.874,0.872,0.871,0.879,0.881,0.884,0.885,0.886
Drg67,0.679,0.72,0.721,0.721,0.745,0.737,0.742,0.743,0.74,0.737,0.744,0.732,0.738,0.732,0.749,0.732,0.736,0.741,0.736
Drg68,0.737,0.771,0.783,0.783,0.799,0.794,0.796,0.794,0.801,0.795,0.804,0.799,0.805,0.807,0.799,0.802,0.798,0.8,0.794
Drg69,0.704,0.729,0.745,0.755,0.751,0.769,0.759,0.767,0.772,0.773,0.778,0.782,0.773,0.779,0.774,0.778,0.784,0.786,0.788
Drg84,0.546,0.56,0.569,0.563,0.572,0.583,0.565,0.579,0.577,0.567,0.579,0.574,0.578,0.577,0.581,0.58,0.581,0.579,0.579
Drg96,0.596,0.613,0.629,0.619,0.642,0.624,0.631,0.639,0.642,0.621,0.638,0.649,0.646,0.644,0.641,0.644,0.653,0.651,0.651
Drg97,0.678,0.694,0.69,0.693,0.693,0.697,0.693,0.675,0.676,0.675,0.673,0.675,0.671,0.673,0.662,0.662,0.666,0.66,0.658
Drg178,0.574,0.562,0.597,0.589,0.608,0.606,0.594,0.595,0.611,0.608,0.592,0.586,0.595,0.581,0.6,0.599,0.589,0.58,0.573
Drg179,0.693,0.756,0.771,0.765,0.777,0.787,0.79,0.783,0.782,0.787,0.773,0.785,0.778,0.776,0.773,0.775,0.766,0.765,0.761
Drg256,0.586,0.59,0.618,0.624,0.637,0.64,0.639,0.658,0.643,0.643,0.651,0.659,0.647,0.655,0.646,0.653,0.646,0.649,0.642
Drg259,0.785,0.795,0.793,0.804,0.795,0.794,0.794,0.799,0.8,0.797,0.794,0.791,0.794,0.791,0.788,0.79,0.789,0.789,0.789
Drg261,0.595,0.604,0.618,0.636,0.626,0.636,0.636,0.629,0.629,0.612,0.638,0.631,0.624,0.617,0.618,0.626,0.62,0.617,0.62
Drg262,0.551,0.579,0.571,0.569,0.583,0.593,0.602,0.582,0.586,0.599,0.596,0.597,0.597,0.594,0.594,0.596,0.596,0.602,0.602
Drg263,0.621,0.621,0.625,0.621,0.622,0.611,0.619,0.616,0.605,0.613,0.621,0.613,0.615,0.613,0.615,0.614,0.615,0.616,0.619
Drg309,0.576,0.603,0.619,0.627,0.639,0.65,0.641,0.661,0.657,0.662,0.663,0.661,0.667,0.671,0.672,0.673,0.67,0.667,0.669
