Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.83,0.902,0.935,0.957,0.96,0.964,0.963,0.965,0.968,0.967,0.968,0.969,0.968,0.968,0.971,0.971,0.971,0.97,0.971
Drg2,0.606,0.643,0.648,0.654,0.661,0.67,0.656,0.676,0.653,0.673,0.689,0.669,0.66,0.662,0.667,0.666,0.671,0.667,0.675
Drg3,0.711,0.704,0.767,0.764,0.795,0.805,0.817,0.835,0.839,0.837,0.848,0.84,0.846,0.869,0.869,0.875,0.873,0.879,0.889
Drg50,0.593,0.624,0.624,0.646,0.638,0.65,0.675,0.665,0.663,0.677,0.684,0.678,0.688,0.685,0.682,0.686,0.685,0.687,0.683
Drg52,0.547,0.549,0.569,0.627,0.585,0.618,0.641,0.646,0.651,0.656,0.677,0.661,0.672,0.666,0.677,0.691,0.685,0.685,0.688
Drg66,0.613,0.689,0.722,0.672,0.75,0.748,0.752,0.803,0.79,0.77,0.803,0.803,0.811,0.812,0.82,0.827,0.819,0.837,0.843
Drg67,0.649,0.716,0.752,0.779,0.789,0.795,0.798,0.817,0.81,0.836,0.833,0.826,0.838,0.834,0.836,0.846,0.845,0.848,0.849
Drg68,0.665,0.699,0.731,0.706,0.733,0.741,0.742,0.745,0.765,0.779,0.777,0.789,0.784,0.797,0.793,0.796,0.805,0.81,0.811
Drg69,0.638,0.629,0.671,0.686,0.651,0.682,0.689,0.709,0.694,0.712,0.72,0.727,0.72,0.722,0.732,0.731,0.743,0.742,0.746
Drg84,0.573,0.589,0.612,0.586,0.608,0.612,0.616,0.66,0.633,0.646,0.639,0.656,0.637,0.632,0.653,0.649,0.652,0.659,0.662
Drg96,0.567,0.555,0.604,0.617,0.598,0.633,0.618,0.667,0.641,0.657,0.634,0.643,0.66,0.647,0.663,0.662,0.656,0.657,0.658
Drg97,0.686,0.713,0.744,0.772,0.763,0.747,0.754,0.735,0.748,0.751,0.754,0.766,0.773,0.761,0.758,0.75,0.761,0.76,0.758
Drg178,0.612,0.607,0.599,0.588,0.596,0.621,0.605,0.61,0.622,0.597,0.628,0.611,0.632,0.62,0.62,0.607,0.633,0.627,0.626
Drg179,0.648,0.666,0.702,0.738,0.714,0.71,0.732,0.729,0.729,0.73,0.735,0.729,0.743,0.727,0.747,0.742,0.743,0.745,0.744
Drg256,0.641,0.738,0.743,0.72,0.726,0.752,0.728,0.751,0.798,0.76,0.803,0.804,0.794,0.806,0.809,0.818,0.808,0.801,0.804
Drg259,0.77,0.8,0.808,0.82,0.824,0.824,0.829,0.834,0.838,0.84,0.836,0.839,0.839,0.843,0.844,0.844,0.844,0.846,0.846
Drg261,0.57,0.624,0.663,0.661,0.675,0.689,0.693,0.683,0.683,0.703,0.711,0.703,0.713,0.714,0.721,0.711,0.707,0.717,0.713
Drg262,0.573,0.639,0.619,0.675,0.723,0.724,0.725,0.752,0.743,0.77,0.764,0.773,0.785,0.784,0.782,0.788,0.798,0.807,0.799
Drg263,0.66,0.693,0.721,0.723,0.739,0.743,0.749,0.753,0.753,0.756,0.762,0.762,0.767,0.759,0.767,0.764,0.768,0.766,0.767
Drg309,0.437,0.533,0.562,0.636,0.597,0.635,0.572,0.623,0.634,0.628,0.611,0.672,0.654,0.62,0.65,0.656,0.668,0.677,0.684
