Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.857,0.875,0.881,0.891,0.889,0.891,0.891,0.893,0.892,0.899,0.891,0.894,0.897,0.895,0.896,0.895,0.898,0.898,0.901
Drg2,0.554,0.599,0.596,0.599,0.599,0.595,0.6,0.625,0.6,0.625,0.599,0.625,0.613,0.62,0.618,0.608,0.62,0.619,0.619
Drg3,0.707,0.76,0.764,0.781,0.807,0.792,0.805,0.813,0.826,0.824,0.833,0.821,0.829,0.832,0.84,0.838,0.839,0.845,0.849
Drg50,0.547,0.558,0.562,0.566,0.583,0.589,0.596,0.589,0.592,0.606,0.602,0.623,0.618,0.63,0.631,0.635,0.642,0.647,0.652
Drg52,0.565,0.587,0.617,0.61,0.629,0.625,0.638,0.641,0.651,0.657,0.649,0.667,0.671,0.668,0.665,0.666,0.68,0.689,0.68
Drg66,0.696,0.745,0.786,0.779,0.796,0.813,0.814,0.836,0.848,0.85,0.865,0.859,0.869,0.869,0.871,0.877,0.877,0.875,0.879
Drg67,0.671,0.696,0.716,0.713,0.729,0.726,0.722,0.727,0.73,0.723,0.731,0.734,0.726,0.726,0.718,0.722,0.717,0.721,0.716
Drg68,0.74,0.758,0.763,0.774,0.782,0.787,0.783,0.8,0.796,0.79,0.804,0.802,0.805,0.803,0.814,0.807,0.803,0.803,0.802
Drg69,0.694,0.715,0.732,0.733,0.742,0.751,0.743,0.749,0.75,0.766,0.768,0.767,0.755,0.766,0.76,0.772,0.77,0.773,0.771
Drg84,0.548,0.552,0.556,0.563,0.573,0.567,0.554,0.576,0.562,0.56,0.573,0.565,0.578,0.576,0.569,0.571,0.575,0.57,0.573
Drg96,0.6,0.6,0.626,0.621,0.627,0.64,0.645,0.627,0.625,0.63,0.638,0.64,0.626,0.65,0.644,0.648,0.639,0.65,0.648
Drg97,0.681,0.681,0.689,0.678,0.699,0.674,0.678,0.675,0.671,0.665,0.668,0.673,0.66,0.672,0.665,0.656,0.654,0.651,0.647
Drg178,0.542,0.587,0.587,0.595,0.593,0.609,0.594,0.597,0.601,0.606,0.61,0.602,0.604,0.586,0.58,0.591,0.584,0.579,0.571
Drg179,0.703,0.713,0.744,0.762,0.764,0.759,0.763,0.774,0.773,0.775,0.777,0.783,0.78,0.779,0.777,0.772,0.765,0.761,0.761
Drg256,0.601,0.615,0.606,0.605,0.626,0.606,0.627,0.629,0.63,0.638,0.634,0.642,0.644,0.625,0.627,0.629,0.632,0.635,0.63
Drg259,0.781,0.788,0.799,0.796,0.788,0.801,0.797,0.795,0.795,0.799,0.792,0.795,0.796,0.795,0.794,0.79,0.792,0.793,0.793
Drg261,0.596,0.609,0.618,0.619,0.63,0.621,0.632,0.644,0.62,0.621,0.631,0.627,0.617,0.625,0.617,0.612,0.62,0.619,0.613
Drg262,0.56,0.569,0.581,0.602,0.587,0.581,0.581,0.597,0.598,0.592,0.594,0.602,0.591,0.598,0.598,0.599,0.61,0.606,0.607
Drg263,0.611,0.62,0.622,0.615,0.619,0.616,0.617,0.617,0.611,0.61,0.607,0.611,0.611,0.611,0.611,0.613,0.617,0.618,0.619
Drg309,0.571,0.617,0.637,0.641,0.656,0.643,0.664,0.663,0.661,0.655,0.674,0.664,0.674,0.66,0.655,0.66,0.672,0.665,0.667
