Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.902,0.911,0.917,0.913,0.922,0.918,0.921,0.921,0.928,0.93,0.928,0.93,0.925,0.931,0.925,0.931,0.934,0.936,0.937
Drg2,0.606,0.608,0.636,0.614,0.651,0.646,0.656,0.648,0.666,0.676,0.668,0.68,0.678,0.679,0.671,0.689,0.688,0.685,0.688
Drg3,0.752,0.823,0.823,0.83,0.841,0.842,0.862,0.861,0.853,0.876,0.873,0.862,0.881,0.882,0.885,0.884,0.889,0.896,0.897
Drg50,0.581,0.591,0.599,0.609,0.624,0.633,0.643,0.636,0.644,0.656,0.656,0.658,0.667,0.658,0.67,0.67,0.687,0.679,0.676
Drg52,0.564,0.588,0.59,0.608,0.617,0.633,0.651,0.65,0.659,0.652,0.651,0.664,0.665,0.678,0.662,0.674,0.684,0.688,0.685
Drg66,0.705,0.78,0.825,0.842,0.856,0.854,0.885,0.883,0.886,0.887,0.893,0.905,0.893,0.912,0.905,0.909,0.929,0.919,0.911
Drg67,0.721,0.748,0.773,0.801,0.795,0.807,0.818,0.826,0.829,0.833,0.843,0.83,0.846,0.852,0.855,0.848,0.843,0.85,0.853
Drg68,0.753,0.803,0.813,0.813,0.819,0.832,0.829,0.843,0.83,0.841,0.849,0.847,0.845,0.848,0.845,0.843,0.854,0.849,0.849
Drg69,0.719,0.759,0.765,0.775,0.791,0.789,0.802,0.816,0.807,0.801,0.819,0.823,0.822,0.82,0.83,0.829,0.831,0.835,0.839
Drg84,0.542,0.537,0.556,0.558,0.566,0.562,0.576,0.589,0.582,0.601,0.587,0.593,0.595,0.597,0.592,0.606,0.593,0.589,0.596
Drg96,0.599,0.603,0.635,0.663,0.666,0.653,0.684,0.691,0.673,0.693,0.689,0.704,0.71,0.691,0.709,0.706,0.729,0.712,0.722
Drg97,0.705,0.712,0.731,0.731,0.742,0.736,0.752,0.762,0.745,0.746,0.754,0.759,0.762,0.754,0.76,0.756,0.766,0.756,0.764
Drg178,0.591,0.595,0.604,0.601,0.619,0.609,0.643,0.643,0.633,0.629,0.655,0.648,0.639,0.65,0.649,0.668,0.658,0.644,0.651
Drg179,0.789,0.796,0.811,0.814,0.808,0.82,0.818,0.812,0.822,0.82,0.825,0.829,0.833,0.828,0.825,0.832,0.819,0.834,0.835
Drg256,0.523,0.527,0.569,0.565,0.583,0.581,0.618,0.636,0.648,0.631,0.655,0.643,0.674,0.68,0.688,0.691,0.694,0.715,0.702
Drg259,0.814,0.815,0.82,0.824,0.832,0.833,0.836,0.839,0.841,0.839,0.845,0.845,0.844,0.846,0.847,0.848,0.845,0.846,0.849
Drg261,0.583,0.59,0.617,0.621,0.63,0.631,0.648,0.631,0.648,0.659,0.662,0.679,0.666,0.657,0.664,0.68,0.686,0.673,0.698
Drg262,0.493,0.555,0.519,0.535,0.56,0.556,0.567,0.555,0.563,0.548,0.558,0.568,0.566,0.574,0.576,0.588,0.574,0.577,0.594
Drg263,0.617,0.628,0.651,0.651,0.669,0.674,0.683,0.684,0.688,0.69,0.695,0.701,0.703,0.708,0.71,0.716,0.711,0.718,0.723
Drg309,0.595,0.63,0.654,0.641,0.633,0.637,0.663,0.656,0.668,0.649,0.678,0.667,0.666,0.653,0.663,0.663,0.653,0.658,0.652
