Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.858,0.897,0.847,0.863,0.878,0.873,0.874,0.856,0.901,0.843,0.897,0.889,0.882,0.863,0.867,0.907,0.897,0.892,0.908
Drg2,0.533,0.587,0.559,0.571,0.588,0.591,0.591,0.584,0.583,0.574,0.588,0.591,0.572,0.593,0.558,0.606,0.601,0.58,0.591
Drg3,0.526,0.734,0.773,0.77,0.746,0.767,0.819,0.835,0.796,0.806,0.784,0.833,0.843,0.843,0.809,0.795,0.839,0.88,0.878
Drg50,0.603,0.617,0.622,0.624,0.633,0.609,0.633,0.601,0.649,0.648,0.655,0.639,0.639,0.639,0.632,0.641,0.635,0.667,0.654
Drg52,0.694,0.701,0.701,0.737,0.7,0.695,0.732,0.739,0.732,0.723,0.735,0.738,0.722,0.747,0.737,0.706,0.741,0.715,0.731
Drg66,0.773,0.805,0.86,0.856,0.871,0.863,0.902,0.896,0.892,0.921,0.886,0.904,0.903,0.918,0.901,0.906,0.919,0.902,0.926
Drg67,0.717,0.749,0.787,0.793,0.818,0.801,0.808,0.791,0.832,0.803,0.806,0.788,0.824,0.819,0.824,0.816,0.833,0.818,0.804
Drg68,0.812,0.868,0.869,0.865,0.872,0.874,0.889,0.875,0.903,0.905,0.886,0.889,0.878,0.897,0.904,0.852,0.879,0.893,0.9
Drg69,0.813,0.82,0.816,0.845,0.819,0.826,0.832,0.824,0.832,0.832,0.841,0.816,0.816,0.824,0.813,0.828,0.813,0.826,0.819
Drg84,0.635,0.643,0.654,0.677,0.654,0.654,0.658,0.686,0.672,0.679,0.675,0.699,0.69,0.684,0.694,0.685,0.693,0.699,0.705
Drg96,0.73,0.708,0.731,0.73,0.741,0.74,0.748,0.736,0.755,0.735,0.752,0.75,0.76,0.756,0.731,0.751,0.763,0.739,0.764
Drg97,0.764,0.778,0.779,0.78,0.8,0.792,0.795,0.806,0.807,0.791,0.798,0.804,0.803,0.804,0.798,0.814,0.812,0.824,0.817
Drg178,0.678,0.679,0.686,0.664,0.687,0.702,0.701,0.687,0.677,0.667,0.653,0.699,0.688,0.68,0.675,0.669,0.672,0.668,0.692
Drg179,0.875,0.878,0.893,0.892,0.894,0.88,0.88,0.892,0.881,0.886,0.884,0.89,0.882,0.888,0.882,0.887,0.875,0.883,0.892
Drg256,0.623,0.567,0.644,0.586,0.642,0.62,0.649,0.631,0.648,0.604,0.67,0.65,0.666,0.711,0.673,0.688,0.646,0.647,0.701
Drg259,0.856,0.858,0.864,0.858,0.86,0.864,0.86,0.862,0.861,0.865,0.867,0.86,0.865,0.863,0.86,0.867,0.866,0.869,0.868
Drg261,0.675,0.658,0.653,0.641,0.678,0.657,0.659,0.683,0.666,0.687,0.662,0.666,0.678,0.664,0.674,0.651,0.676,0.682,0.688
Drg262,0.472,0.494,0.492,0.476,0.505,0.512,0.506,0.455,0.48,0.461,0.454,0.499,0.482,0.49,0.49,0.498,0.483,0.463,0.479
Drg263,0.644,0.645,0.655,0.656,0.658,0.67,0.665,0.655,0.663,0.665,0.66,0.663,0.665,0.666,0.662,0.674,0.667,0.67,0.675
Drg309,0.755,0.745,0.757,0.77,0.766,0.782,0.74,0.778,0.778,0.747,0.76,0.753,0.782,0.76,0.772,0.786,0.783,0.772,0.757
