Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.889,0.909,0.91,0.912,0.914,0.915,0.916,0.914,0.918,0.915,0.913,0.924,0.918,0.917,0.918,0.924,0.925,0.928,0.927
Drg2,0.601,0.621,0.63,0.641,0.648,0.641,0.639,0.655,0.655,0.646,0.642,0.653,0.659,0.655,0.65,0.675,0.65,0.664,0.668
Drg3,0.588,0.663,0.714,0.723,0.709,0.728,0.734,0.732,0.764,0.736,0.762,0.76,0.765,0.774,0.761,0.775,0.776,0.784,0.785
Drg50,0.651,0.651,0.661,0.668,0.675,0.678,0.68,0.676,0.683,0.684,0.685,0.684,0.688,0.685,0.685,0.686,0.695,0.685,0.68
Drg52,0.677,0.673,0.685,0.692,0.685,0.691,0.692,0.697,0.711,0.699,0.697,0.695,0.703,0.705,0.708,0.698,0.703,0.706,0.705
Drg66,0.791,0.856,0.863,0.859,0.881,0.865,0.891,0.885,0.912,0.903,0.898,0.89,0.907,0.902,0.898,0.907,0.917,0.901,0.922
Drg67,0.783,0.809,0.82,0.829,0.833,0.839,0.842,0.843,0.85,0.848,0.859,0.849,0.858,0.854,0.872,0.853,0.855,0.859,0.857
Drg68,0.791,0.804,0.824,0.826,0.826,0.827,0.844,0.84,0.84,0.842,0.847,0.843,0.838,0.847,0.844,0.844,0.837,0.85,0.839
Drg69,0.779,0.789,0.813,0.815,0.812,0.814,0.823,0.82,0.819,0.82,0.822,0.83,0.818,0.829,0.821,0.818,0.82,0.826,0.817
Drg84,0.577,0.593,0.614,0.603,0.603,0.619,0.608,0.614,0.628,0.613,0.619,0.624,0.626,0.629,0.626,0.631,0.625,0.622,0.63
Drg96,0.654,0.671,0.657,0.674,0.673,0.683,0.672,0.693,0.682,0.687,0.712,0.691,0.689,0.694,0.695,0.691,0.702,0.689,0.715
Drg97,0.73,0.733,0.738,0.748,0.757,0.75,0.759,0.76,0.765,0.757,0.756,0.766,0.762,0.761,0.763,0.766,0.769,0.766,0.774
Drg178,0.681,0.686,0.692,0.684,0.685,0.689,0.692,0.688,0.694,0.687,0.691,0.7,0.696,0.702,0.698,0.71,0.698,0.703,0.692
Drg179,0.836,0.843,0.839,0.837,0.842,0.843,0.84,0.845,0.843,0.845,0.849,0.846,0.842,0.849,0.847,0.849,0.838,0.847,0.848
Drg256,0.689,0.682,0.692,0.681,0.698,0.691,0.707,0.708,0.714,0.701,0.722,0.716,0.724,0.72,0.727,0.716,0.709,0.723,0.727
Drg259,0.847,0.845,0.852,0.851,0.849,0.849,0.848,0.852,0.85,0.851,0.854,0.852,0.849,0.853,0.851,0.85,0.854,0.852,0.853
Drg261,0.684,0.677,0.69,0.692,0.694,0.699,0.703,0.698,0.702,0.718,0.711,0.705,0.717,0.702,0.706,0.707,0.721,0.721,0.727
Drg262,0.586,0.599,0.624,0.612,0.608,0.626,0.605,0.612,0.624,0.618,0.593,0.607,0.62,0.614,0.614,0.628,0.613,0.603,0.606
Drg263,0.707,0.712,0.717,0.717,0.724,0.725,0.724,0.726,0.725,0.724,0.728,0.731,0.728,0.728,0.73,0.731,0.731,0.73,0.735
Drg309,0.697,0.698,0.706,0.698,0.703,0.712,0.704,0.704,0.699,0.706,0.709,0.702,0.705,0.705,0.704,0.709,0.698,0.708,0.708
