Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.885,0.896,0.902,0.91,0.914,0.919,0.91,0.919,0.917,0.913,0.917,0.92,0.922,0.918,0.914,0.921,0.926,0.926,0.925
Drg2,0.613,0.62,0.621,0.615,0.654,0.629,0.638,0.654,0.654,0.65,0.646,0.652,0.651,0.648,0.655,0.673,0.658,0.671,0.668
Drg3,0.617,0.694,0.729,0.705,0.721,0.731,0.748,0.716,0.733,0.736,0.772,0.761,0.758,0.774,0.771,0.771,0.784,0.779,0.78
Drg50,0.603,0.609,0.606,0.616,0.63,0.634,0.621,0.621,0.63,0.631,0.632,0.644,0.64,0.632,0.637,0.628,0.643,0.643,0.63
Drg52,0.654,0.669,0.674,0.664,0.682,0.675,0.691,0.68,0.694,0.687,0.695,0.691,0.685,0.705,0.693,0.683,0.686,0.691,0.7
Drg66,0.66,0.785,0.827,0.838,0.868,0.863,0.886,0.872,0.9,0.898,0.892,0.895,0.897,0.899,0.906,0.909,0.922,0.9,0.912
Drg67,0.754,0.785,0.798,0.818,0.819,0.83,0.833,0.831,0.84,0.838,0.846,0.844,0.854,0.853,0.857,0.843,0.85,0.846,0.851
Drg68,0.763,0.804,0.816,0.827,0.82,0.83,0.835,0.839,0.838,0.849,0.839,0.843,0.841,0.844,0.846,0.844,0.84,0.853,0.842
Drg69,0.748,0.773,0.814,0.796,0.792,0.801,0.816,0.81,0.814,0.816,0.827,0.823,0.814,0.817,0.825,0.819,0.82,0.83,0.826
Drg84,0.572,0.57,0.586,0.586,0.6,0.591,0.588,0.601,0.608,0.607,0.6,0.611,0.602,0.602,0.609,0.603,0.601,0.601,0.609
Drg96,0.668,0.65,0.67,0.685,0.672,0.683,0.679,0.7,0.701,0.691,0.697,0.704,0.695,0.713,0.703,0.705,0.712,0.71,0.72
Drg97,0.705,0.72,0.729,0.725,0.728,0.729,0.735,0.742,0.743,0.739,0.751,0.755,0.759,0.754,0.757,0.76,0.763,0.763,0.766
Drg178,0.671,0.666,0.661,0.687,0.68,0.683,0.678,0.687,0.69,0.676,0.698,0.699,0.693,0.696,0.697,0.701,0.692,0.695,0.675
Drg179,0.791,0.812,0.819,0.816,0.824,0.829,0.825,0.823,0.844,0.834,0.834,0.837,0.839,0.837,0.838,0.833,0.823,0.84,0.835
Drg256,0.637,0.647,0.647,0.624,0.646,0.629,0.669,0.656,0.683,0.647,0.664,0.643,0.682,0.682,0.686,0.678,0.652,0.678,0.694
Drg259,0.779,0.797,0.791,0.799,0.799,0.801,0.796,0.808,0.796,0.802,0.802,0.804,0.798,0.809,0.807,0.811,0.81,0.808,0.815
Drg261,0.668,0.672,0.682,0.681,0.693,0.688,0.693,0.697,0.692,0.694,0.709,0.711,0.708,0.692,0.696,0.704,0.705,0.713,0.716
Drg262,0.618,0.625,0.631,0.635,0.626,0.646,0.645,0.642,0.665,0.64,0.637,0.653,0.647,0.646,0.651,0.657,0.642,0.627,0.655
Drg263,0.661,0.664,0.671,0.671,0.675,0.673,0.677,0.679,0.68,0.679,0.683,0.687,0.681,0.684,0.689,0.689,0.685,0.689,0.69
Drg309,0.663,0.675,0.665,0.675,0.671,0.676,0.677,0.677,0.68,0.668,0.681,0.684,0.677,0.678,0.675,0.68,0.673,0.681,0.675
