Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.898,0.904,0.909,0.916,0.93,0.912,0.909,0.917,0.925,0.922,0.919,0.932,0.926,0.931,0.93,0.926,0.928,0.935,0.93
Drg2,0.654,0.617,0.655,0.627,0.663,0.641,0.657,0.675,0.675,0.672,0.652,0.697,0.675,0.683,0.674,0.694,0.686,0.728,0.713
Drg3,0.555,0.625,0.686,0.606,0.701,0.658,0.702,0.676,0.688,0.639,0.767,0.705,0.691,0.728,0.731,0.755,0.767,0.783,0.771
Drg50,0.506,0.502,0.479,0.53,0.524,0.522,0.501,0.49,0.494,0.481,0.521,0.52,0.515,0.514,0.521,0.483,0.529,0.5,0.492
Drg52,0.568,0.619,0.627,0.585,0.619,0.607,0.628,0.604,0.621,0.614,0.604,0.624,0.61,0.639,0.638,0.629,0.62,0.616,0.628
Drg66,0.712,0.814,0.832,0.803,0.846,0.847,0.825,0.85,0.894,0.887,0.906,0.868,0.882,0.874,0.9,0.877,0.891,0.876,0.886
Drg67,0.759,0.759,0.788,0.797,0.804,0.821,0.827,0.817,0.836,0.813,0.822,0.831,0.845,0.851,0.841,0.824,0.811,0.829,0.845
Drg68,0.774,0.858,0.843,0.862,0.852,0.872,0.866,0.868,0.871,0.876,0.863,0.866,0.867,0.867,0.875,0.88,0.873,0.878,0.863
Drg69,0.698,0.717,0.767,0.735,0.738,0.771,0.75,0.773,0.769,0.763,0.767,0.774,0.764,0.766,0.76,0.768,0.771,0.766,0.772
Drg84,0.57,0.543,0.568,0.579,0.573,0.576,0.559,0.583,0.58,0.578,0.569,0.581,0.574,0.562,0.589,0.559,0.58,0.597,0.567
Drg96,0.649,0.649,0.643,0.694,0.635,0.668,0.653,0.682,0.679,0.709,0.699,0.708,0.688,0.715,0.664,0.676,0.695,0.717,0.711
Drg97,0.732,0.753,0.754,0.748,0.732,0.728,0.763,0.761,0.763,0.765,0.773,0.77,0.769,0.778,0.787,0.778,0.77,0.782,0.766
Drg178,0.614,0.627,0.63,0.653,0.623,0.654,0.605,0.644,0.642,0.647,0.656,0.676,0.648,0.633,0.689,0.674,0.649,0.666,0.646
Drg179,0.842,0.851,0.841,0.855,0.876,0.864,0.867,0.862,0.854,0.856,0.871,0.881,0.879,0.861,0.877,0.88,0.851,0.871,0.861
Drg256,0.603,0.614,0.615,0.615,0.607,0.547,0.649,0.638,0.611,0.582,0.628,0.577,0.608,0.598,0.642,0.591,0.571,0.622,0.583
Drg259,0.784,0.81,0.792,0.802,0.804,0.803,0.811,0.809,0.799,0.816,0.807,0.805,0.8,0.808,0.812,0.805,0.811,0.801,0.808
Drg261,0.684,0.702,0.72,0.743,0.721,0.74,0.717,0.73,0.722,0.741,0.758,0.753,0.751,0.723,0.744,0.75,0.762,0.762,0.75
Drg262,0.722,0.719,0.725,0.726,0.731,0.78,0.742,0.739,0.778,0.758,0.721,0.747,0.76,0.776,0.767,0.764,0.752,0.737,0.767
Drg263,0.708,0.719,0.722,0.725,0.736,0.732,0.725,0.729,0.733,0.743,0.742,0.744,0.738,0.74,0.744,0.748,0.742,0.743,0.744
Drg309,0.645,0.67,0.653,0.687,0.674,0.669,0.692,0.693,0.702,0.665,0.682,0.698,0.661,0.666,0.666,0.691,0.664,0.695,0.649
