Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.934,0.936,0.936,0.936,0.937,0.933,0.941,0.939,0.942,0.94,0.944,0.943,0.943,0.942,0.944,0.945,0.941,0.945,0.947
Drg2,0.612,0.651,0.616,0.646,0.655,0.632,0.668,0.704,0.688,0.684,0.697,0.691,0.686,0.699,0.709,0.698,0.71,0.71,0.708
Drg3,0.683,0.693,0.666,0.732,0.752,0.758,0.758,0.764,0.786,0.778,0.779,0.796,0.798,0.798,0.804,0.821,0.832,0.827,0.845
Drg50,0.558,0.589,0.587,0.6,0.597,0.604,0.605,0.612,0.618,0.612,0.628,0.607,0.632,0.625,0.625,0.629,0.627,0.629,0.631
Drg52,0.609,0.615,0.646,0.555,0.576,0.54,0.647,0.602,0.657,0.621,0.646,0.647,0.641,0.668,0.67,0.647,0.663,0.662,0.659
Drg66,0.772,0.792,0.822,0.868,0.856,0.884,0.88,0.884,0.891,0.894,0.889,0.895,0.892,0.899,0.899,0.902,0.9,0.904,0.906
Drg67,0.773,0.771,0.778,0.792,0.792,0.806,0.815,0.815,0.832,0.82,0.821,0.817,0.824,0.829,0.829,0.833,0.834,0.835,0.836
Drg68,0.838,0.869,0.868,0.877,0.871,0.873,0.875,0.884,0.878,0.888,0.885,0.888,0.887,0.888,0.891,0.89,0.889,0.889,0.889
Drg69,0.774,0.783,0.798,0.8,0.808,0.818,0.807,0.816,0.813,0.818,0.821,0.822,0.821,0.82,0.824,0.825,0.825,0.828,0.829
Drg84,0.527,0.532,0.55,0.577,0.589,0.591,0.615,0.592,0.595,0.622,0.611,0.616,0.612,0.618,0.621,0.622,0.634,0.637,0.639
Drg96,0.634,0.642,0.608,0.636,0.597,0.69,0.678,0.68,0.703,0.721,0.674,0.71,0.718,0.707,0.714,0.728,0.717,0.728,0.728
Drg97,0.691,0.694,0.711,0.743,0.72,0.732,0.719,0.731,0.739,0.747,0.742,0.746,0.742,0.747,0.745,0.746,0.746,0.745,0.746
Drg178,0.689,0.72,0.712,0.712,0.77,0.748,0.732,0.757,0.765,0.772,0.77,0.77,0.768,0.78,0.775,0.771,0.784,0.787,0.792
Drg179,0.785,0.796,0.806,0.78,0.789,0.798,0.796,0.779,0.788,0.786,0.8,0.794,0.788,0.786,0.786,0.79,0.781,0.789,0.783
Drg256,0.626,0.665,0.66,0.686,0.659,0.722,0.717,0.723,0.736,0.726,0.742,0.74,0.73,0.753,0.734,0.759,0.725,0.721,0.74
Drg259,0.812,0.83,0.822,0.832,0.833,0.838,0.839,0.832,0.835,0.837,0.839,0.837,0.841,0.837,0.835,0.836,0.836,0.836,0.836
Drg261,0.669,0.634,0.661,0.676,0.69,0.708,0.729,0.708,0.713,0.734,0.737,0.715,0.735,0.731,0.73,0.742,0.747,0.75,0.75
Drg262,0.516,0.501,0.567,0.522,0.546,0.563,0.536,0.544,0.561,0.517,0.534,0.522,0.543,0.532,0.533,0.546,0.54,0.523,0.518
Drg263,0.652,0.676,0.694,0.696,0.704,0.705,0.707,0.708,0.716,0.714,0.721,0.716,0.723,0.72,0.723,0.721,0.725,0.721,0.725
Drg309,0.66,0.612,0.664,0.681,0.675,0.707,0.712,0.712,0.696,0.717,0.706,0.723,0.741,0.725,0.735,0.729,0.735,0.731,0.736
