Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.901,0.915,0.914,0.918,0.921,0.92,0.925,0.926,0.921,0.92,0.925,0.927,0.927,0.926,0.927,0.925,0.928,0.927,0.927
Drg2,0.601,0.615,0.628,0.63,0.636,0.652,0.647,0.651,0.664,0.673,0.674,0.669,0.682,0.678,0.686,0.684,0.688,0.696,0.698
Drg3,0.705,0.735,0.764,0.771,0.772,0.804,0.804,0.819,0.811,0.824,0.833,0.835,0.835,0.841,0.843,0.848,0.849,0.852,0.852
Drg50,0.579,0.614,0.626,0.635,0.633,0.641,0.649,0.666,0.663,0.674,0.675,0.669,0.675,0.675,0.682,0.693,0.686,0.689,0.691
Drg52,0.556,0.632,0.624,0.641,0.651,0.667,0.674,0.684,0.688,0.694,0.684,0.71,0.707,0.706,0.708,0.711,0.716,0.714,0.722
Drg66,0.834,0.868,0.891,0.899,0.912,0.923,0.925,0.931,0.927,0.928,0.939,0.937,0.938,0.939,0.944,0.946,0.946,0.949,0.949
Drg67,0.783,0.805,0.817,0.828,0.833,0.836,0.844,0.842,0.846,0.855,0.851,0.855,0.858,0.859,0.859,0.862,0.863,0.864,0.866
Drg68,0.819,0.845,0.841,0.85,0.859,0.858,0.864,0.864,0.863,0.865,0.867,0.87,0.867,0.87,0.871,0.87,0.872,0.872,0.872
Drg69,0.803,0.804,0.824,0.835,0.839,0.835,0.845,0.848,0.85,0.851,0.853,0.85,0.852,0.856,0.857,0.858,0.859,0.86,0.861
Drg84,0.567,0.578,0.57,0.588,0.592,0.599,0.593,0.604,0.623,0.598,0.62,0.621,0.624,0.624,0.633,0.633,0.631,0.633,0.632
Drg96,0.627,0.645,0.661,0.672,0.688,0.683,0.676,0.697,0.686,0.693,0.695,0.705,0.712,0.711,0.713,0.709,0.713,0.711,0.712
Drg97,0.691,0.729,0.735,0.74,0.75,0.741,0.749,0.75,0.759,0.754,0.752,0.752,0.759,0.758,0.752,0.754,0.753,0.753,0.753
Drg178,0.668,0.648,0.679,0.675,0.689,0.694,0.692,0.693,0.708,0.703,0.711,0.699,0.698,0.703,0.709,0.709,0.707,0.705,0.708
Drg179,0.821,0.825,0.826,0.827,0.831,0.832,0.829,0.829,0.831,0.832,0.833,0.835,0.834,0.836,0.836,0.838,0.837,0.838,0.838
Drg256,0.614,0.636,0.649,0.657,0.695,0.695,0.708,0.704,0.706,0.715,0.707,0.724,0.716,0.718,0.726,0.725,0.723,0.724,0.727
Drg259,0.816,0.828,0.836,0.836,0.842,0.844,0.844,0.849,0.85,0.851,0.85,0.853,0.854,0.855,0.853,0.854,0.855,0.855,0.854
Drg261,0.611,0.616,0.63,0.656,0.661,0.671,0.677,0.676,0.681,0.673,0.682,0.685,0.685,0.693,0.692,0.698,0.698,0.699,0.701
Drg262,0.55,0.56,0.58,0.583,0.591,0.594,0.599,0.599,0.617,0.599,0.599,0.606,0.611,0.606,0.603,0.602,0.604,0.603,0.603
Drg263,0.637,0.653,0.667,0.67,0.681,0.679,0.687,0.686,0.693,0.692,0.693,0.694,0.693,0.696,0.696,0.698,0.699,0.699,0.699
Drg309,0.579,0.625,0.64,0.636,0.651,0.676,0.662,0.673,0.68,0.671,0.681,0.678,0.683,0.678,0.69,0.683,0.688,0.687,0.69
