Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.899,0.912,0.92,0.916,0.92,0.918,0.922,0.923,0.923,0.926,0.928,0.925,0.924,0.924,0.927,0.927,0.927,0.927,0.927
Drg2,0.601,0.618,0.625,0.614,0.642,0.647,0.644,0.656,0.662,0.67,0.673,0.674,0.678,0.673,0.681,0.692,0.691,0.697,0.698
Drg3,0.703,0.716,0.757,0.783,0.79,0.789,0.8,0.804,0.814,0.82,0.817,0.831,0.846,0.84,0.839,0.847,0.847,0.851,0.852
Drg50,0.567,0.591,0.597,0.604,0.609,0.626,0.635,0.638,0.64,0.639,0.652,0.663,0.664,0.665,0.666,0.677,0.672,0.676,0.682
Drg52,0.539,0.599,0.612,0.619,0.625,0.635,0.652,0.661,0.666,0.657,0.671,0.68,0.672,0.687,0.68,0.686,0.687,0.691,0.696
Drg66,0.815,0.862,0.864,0.882,0.903,0.9,0.918,0.918,0.925,0.927,0.931,0.932,0.936,0.935,0.936,0.941,0.94,0.941,0.944
Drg67,0.757,0.777,0.799,0.811,0.814,0.823,0.823,0.829,0.833,0.838,0.836,0.838,0.842,0.844,0.846,0.849,0.851,0.854,0.856
Drg68,0.824,0.835,0.847,0.85,0.857,0.863,0.861,0.862,0.868,0.866,0.868,0.869,0.871,0.869,0.871,0.87,0.871,0.873,0.873
Drg69,0.778,0.803,0.82,0.829,0.822,0.833,0.831,0.84,0.841,0.844,0.843,0.844,0.848,0.852,0.852,0.852,0.853,0.855,0.857
Drg84,0.556,0.558,0.562,0.576,0.596,0.596,0.609,0.608,0.609,0.616,0.617,0.619,0.624,0.632,0.633,0.63,0.636,0.633,0.638
Drg96,0.603,0.616,0.652,0.653,0.682,0.69,0.698,0.701,0.708,0.698,0.703,0.709,0.716,0.717,0.723,0.724,0.72,0.724,0.728
Drg97,0.702,0.721,0.724,0.734,0.745,0.746,0.752,0.752,0.755,0.758,0.751,0.752,0.755,0.759,0.758,0.756,0.757,0.756,0.756
Drg178,0.616,0.636,0.619,0.659,0.67,0.658,0.675,0.681,0.696,0.685,0.691,0.689,0.698,0.702,0.706,0.708,0.703,0.709,0.712
Drg179,0.797,0.813,0.833,0.825,0.825,0.833,0.833,0.836,0.845,0.84,0.833,0.84,0.842,0.843,0.843,0.846,0.843,0.848,0.847
Drg256,0.616,0.634,0.646,0.674,0.683,0.686,0.683,0.703,0.7,0.708,0.715,0.715,0.726,0.729,0.723,0.733,0.738,0.734,0.74
Drg259,0.77,0.79,0.805,0.807,0.82,0.815,0.819,0.823,0.828,0.83,0.828,0.832,0.833,0.837,0.837,0.84,0.839,0.841,0.842
Drg261,0.579,0.6,0.626,0.637,0.645,0.656,0.66,0.662,0.669,0.686,0.683,0.686,0.691,0.69,0.701,0.696,0.701,0.703,0.704
Drg262,0.519,0.561,0.576,0.577,0.576,0.578,0.597,0.574,0.583,0.591,0.595,0.591,0.588,0.596,0.598,0.596,0.596,0.592,0.593
Drg263,0.616,0.637,0.639,0.641,0.654,0.658,0.661,0.663,0.671,0.674,0.675,0.679,0.682,0.685,0.686,0.689,0.69,0.691,0.693
Drg309,0.57,0.636,0.639,0.673,0.669,0.695,0.693,0.688,0.687,0.702,0.702,0.705,0.703,0.721,0.717,0.717,0.716,0.723,0.728
