Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.833,0.861,0.865,0.858,0.854,0.852,0.865,0.86,0.86,0.86,0.861,0.857,0.851,0.857,0.861,0.856,0.857,0.857,0.853
Drg2,0.58,0.597,0.577,0.571,0.596,0.631,0.603,0.617,0.637,0.627,0.609,0.617,0.61,0.623,0.612,0.626,0.63,0.632,0.628
Drg3,0.765,0.733,0.746,0.795,0.828,0.816,0.846,0.856,0.839,0.839,0.824,0.848,0.861,0.842,0.854,0.864,0.853,0.861,0.86
Drg50,0.532,0.527,0.544,0.577,0.571,0.583,0.571,0.58,0.591,0.592,0.616,0.61,0.596,0.609,0.611,0.614,0.63,0.624,0.633
Drg52,0.491,0.548,0.589,0.622,0.61,0.633,0.642,0.654,0.631,0.642,0.672,0.678,0.672,0.68,0.666,0.698,0.691,0.695,0.698
Drg66,0.799,0.86,0.877,0.883,0.894,0.892,0.917,0.92,0.92,0.928,0.928,0.921,0.935,0.935,0.933,0.937,0.941,0.939,0.945
Drg67,0.753,0.787,0.797,0.804,0.809,0.809,0.81,0.814,0.822,0.831,0.817,0.827,0.826,0.825,0.828,0.829,0.83,0.833,0.835
Drg68,0.852,0.866,0.874,0.869,0.895,0.881,0.884,0.891,0.903,0.895,0.901,0.902,0.905,0.908,0.901,0.907,0.905,0.912,0.91
Drg69,0.801,0.799,0.812,0.84,0.831,0.837,0.829,0.839,0.834,0.837,0.834,0.838,0.839,0.837,0.842,0.84,0.839,0.842,0.84
Drg84,0.53,0.53,0.55,0.594,0.587,0.595,0.6,0.602,0.616,0.613,0.617,0.595,0.626,0.655,0.638,0.647,0.648,0.654,0.655
Drg96,0.605,0.632,0.663,0.677,0.691,0.688,0.713,0.726,0.736,0.722,0.728,0.731,0.735,0.745,0.745,0.756,0.754,0.747,0.756
Drg97,0.661,0.716,0.732,0.742,0.754,0.758,0.754,0.758,0.764,0.761,0.757,0.767,0.767,0.77,0.768,0.768,0.772,0.766,0.768
Drg178,0.608,0.617,0.634,0.625,0.651,0.635,0.655,0.621,0.681,0.665,0.67,0.674,0.668,0.662,0.66,0.685,0.676,0.683,0.687
Drg179,0.824,0.858,0.873,0.867,0.86,0.88,0.868,0.88,0.878,0.885,0.872,0.882,0.888,0.887,0.886,0.888,0.888,0.89,0.893
Drg256,0.666,0.649,0.668,0.688,0.691,0.649,0.65,0.679,0.702,0.704,0.714,0.692,0.701,0.698,0.709,0.7,0.705,0.703,0.691
Drg259,0.75,0.769,0.783,0.801,0.799,0.801,0.811,0.824,0.821,0.821,0.823,0.823,0.824,0.831,0.833,0.833,0.836,0.836,0.837
Drg261,0.612,0.602,0.628,0.639,0.646,0.657,0.645,0.649,0.666,0.663,0.668,0.676,0.67,0.681,0.691,0.685,0.687,0.686,0.693
Drg262,0.543,0.534,0.552,0.569,0.547,0.568,0.547,0.532,0.547,0.561,0.565,0.558,0.558,0.553,0.547,0.569,0.548,0.548,0.551
Drg263,0.585,0.591,0.598,0.578,0.596,0.611,0.604,0.605,0.607,0.61,0.612,0.623,0.624,0.621,0.618,0.622,0.626,0.622,0.626
Drg309,0.515,0.646,0.618,0.656,0.696,0.697,0.71,0.693,0.685,0.726,0.726,0.723,0.735,0.746,0.744,0.744,0.75,0.766,0.773
