Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.894,0.899,0.911,0.925,0.916,0.947,0.944,0.924,0.924,0.935,0.932,0.925,0.955,0.944,0.941,0.944,0.956,0.965,0.953
Drg2,0.525,0.54,0.554,0.571,0.573,0.535,0.585,0.544,0.551,0.592,0.561,0.564,0.582,0.61,0.569,0.588,0.569,0.561,0.557
Drg3,0.542,0.618,0.624,0.684,0.652,0.674,0.703,0.662,0.7,0.694,0.727,0.726,0.745,0.703,0.725,0.735,0.743,0.73,0.741
Drg50,0.679,0.688,0.692,0.718,0.702,0.716,0.708,0.696,0.718,0.721,0.735,0.719,0.725,0.729,0.731,0.731,0.753,0.734,0.722
Drg52,0.611,0.636,0.637,0.66,0.669,0.64,0.647,0.669,0.688,0.659,0.656,0.635,0.653,0.689,0.661,0.652,0.688,0.655,0.659
Drg66,0.809,0.85,0.871,0.851,0.903,0.869,0.86,0.929,0.924,0.925,0.936,0.917,0.879,0.918,0.905,0.945,0.907,0.951,0.935
Drg67,0.759,0.792,0.812,0.793,0.794,0.832,0.823,0.824,0.845,0.849,0.817,0.84,0.842,0.848,0.827,0.855,0.841,0.858,0.845
Drg68,0.742,0.803,0.825,0.844,0.853,0.825,0.824,0.848,0.856,0.846,0.824,0.837,0.85,0.825,0.837,0.843,0.847,0.827,0.842
Drg69,0.745,0.754,0.774,0.765,0.795,0.794,0.803,0.83,0.8,0.803,0.813,0.804,0.796,0.826,0.843,0.809,0.815,0.836,0.817
Drg84,0.596,0.573,0.584,0.571,0.556,0.589,0.585,0.603,0.604,0.595,0.587,0.584,0.591,0.612,0.602,0.577,0.586,0.581,0.602
Drg96,0.689,0.701,0.709,0.676,0.718,0.734,0.741,0.726,0.703,0.739,0.747,0.738,0.705,0.774,0.736,0.756,0.77,0.765,0.792
Drg97,0.686,0.715,0.698,0.729,0.734,0.719,0.729,0.729,0.74,0.731,0.729,0.746,0.749,0.756,0.75,0.741,0.765,0.747,0.751
Drg178,0.681,0.679,0.686,0.726,0.699,0.755,0.729,0.709,0.738,0.76,0.676,0.72,0.74,0.719,0.753,0.77,0.738,0.749,0.754
Drg179,0.787,0.83,0.815,0.833,0.846,0.827,0.841,0.822,0.856,0.816,0.833,0.842,0.857,0.859,0.842,0.85,0.841,0.82,0.85
Drg256,0.667,0.667,0.686,0.681,0.65,0.677,0.682,0.673,0.68,0.666,0.697,0.676,0.684,0.718,0.692,0.69,0.685,0.689,0.717
Drg259,0.878,0.884,0.89,0.891,0.894,0.896,0.894,0.896,0.89,0.894,0.9,0.9,0.903,0.896,0.893,0.904,0.914,0.898,0.901
Drg261,0.604,0.621,0.643,0.655,0.63,0.635,0.626,0.656,0.622,0.651,0.627,0.663,0.652,0.647,0.647,0.652,0.648,0.675,0.703
Drg262,0.609,0.608,0.648,0.606,0.642,0.627,0.639,0.654,0.624,0.625,0.612,0.586,0.589,0.585,0.618,0.604,0.596,0.574,0.632
Drg263,0.683,0.672,0.703,0.682,0.687,0.685,0.68,0.692,0.695,0.694,0.697,0.696,0.696,0.7,0.712,0.701,0.706,0.694,0.697
Drg309,0.704,0.7,0.709,0.698,0.711,0.702,0.721,0.699,0.682,0.703,0.717,0.7,0.758,0.731,0.715,0.708,0.718,0.718,0.707
