Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.873,0.882,0.892,0.892,0.898,0.896,0.908,0.9,0.898,0.906,0.906,0.906,0.907,0.914,0.9,0.911,0.921,0.925,0.913
Drg2,0.635,0.644,0.649,0.661,0.671,0.671,0.678,0.677,0.695,0.681,0.678,0.684,0.705,0.685,0.676,0.708,0.685,0.7,0.696
Drg3,0.666,0.704,0.732,0.75,0.742,0.769,0.75,0.768,0.763,0.774,0.782,0.783,0.774,0.782,0.785,0.799,0.8,0.798,0.808
Drg50,0.617,0.616,0.624,0.627,0.644,0.638,0.642,0.64,0.642,0.652,0.658,0.656,0.647,0.656,0.661,0.658,0.672,0.659,0.65
Drg52,0.671,0.685,0.673,0.685,0.692,0.696,0.689,0.691,0.718,0.701,0.712,0.702,0.712,0.72,0.72,0.714,0.706,0.702,0.717
Drg66,0.532,0.618,0.702,0.705,0.738,0.739,0.797,0.793,0.823,0.814,0.825,0.811,0.812,0.825,0.818,0.831,0.856,0.84,0.851
Drg67,0.69,0.713,0.737,0.752,0.759,0.799,0.779,0.806,0.8,0.792,0.81,0.809,0.805,0.819,0.831,0.82,0.816,0.817,0.828
Drg68,0.666,0.728,0.75,0.747,0.765,0.79,0.785,0.781,0.792,0.798,0.801,0.794,0.803,0.798,0.798,0.796,0.803,0.807,0.806
Drg69,0.645,0.722,0.753,0.741,0.745,0.75,0.78,0.775,0.781,0.772,0.779,0.784,0.783,0.778,0.787,0.779,0.782,0.797,0.778
Drg84,0.576,0.584,0.592,0.598,0.587,0.597,0.602,0.598,0.608,0.617,0.6,0.606,0.614,0.609,0.623,0.61,0.612,0.602,0.604
Drg96,0.642,0.665,0.666,0.678,0.664,0.669,0.674,0.68,0.68,0.685,0.692,0.69,0.692,0.699,0.699,0.693,0.705,0.702,0.711
Drg97,0.69,0.705,0.708,0.727,0.726,0.725,0.735,0.737,0.736,0.742,0.741,0.76,0.754,0.747,0.747,0.754,0.754,0.752,0.762
Drg178,0.611,0.617,0.656,0.653,0.62,0.637,0.648,0.616,0.648,0.643,0.651,0.663,0.655,0.66,0.663,0.662,0.668,0.667,0.637
Drg179,0.766,0.772,0.788,0.798,0.814,0.802,0.799,0.803,0.823,0.817,0.828,0.817,0.826,0.826,0.816,0.82,0.805,0.825,0.822
Drg256,0.66,0.638,0.656,0.648,0.663,0.665,0.666,0.663,0.684,0.668,0.692,0.667,0.693,0.698,0.696,0.703,0.658,0.7,0.701
Drg259,0.766,0.784,0.786,0.794,0.794,0.801,0.801,0.806,0.801,0.805,0.804,0.808,0.8,0.813,0.813,0.811,0.82,0.812,0.82
Drg261,0.639,0.641,0.652,0.659,0.662,0.66,0.658,0.664,0.673,0.679,0.673,0.673,0.693,0.674,0.675,0.684,0.682,0.689,0.69
Drg262,0.596,0.614,0.617,0.616,0.609,0.611,0.629,0.626,0.638,0.631,0.628,0.624,0.635,0.63,0.633,0.643,0.629,0.617,0.626
Drg263,0.676,0.68,0.684,0.691,0.688,0.696,0.697,0.699,0.698,0.702,0.701,0.705,0.703,0.705,0.706,0.707,0.708,0.708,0.713
Drg309,0.661,0.689,0.678,0.693,0.687,0.68,0.685,0.68,0.687,0.676,0.702,0.698,0.684,0.682,0.683,0.697,0.687,0.685,0.684
