Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.924,0.922,0.925,0.931,0.929,0.933,0.93,0.93,0.936,0.93,0.934,0.937,0.938,0.939,0.931,0.939,0.943,0.943,0.941
Drg2,0.646,0.654,0.655,0.659,0.669,0.665,0.679,0.676,0.683,0.673,0.675,0.681,0.687,0.677,0.678,0.692,0.684,0.681,0.688
Drg3,0.685,0.715,0.729,0.737,0.766,0.764,0.76,0.755,0.777,0.777,0.781,0.776,0.781,0.779,0.776,0.809,0.784,0.8,0.79
Drg50,0.626,0.633,0.635,0.638,0.651,0.643,0.646,0.646,0.657,0.658,0.656,0.657,0.659,0.659,0.665,0.659,0.666,0.662,0.658
Drg52,0.682,0.682,0.67,0.679,0.69,0.685,0.682,0.691,0.699,0.704,0.689,0.696,0.697,0.696,0.704,0.696,0.704,0.698,0.704
Drg66,0.68,0.737,0.788,0.791,0.828,0.824,0.845,0.829,0.86,0.835,0.872,0.839,0.856,0.866,0.857,0.861,0.879,0.865,0.882
Drg67,0.744,0.772,0.767,0.785,0.804,0.817,0.801,0.823,0.824,0.812,0.821,0.83,0.834,0.836,0.832,0.839,0.832,0.83,0.84
Drg68,0.734,0.776,0.79,0.777,0.79,0.802,0.813,0.816,0.818,0.816,0.824,0.82,0.808,0.82,0.816,0.822,0.806,0.826,0.818
Drg69,0.681,0.715,0.761,0.757,0.762,0.761,0.777,0.781,0.778,0.781,0.778,0.786,0.772,0.786,0.795,0.781,0.794,0.793,0.783
Drg84,0.578,0.57,0.581,0.586,0.595,0.585,0.586,0.599,0.609,0.614,0.608,0.601,0.589,0.614,0.607,0.598,0.598,0.601,0.602
Drg96,0.634,0.639,0.649,0.651,0.64,0.649,0.655,0.657,0.665,0.661,0.677,0.674,0.668,0.668,0.678,0.666,0.69,0.689,0.698
Drg97,0.684,0.703,0.707,0.726,0.721,0.711,0.726,0.735,0.734,0.737,0.738,0.748,0.74,0.742,0.743,0.745,0.745,0.745,0.751
Drg178,0.619,0.625,0.628,0.624,0.639,0.639,0.635,0.626,0.65,0.642,0.631,0.656,0.646,0.627,0.655,0.663,0.649,0.652,0.642
Drg179,0.816,0.821,0.81,0.821,0.821,0.823,0.821,0.824,0.83,0.821,0.827,0.833,0.834,0.84,0.828,0.826,0.819,0.833,0.832
Drg256,0.662,0.659,0.66,0.639,0.64,0.653,0.682,0.66,0.676,0.688,0.697,0.695,0.705,0.708,0.704,0.709,0.678,0.708,0.706
Drg259,0.834,0.835,0.838,0.844,0.842,0.845,0.846,0.848,0.842,0.847,0.853,0.848,0.846,0.849,0.846,0.849,0.852,0.85,0.848
Drg261,0.666,0.663,0.668,0.674,0.677,0.682,0.691,0.683,0.685,0.693,0.696,0.688,0.693,0.685,0.689,0.695,0.694,0.703,0.711
Drg262,0.595,0.61,0.608,0.623,0.61,0.629,0.633,0.614,0.634,0.613,0.614,0.625,0.639,0.638,0.644,0.643,0.627,0.595,0.638
Drg263,0.684,0.694,0.7,0.7,0.703,0.707,0.704,0.711,0.708,0.708,0.711,0.713,0.715,0.712,0.716,0.714,0.72,0.716,0.719
Drg309,0.677,0.687,0.701,0.694,0.689,0.708,0.706,0.704,0.711,0.69,0.72,0.699,0.703,0.7,0.706,0.696,0.702,0.709,0.699
