Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.866,0.894,0.862,0.859,0.876,0.882,0.892,0.888,0.895,0.867,0.898,0.875,0.872,0.875,0.861,0.892,0.899,0.879,0.895
Drg2,0.592,0.606,0.609,0.614,0.665,0.642,0.648,0.663,0.669,0.647,0.658,0.652,0.65,0.654,0.655,0.679,0.673,0.664,0.667
Drg3,0.694,0.823,0.826,0.867,0.867,0.816,0.864,0.898,0.84,0.898,0.851,0.876,0.838,0.883,0.881,0.847,0.829,0.888,0.895
Drg50,0.582,0.627,0.607,0.621,0.63,0.619,0.63,0.616,0.632,0.641,0.645,0.648,0.635,0.639,0.631,0.629,0.627,0.654,0.646
Drg52,0.762,0.739,0.72,0.759,0.776,0.773,0.755,0.777,0.79,0.782,0.775,0.789,0.799,0.771,0.789,0.756,0.81,0.77,0.793
Drg66,0.432,0.583,0.609,0.642,0.562,0.703,0.796,0.719,0.8,0.765,0.784,0.821,0.802,0.762,0.804,0.852,0.809,0.835,0.856
Drg67,0.623,0.611,0.705,0.711,0.758,0.765,0.738,0.702,0.767,0.703,0.778,0.725,0.732,0.763,0.778,0.753,0.798,0.772,0.737
Drg68,0.662,0.735,0.801,0.789,0.8,0.799,0.791,0.804,0.844,0.848,0.833,0.815,0.833,0.832,0.857,0.79,0.832,0.856,0.851
Drg69,0.654,0.702,0.742,0.744,0.741,0.759,0.771,0.734,0.764,0.77,0.767,0.77,0.803,0.777,0.779,0.799,0.798,0.773,0.764
Drg84,0.568,0.579,0.583,0.599,0.589,0.617,0.586,0.618,0.61,0.636,0.623,0.631,0.619,0.648,0.642,0.621,0.604,0.629,0.637
Drg96,0.73,0.775,0.751,0.765,0.713,0.755,0.761,0.774,0.771,0.742,0.8,0.789,0.762,0.76,0.781,0.76,0.783,0.788,0.776
Drg97,0.748,0.739,0.751,0.756,0.759,0.753,0.772,0.793,0.754,0.772,0.786,0.784,0.778,0.777,0.778,0.795,0.799,0.798,0.795
Drg178,0.647,0.594,0.621,0.634,0.646,0.622,0.66,0.563,0.65,0.612,0.624,0.616,0.628,0.613,0.596,0.633,0.623,0.606,0.631
Drg179,0.759,0.797,0.813,0.818,0.798,0.81,0.815,0.819,0.832,0.805,0.8,0.814,0.827,0.842,0.824,0.826,0.822,0.836,0.845
Drg256,0.595,0.577,0.534,0.545,0.596,0.553,0.604,0.597,0.621,0.55,0.581,0.6,0.559,0.654,0.559,0.634,0.592,0.591,0.647
Drg259,0.822,0.793,0.797,0.827,0.836,0.839,0.823,0.823,0.829,0.831,0.833,0.831,0.843,0.837,0.84,0.841,0.835,0.853,0.844
Drg261,0.646,0.633,0.639,0.651,0.633,0.65,0.639,0.665,0.65,0.666,0.67,0.658,0.681,0.664,0.664,0.649,0.664,0.672,0.685
Drg262,0.512,0.509,0.564,0.529,0.515,0.546,0.525,0.54,0.525,0.531,0.539,0.512,0.532,0.529,0.532,0.534,0.554,0.509,0.551
Drg263,0.642,0.653,0.648,0.66,0.661,0.667,0.661,0.662,0.667,0.664,0.666,0.673,0.671,0.665,0.668,0.67,0.666,0.672,0.678
Drg309,0.724,0.736,0.757,0.718,0.726,0.756,0.773,0.717,0.725,0.761,0.763,0.747,0.759,0.764,0.734,0.757,0.749,0.752,0.769
