Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.795,0.832,0.866,0.874,0.859,0.858,0.869,0.875,0.858,0.872,0.874,0.879,0.879,0.87,0.884,0.878,0.875,0.874,0.881
Drg2,0.53,0.501,0.523,0.529,0.532,0.54,0.534,0.559,0.563,0.564,0.558,0.559,0.552,0.556,0.564,0.564,0.577,0.571,0.572
Drg3,0.687,0.733,0.701,0.679,0.771,0.73,0.76,0.776,0.761,0.767,0.819,0.796,0.798,0.801,0.794,0.808,0.809,0.809,0.813
Drg50,0.519,0.546,0.548,0.574,0.576,0.573,0.595,0.588,0.595,0.596,0.597,0.599,0.599,0.598,0.606,0.604,0.605,0.609,0.611
Drg52,0.566,0.58,0.618,0.638,0.661,0.64,0.64,0.659,0.681,0.695,0.69,0.683,0.707,0.703,0.705,0.72,0.712,0.719,0.723
Drg66,0.753,0.79,0.77,0.81,0.844,0.864,0.87,0.881,0.876,0.882,0.883,0.887,0.897,0.888,0.9,0.904,0.903,0.903,0.908
Drg67,0.698,0.758,0.747,0.763,0.769,0.769,0.786,0.788,0.784,0.794,0.785,0.789,0.789,0.787,0.79,0.789,0.788,0.787,0.788
Drg68,0.795,0.834,0.852,0.871,0.85,0.879,0.874,0.878,0.88,0.878,0.88,0.879,0.889,0.892,0.891,0.889,0.89,0.89,0.892
Drg69,0.788,0.816,0.819,0.836,0.839,0.831,0.835,0.842,0.843,0.845,0.85,0.846,0.85,0.853,0.851,0.855,0.854,0.855,0.856
Drg84,0.543,0.545,0.588,0.594,0.596,0.624,0.62,0.616,0.614,0.609,0.636,0.625,0.632,0.636,0.634,0.644,0.64,0.642,0.643
Drg96,0.632,0.635,0.692,0.721,0.734,0.738,0.745,0.752,0.765,0.742,0.765,0.761,0.766,0.771,0.774,0.774,0.781,0.783,0.786
Drg97,0.732,0.734,0.751,0.77,0.761,0.772,0.785,0.801,0.785,0.805,0.805,0.798,0.813,0.805,0.811,0.809,0.809,0.813,0.812
Drg178,0.617,0.607,0.594,0.613,0.627,0.631,0.639,0.643,0.648,0.637,0.638,0.631,0.636,0.635,0.648,0.635,0.639,0.632,0.628
Drg179,0.797,0.81,0.817,0.842,0.837,0.852,0.856,0.851,0.855,0.858,0.854,0.863,0.859,0.864,0.867,0.865,0.867,0.87,0.868
Drg256,0.547,0.607,0.626,0.63,0.641,0.648,0.641,0.662,0.667,0.659,0.649,0.662,0.668,0.666,0.661,0.66,0.66,0.664,0.66
Drg259,0.809,0.845,0.857,0.863,0.869,0.865,0.873,0.879,0.875,0.88,0.878,0.889,0.884,0.884,0.887,0.884,0.886,0.888,0.889
Drg261,0.599,0.576,0.572,0.573,0.6,0.602,0.606,0.606,0.607,0.61,0.607,0.617,0.615,0.606,0.623,0.619,0.631,0.627,0.625
Drg262,0.544,0.58,0.569,0.607,0.598,0.577,0.605,0.602,0.592,0.602,0.586,0.598,0.591,0.591,0.583,0.598,0.587,0.588,0.59
Drg263,0.638,0.658,0.652,0.668,0.662,0.669,0.672,0.678,0.671,0.673,0.674,0.675,0.674,0.677,0.674,0.676,0.676,0.677,0.678
Drg309,0.615,0.539,0.656,0.629,0.671,0.683,0.673,0.697,0.693,0.756,0.721,0.754,0.773,0.78,0.774,0.774,0.788,0.787,0.8
