Drg,0.1,0.15000000000000002,0.2,0.25,0.30000000000000004,0.35000000000000003,0.4,0.45,0.5,0.55,0.6000000000000001,0.65,0.7000000000000001,0.75,0.8,0.8500000000000001,0.9,0.9500000000000001,1.0
Drg0,0.79,0.832,0.859,0.885,0.895,0.898,0.907,0.91,0.911,0.914,0.915,0.917,0.915,0.918,0.918,0.918,0.919,0.92,0.92
Drg2,0.574,0.608,0.624,0.637,0.642,0.642,0.662,0.661,0.659,0.665,0.672,0.669,0.674,0.677,0.678,0.678,0.681,0.686,0.686
Drg3,0.65,0.672,0.702,0.708,0.729,0.728,0.736,0.753,0.755,0.759,0.769,0.776,0.786,0.781,0.794,0.79,0.796,0.805,0.805
Drg50,0.558,0.593,0.586,0.612,0.613,0.625,0.626,0.628,0.623,0.63,0.626,0.639,0.632,0.643,0.639,0.637,0.642,0.642,0.645
Drg52,0.602,0.601,0.653,0.664,0.67,0.673,0.684,0.682,0.684,0.692,0.695,0.702,0.702,0.71,0.707,0.705,0.713,0.713,0.714
Drg66,0.658,0.683,0.71,0.748,0.797,0.802,0.822,0.842,0.849,0.873,0.869,0.878,0.881,0.893,0.898,0.9,0.904,0.906,0.905
Drg67,0.66,0.701,0.743,0.747,0.763,0.771,0.786,0.798,0.805,0.811,0.809,0.812,0.819,0.823,0.822,0.824,0.827,0.829,0.833
Drg68,0.702,0.731,0.767,0.773,0.794,0.799,0.803,0.813,0.818,0.819,0.827,0.828,0.827,0.833,0.833,0.834,0.837,0.839,0.84
Drg69,0.692,0.71,0.746,0.775,0.783,0.784,0.796,0.796,0.806,0.807,0.806,0.812,0.817,0.817,0.819,0.821,0.821,0.822,0.822
Drg84,0.556,0.57,0.586,0.589,0.609,0.597,0.601,0.604,0.622,0.626,0.623,0.624,0.613,0.632,0.631,0.634,0.63,0.633,0.634
Drg96,0.588,0.617,0.639,0.651,0.664,0.679,0.669,0.698,0.694,0.7,0.7,0.712,0.716,0.704,0.714,0.712,0.719,0.719,0.722
Drg97,0.637,0.678,0.715,0.712,0.735,0.739,0.742,0.754,0.754,0.758,0.756,0.762,0.766,0.767,0.769,0.772,0.771,0.773,0.775
Drg178,0.612,0.625,0.634,0.653,0.665,0.666,0.679,0.681,0.678,0.681,0.682,0.7,0.696,0.704,0.701,0.703,0.707,0.709,0.71
Drg179,0.67,0.704,0.715,0.738,0.744,0.759,0.768,0.774,0.775,0.776,0.781,0.784,0.78,0.792,0.79,0.788,0.789,0.792,0.792
Drg256,0.537,0.587,0.618,0.618,0.651,0.673,0.671,0.675,0.675,0.69,0.692,0.707,0.702,0.703,0.713,0.716,0.718,0.723,0.722
Drg259,0.722,0.742,0.757,0.769,0.771,0.776,0.773,0.783,0.785,0.783,0.786,0.788,0.79,0.791,0.792,0.796,0.796,0.798,0.798
Drg261,0.578,0.608,0.636,0.64,0.651,0.648,0.652,0.667,0.672,0.674,0.672,0.676,0.674,0.674,0.675,0.68,0.682,0.681,0.683
Drg262,0.528,0.572,0.595,0.581,0.607,0.623,0.627,0.636,0.64,0.63,0.636,0.638,0.641,0.64,0.642,0.643,0.643,0.646,0.645
Drg263,0.646,0.664,0.677,0.68,0.692,0.692,0.698,0.702,0.701,0.708,0.711,0.71,0.715,0.715,0.716,0.718,0.719,0.721,0.722
Drg309,0.537,0.567,0.61,0.62,0.599,0.605,0.621,0.63,0.64,0.646,0.667,0.659,0.658,0.671,0.67,0.67,0.673,0.674,0.681
